종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
대동스틸 *,3685.0,+29.98%,1816186.0,6537.0,26800.0,048470,https://kr.tradingview.com/symbols/KRX-048470/
넥스틸,12290.0,+18.17%,5873777.0,75077.0,158951.0,092790,https://kr.tradingview.com/symbols/KRX-092790/
하이스틸,3875.0,+10.87%,8922884.0,37013.0,198088.0,071090,https://kr.tradingview.com/symbols/KRX-071090/
신스틸 *,1815.0,+8.23%,4510671.0,8620.0,71462.0,162300,https://kr.tradingview.com/symbols/KRX-162300/
유에스티 *,1907.0,+5.53%,565803.0,1119.0,15494.0,263770,https://kr.tradingview.com/symbols/KRX-263770/
만호제강,49100.0,+5.25%,20017.0,961.0,4276.0,001080,https://kr.tradingview.com/symbols/KRX-001080/
한일철강,4665.0,+3.67%,59254.0,272.0,61544.0,002220,https://kr.tradingview.com/symbols/KRX-002220/
휴스틸,4110.0,+2.37%,6865245.0,30037.0,354921.0,005010,https://kr.tradingview.com/symbols/KRX-005010/
영흥,480.0,+2.35%,672298.0,336.0,70283.0,012160,https://kr.tradingview.com/symbols/KRX-012160/
경남스틸 *,2710.0,+2.07%,576828.0,1568.0,93925.0,039240,https://kr.tradingview.com/symbols/KRX-039240/
동양에스텍 *,1468.0,+1.52%,55616.0,82.0,28951.0,060380,https://kr.tradingview.com/symbols/KRX-060380/
금강철강 *,3880.0,+1.31%,121821.0,487.0,17543.0,053260,https://kr.tradingview.com/symbols/KRX-053260/
아주스틸,3090.0,+1.31%,122037.0,387.0,23568.0,139990,https://kr.tradingview.com/symbols/KRX-139990/
제이스코홀딩스 *,732.0,+1.10%,1448945.0,1077.0,1441013.0,023440,https://kr.tradingview.com/symbols/KRX-023440/
부국철강,2025.0,+0.75%,282991.0,585.0,29332.0,026940,https://kr.tradingview.com/symbols/KRX-026940/
문배철강,2040.0,+0.74%,497546.0,1049.0,35277.0,008420,https://kr.tradingview.com/symbols/KRX-008420/
화인베스틸,1949.0,+0.57%,206447.0,399.0,300217.0,133820,https://kr.tradingview.com/symbols/KRX-133820/
코메론 *,13230.0,+0.53%,14557.0,188.0,18524.0,049430,https://kr.tradingview.com/symbols/KRX-049430/
한국주철관,6670.0,0.00%,52196.0,350.0,44915.0,000970,https://kr.tradingview.com/symbols/KRX-000970/
삼현철강 *,4360.0,0.00%,12113.0,53.0,9664.0,017480,https://kr.tradingview.com/symbols/KRX-017480/
NI스틸,3395.0,-0.15%,164518.0,556.0,69289.0,008260,https://kr.tradingview.com/symbols/KRX-008260/
동일제강,1612.0,-0.19%,23992.0,38.0,55893.0,002690,https://kr.tradingview.com/symbols/KRX-002690/
동일산업,37600.0,-0.40%,430.0,16.0,680.0,004890,https://kr.tradingview.com/symbols/KRX-004890/
현대비앤지스틸,12510.0,-0.48%,111587.0,1385.0,143162.0,004560,https://kr.tradingview.com/symbols/KRX-004560/
KBI동양철관,1884.0,-0.69%,25824867.0,53867.0,11241407.0,008970,https://kr.tradingview.com/symbols/KRX-008970/
한국특강,1370.0,-0.87%,56323.0,77.0,181120.0,007280,https://kr.tradingview.com/symbols/KRX-007280/
대창스틸 *,2090.0,-0.95%,38575.0,81.0,44940.0,140520,https://kr.tradingview.com/symbols/KRX-140520/
대호특수강 *,1224.0,-1.13%,64088.0,79.0,55864.0,021040,https://kr.tradingview.com/symbols/KRX-021040/
DSR제강,3805.0,-1.55%,45765.0,174.0,80351.0,069730,https://kr.tradingview.com/symbols/KRX-069730/
동국산업 *,2545.0,-2.12%,85366.0,218.0,217043.0,005160,https://kr.tradingview.com/symbols/KRX-005160/
원일특강 *,7770.0,-2.51%,7217.0,57.0,4162.0,012620,https://kr.tradingview.com/symbols/KRX-012620/
키스트론 *,4595.0,-2.85%,151568.0,704.0,310214.0,475430,https://kr.tradingview.com/symbols/KRX-475430/
율촌 *,1462.0,-2.99%,212337.0,313.0,396136.0,146060,https://kr.tradingview.com/symbols/KRX-146060/
TCC스틸,13560.0,-4.03%,156978.0,2115.0,223623.0,002710,https://kr.tradingview.com/symbols/KRX-002710/
금강공업,5970.0,-4.17%,482346.0,2916.0,1030704.0,014280,https://kr.tradingview.com/symbols/KRX-014280/
SK오션플랜트,19030.0,-4.66%,429200.0,8219.0,383794.0,100090,https://kr.tradingview.com/symbols/KRX-100090/
동일스틸럭스 *,1295.0,-5.95%,518887.0,677.0,723606.0,023790,https://kr.tradingview.com/symbols/KRX-023790/
