종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
넥스틸,12290.0,+18.17%,5873777.0,75077.0,158951.0,092790,https://kr.tradingview.com/symbols/KRX-092790/
하이스틸,3875.0,+10.87%,8922884.0,37013.0,198088.0,071090,https://kr.tradingview.com/symbols/KRX-071090/
이렘 *,631.0,+6.41%,7422536.0,5017.0,590701.0,009730,https://kr.tradingview.com/symbols/KRX-009730/
유에스티 *,1907.0,+5.53%,565803.0,1119.0,15494.0,263770,https://kr.tradingview.com/symbols/KRX-263770/
휴스틸,4110.0,+2.37%,6865245.0,30037.0,354921.0,005010,https://kr.tradingview.com/symbols/KRX-005010/
한국주철관,6670.0,0.00%,52196.0,350.0,44915.0,000970,https://kr.tradingview.com/symbols/KRX-000970/
세아제강,116900.0,-0.09%,71682.0,8683.0,8307.0,306200,https://kr.tradingview.com/symbols/KRX-306200/
KBI동양철관,1884.0,-0.69%,25824867.0,53867.0,11241407.0,008970,https://kr.tradingview.com/symbols/KRX-008970/
율촌 *,1462.0,-2.99%,212337.0,313.0,396136.0,146060,https://kr.tradingview.com/symbols/KRX-146060/
금강공업,5970.0,-4.17%,482346.0,2916.0,1030704.0,014280,https://kr.tradingview.com/symbols/KRX-014280/
SK오션플랜트,19030.0,-4.66%,429200.0,8219.0,383794.0,100090,https://kr.tradingview.com/symbols/KRX-100090/
