종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
이미지스 *,1700.0,+29.97%,12872132.0,20578.0,1270536.0,115610,https://kr.tradingview.com/symbols/KRX-115610/
인지소프트 *,21400.0,+2.39%,17876.0,375.0,14350.0,100030,https://kr.tradingview.com/symbols/KRX-100030/
다산네트웍스 *,3430.0,+2.08%,562419.0,1914.0,483025.0,039560,https://kr.tradingview.com/symbols/KRX-039560/
유비벨록스 *,5400.0,+0.75%,44750.0,237.0,37661.0,089850,https://kr.tradingview.com/symbols/KRX-089850/
유엔젤,4430.0,-0.11%,59831.0,261.0,74425.0,072130,https://kr.tradingview.com/symbols/KRX-072130/
텔코웨어,16080.0,-0.50%,9805.0,156.0,25019.0,078000,https://kr.tradingview.com/symbols/KRX-078000/
포니링크 *,809.0,-0.74%,250157.0,200.0,222339.0,064800,https://kr.tradingview.com/symbols/KRX-064800/
브레인즈컴퍼니 *,4990.0,-1.19%,10335.0,51.0,17797.0,099390,https://kr.tradingview.com/symbols/KRX-099390/
지어소프트 *,7550.0,-1.56%,76213.0,574.0,125148.0,051160,https://kr.tradingview.com/symbols/KRX-051160/
인포뱅크 *,5910.0,-1.83%,28921.0,170.0,14278.0,039290,https://kr.tradingview.com/symbols/KRX-039290/
키네마스터 *,2275.0,-1.94%,78882.0,176.0,61624.0,139670,https://kr.tradingview.com/symbols/KRX-139670/
MDS테크 *,1430.0,-2.26%,2624314.0,3731.0,3979612.0,086960,https://kr.tradingview.com/symbols/KRX-086960/
폴라리스오피스 *,4425.0,-2.32%,440671.0,1947.0,2041843.0,041020,https://kr.tradingview.com/symbols/KRX-041020/
네이블 *,7080.0,-2.61%,4564.0,33.0,2495.0,153460,https://kr.tradingview.com/symbols/KRX-153460/
카페24 *,30900.0,-2.68%,131335.0,4059.0,111936.0,042000,https://kr.tradingview.com/symbols/KRX-042000/
셀바스AI *,11740.0,-2.81%,340261.0,3995.0,384611.0,108860,https://kr.tradingview.com/symbols/KRX-108860/
핑거 *,9880.0,-2.85%,71795.0,708.0,97170.0,163730,https://kr.tradingview.com/symbols/KRX-163730/
위세아이텍 *,5200.0,-3.70%,26881.0,141.0,46007.0,065370,https://kr.tradingview.com/symbols/KRX-065370/
갤럭시아머니트리 *,9270.0,-3.94%,235536.0,2182.0,430365.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
다날 *,6810.0,-4.35%,3199183.0,21774.0,9548819.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
엠로 *,34850.0,-4.39%,104786.0,3665.0,137856.0,058970,https://kr.tradingview.com/symbols/KRX-058970/
유라클 *,13760.0,-4.51%,88771.0,1226.0,133671.0,088340,https://kr.tradingview.com/symbols/KRX-088340/
이루온 *,1421.0,-4.57%,309625.0,441.0,321677.0,065440,https://kr.tradingview.com/symbols/KRX-065440/
