종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
이녹스첨단소재 *,26850.0,+7.40%,1031733.0,27174.0,308711.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
켐트로닉스 *,32850.0,+6.66%,896854.0,29122.0,233113.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
SKC,116100.0,+6.61%,677729.0,77753.0,227705.0,011790,https://kr.tradingview.com/symbols/KRX-011790/
LG화학,350500.0,+5.89%,584229.0,203590.0,212312.0,051910,https://kr.tradingview.com/symbols/KRX-051910/
코오롱인더,46650.0,+5.78%,433672.0,19859.0,207277.0,120110,https://kr.tradingview.com/symbols/KRX-120110/
테이팩스,15150.0,+5.72%,53427.0,805.0,11609.0,055490,https://kr.tradingview.com/symbols/KRX-055490/
도우인시스 *,23700.0,+4.41%,36740.0,843.0,39654.0,484120,https://kr.tradingview.com/symbols/KRX-484120/
PI첨단소재,16090.0,+4.41%,169713.0,2698.0,77061.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
LG디스플레이,12660.0,+3.86%,2607168.0,32732.0,2032287.0,034220,https://kr.tradingview.com/symbols/KRX-034220/
비에이치,16530.0,+3.38%,249451.0,4090.0,288582.0,090460,https://kr.tradingview.com/symbols/KRX-090460/
노바텍 *,24950.0,+3.31%,257201.0,6331.0,271332.0,285490,https://kr.tradingview.com/symbols/KRX-285490/
파인엠텍 *,9090.0,+3.18%,332929.0,3003.0,364207.0,441270,https://kr.tradingview.com/symbols/KRX-441270/
인터플렉스 *,10760.0,+2.97%,202990.0,2144.0,135507.0,051370,https://kr.tradingview.com/symbols/KRX-051370/
세경하이테크 *,4710.0,+2.84%,167554.0,785.0,159564.0,148150,https://kr.tradingview.com/symbols/KRX-148150/
파인텍 *,751.0,+1.90%,463856.0,340.0,105634.0,131760,https://kr.tradingview.com/symbols/KRX-131760/
삼성전자,152300.0,+1.87%,31014713.0,4789924.0,31703610.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
디케이티 *,6910.0,+1.32%,62626.0,432.0,106353.0,290550,https://kr.tradingview.com/symbols/KRX-290550/
원익큐브 *,2045.0,+1.24%,558072.0,1136.0,878990.0,014190,https://kr.tradingview.com/symbols/KRX-014190/
상보 *,809.0,+1.13%,1064047.0,871.0,445626.0,027580,https://kr.tradingview.com/symbols/KRX-027580/
삼성전기,283000.0,+1.07%,475584.0,135118.0,581814.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
동운아나텍 *,27000.0,+0.19%,122715.0,3328.0,144518.0,094170,https://kr.tradingview.com/symbols/KRX-094170/
에스코넥 *,701.0,-1.54%,358132.0,253.0,760323.0,096630,https://kr.tradingview.com/symbols/KRX-096630/
KH바텍 *,13980.0,-1.62%,501973.0,7169.0,505160.0,060720,https://kr.tradingview.com/symbols/KRX-060720/
유티아이 *,20500.0,-1.68%,124776.0,2549.0,93567.0,179900,https://kr.tradingview.com/symbols/KRX-179900/
