종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한농화성,22850.0,+29.83%,3265325.0,68897.0,581834.0,011500,https://kr.tradingview.com/symbols/KRX-011500/
강원에너지 *,17640.0,+28.20%,7316261.0,119998.0,203345.0,114190,https://kr.tradingview.com/symbols/KRX-114190/
롯데에너지머티리얼즈,42350.0,+26.61%,2653823.0,106887.0,190047.0,020150,https://kr.tradingview.com/symbols/KRX-020150/
쎄노텍 *,1150.0,+26.23%,10719329.0,11645.0,1374148.0,222420,https://kr.tradingview.com/symbols/KRX-222420/
엘앤에프,125900.0,+12.81%,1378652.0,168709.0,313553.0,066970,https://kr.tradingview.com/symbols/KRX-066970/
동화기업 *,9000.0,+12.50%,1615436.0,14869.0,77167.0,025900,https://kr.tradingview.com/symbols/KRX-025900/
애경케미칼,9630.0,+11.72%,1658885.0,15983.0,212900.0,161000,https://kr.tradingview.com/symbols/KRX-161000/
TCC스틸,15130.0,+11.58%,668893.0,9919.0,156978.0,002710,https://kr.tradingview.com/symbols/KRX-002710/
광무 *,2640.0,+11.16%,1466446.0,3744.0,572572.0,029480,https://kr.tradingview.com/symbols/KRX-029480/
신흥에스이씨 *,5840.0,+11.03%,1682609.0,9599.0,261827.0,243840,https://kr.tradingview.com/symbols/KRX-243840/
에코프로 *,105000.0,+10.41%,6816322.0,704370.0,1690839.0,086520,https://kr.tradingview.com/symbols/KRX-086520/
메가터치 *,4130.0,+10.28%,7009624.0,29078.0,132876.0,446540,https://kr.tradingview.com/symbols/KRX-446540/
나노신소재 *,55600.0,+10.10%,275713.0,14946.0,84773.0,121600,https://kr.tradingview.com/symbols/KRX-121600/
피노 *,5300.0,+9.96%,612994.0,3206.0,312180.0,033790,https://kr.tradingview.com/symbols/KRX-033790/
SK아이이테크놀로지,26550.0,+9.94%,477885.0,12346.0,196037.0,361610,https://kr.tradingview.com/symbols/KRX-361610/
대주전자재료 *,67900.0,+9.87%,736923.0,49178.0,142912.0,078600,https://kr.tradingview.com/symbols/KRX-078600/
동원시스템즈,26950.0,+9.33%,110320.0,2904.0,39840.0,014820,https://kr.tradingview.com/symbols/KRX-014820/
코스모화학,15690.0,+8.88%,648112.0,10005.0,207401.0,005420,https://kr.tradingview.com/symbols/KRX-005420/
코스모신소재,47900.0,+8.25%,603561.0,28429.0,235784.0,005070,https://kr.tradingview.com/symbols/KRX-005070/
이랜텍 *,9990.0,+8.23%,670451.0,6548.0,313531.0,054210,https://kr.tradingview.com/symbols/KRX-054210/
포스코퓨처엠,217000.0,+8.23%,1019427.0,217578.0,434175.0,003670,https://kr.tradingview.com/symbols/KRX-003670/
삼아알미늄,25900.0,+8.14%,269163.0,6863.0,68959.0,006110,https://kr.tradingview.com/symbols/KRX-006110/
에코프로비엠 *,172400.0,+7.68%,1614170.0,275699.0,701320.0,247540,https://kr.tradingview.com/symbols/KRX-247540/
