종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
씨아이에스 *,9240.0,+29.96%,14689532.0,127007.0,684399.0,222080,https://kr.tradingview.com/symbols/KRX-222080/
삼성SDI,384500.0,+18.67%,5826177.0,2141920.0,1109366.0,006400,https://kr.tradingview.com/symbols/KRX-006400/
피엔티 *,43950.0,+12.40%,1107341.0,47454.0,186098.0,137400,https://kr.tradingview.com/symbols/KRX-137400/
TCC스틸,15130.0,+11.58%,668893.0,9919.0,156978.0,002710,https://kr.tradingview.com/symbols/KRX-002710/
아모그린텍 *,6390.0,+7.58%,248599.0,1543.0,91656.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
알멕 *,45500.0,+4.00%,140756.0,6388.0,183128.0,354320,https://kr.tradingview.com/symbols/KRX-354320/
상신이디피 *,14640.0,+3.90%,577476.0,8475.0,149619.0,091580,https://kr.tradingview.com/symbols/KRX-091580/
우신시스템,6250.0,+1.46%,433080.0,2716.0,6894713.0,017370,https://kr.tradingview.com/symbols/KRX-017370/
유진테크놀로지 *,4010.0,+1.26%,59608.0,241.0,72088.0,240600,https://kr.tradingview.com/symbols/KRX-240600/
동국알앤에스 *,2205.0,+0.68%,112195.0,247.0,109852.0,075970,https://kr.tradingview.com/symbols/KRX-075970/
포스코인터내셔널,62700.0,+0.48%,946004.0,58923.0,2226507.0,047050,https://kr.tradingview.com/symbols/KRX-047050/
남성,812.0,-0.25%,62304.0,50.0,12698.0,004270,https://kr.tradingview.com/symbols/KRX-004270/
우리산업 *,8950.0,-0.56%,71353.0,642.0,95720.0,215360,https://kr.tradingview.com/symbols/KRX-215360/
폴라리스세원 *,1272.0,-0.70%,1625600.0,2112.0,1616225.0,234100,https://kr.tradingview.com/symbols/KRX-234100/
대유에이텍,1100.0,-1.96%,105642.0,117.0,154507.0,002880,https://kr.tradingview.com/symbols/KRX-002880/
대원화성,882.0,-2.00%,141363.0,124.0,121492.0,024890,https://kr.tradingview.com/symbols/KRX-024890/
디와이,5080.0,-2.50%,288114.0,1465.0,251330.0,013570,https://kr.tradingview.com/symbols/KRX-013570/
HL만도,67900.0,-4.90%,2934851.0,205476.0,6796873.0,204320,https://kr.tradingview.com/symbols/KRX-204320/
피에이치에이 *,12070.0,-4.96%,288790.0,3544.0,363875.0,043370,https://kr.tradingview.com/symbols/KRX-043370/
에코캡 *,2480.0,-5.88%,1119780.0,2867.0,841233.0,128540,https://kr.tradingview.com/symbols/KRX-128540/
모베이스전자 *,4345.0,-8.72%,29253962.0,124960.0,14029206.0,012860,https://kr.tradingview.com/symbols/KRX-012860/
