종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제닉 *,18980.0,+14.54%,430144.0,8158.0,51898.0,123330,https://kr.tradingview.com/symbols/KRX-123330/
인크레더블버즈 *,1540.0,+11.92%,2528469.0,3902.0,79643.0,064090,https://kr.tradingview.com/symbols/KRX-064090/
에이피알,286000.0,+11.50%,1351739.0,377311.0,684292.0,278470,https://kr.tradingview.com/symbols/KRX-278470/
펌텍코리아 *,59500.0,+10.39%,193495.0,11475.0,38667.0,251970,https://kr.tradingview.com/symbols/KRX-251970/
코스메카코리아 *,81200.0,+10.03%,310725.0,25007.0,146146.0,241710,https://kr.tradingview.com/symbols/KRX-241710/
네오팜 *,19110.0,+9.58%,157891.0,2937.0,50472.0,092730,https://kr.tradingview.com/symbols/KRX-092730/
HLB글로벌,2435.0,+7.51%,527621.0,1272.0,194804.0,003580,https://kr.tradingview.com/symbols/KRX-003580/
잉글우드랩 *,11600.0,+6.91%,222462.0,2543.0,86132.0,950140,https://kr.tradingview.com/symbols/KRX-950140/
에스엠씨지 *,3550.0,+6.61%,1187599.0,4332.0,205589.0,460870,https://kr.tradingview.com/symbols/KRX-460870/
파마리서치 *,456000.0,+6.54%,362893.0,165857.0,224015.0,214450,https://kr.tradingview.com/symbols/KRX-214450/
아모레퍼시픽,126700.0,+6.38%,897713.0,112912.0,233057.0,090430,https://kr.tradingview.com/symbols/KRX-090430/
에이블씨엔씨,10040.0,+6.36%,406784.0,4108.0,126144.0,078520,https://kr.tradingview.com/symbols/KRX-078520/
지놈앤컴퍼니 *,8840.0,+6.12%,1099104.0,9528.0,1740918.0,314130,https://kr.tradingview.com/symbols/KRX-314130/
엔에프씨 *,4905.0,+5.94%,365967.0,1789.0,212700.0,265740,https://kr.tradingview.com/symbols/KRX-265740/
달바글로벌,147600.0,+5.35%,288188.0,42559.0,98363.0,483650,https://kr.tradingview.com/symbols/KRX-483650/
파미셀,13210.0,+5.34%,1264009.0,16794.0,928804.0,005690,https://kr.tradingview.com/symbols/KRX-005690/
씨앤씨인터내셔널 *,31600.0,+5.33%,80226.0,2501.0,38601.0,352480,https://kr.tradingview.com/symbols/KRX-352480/
아로마티카 *,9230.0,+5.01%,312227.0,2851.0,288128.0,0015N0,https://kr.tradingview.com/symbols/KRX-000150/
코스맥스,193000.0,+4.78%,184730.0,35641.0,93547.0,192820,https://kr.tradingview.com/symbols/KRX-192820/
CSA 코스믹 *,475.0,+4.63%,600230.0,283.0,334679.0,083660,https://kr.tradingview.com/symbols/KRX-083660/
셀바이오휴먼텍 *,8150.0,+4.49%,61769.0,492.0,44883.0,318160,https://kr.tradingview.com/symbols/KRX-318160/
신세계인터내셔날,11210.0,+4.47%,133360.0,1483.0,46152.0,031430,https://kr.tradingview.com/symbols/KRX-031430/
현대바이오 *,5890.0,+4.43%,1039344.0,6010.0,879511.0,048410,https://kr.tradingview.com/symbols/KRX-048410/
아이패밀리에스씨 *,15370.0,+3.92%,148280.0,2275.0,78505.0,114840,https://kr.tradingview.com/symbols/KRX-114840/
토니모리,8480.0,+3.92%,245116.0,2075.0,152603.0,214420,https://kr.tradingview.com/symbols/KRX-214420/
오가닉티코스메틱 *,141.0,+3.68%,10872360.0,1490.0,15003757.0,900300,https://kr.tradingview.com/symbols/KRX-900300/
한국화장품제조,48650.0,+3.62%,88501.0,4275.0,22736.0,003350,https://kr.tradingview.com/symbols/KRX-003350/
청담글로벌 *,5770.0,+3.59%,190679.0,1101.0,117162.0,362320,https://kr.tradingview.com/symbols/KRX-362320/
브이티 *,16660.0,+3.22%,339309.0,5620.0,255904.0,018290,https://kr.tradingview.com/symbols/KRX-018290/
아모레퍼시픽홀딩스,26600.0,+3.10%,192505.0,5105.0,99315.0,002790,https://kr.tradingview.com/symbols/KRX-002790/
모아라이프플러스 *,1814.0,+3.07%,800140.0,1430.0,1925767.0,142760,https://kr.tradingview.com/symbols/KRX-142760/
한국콜마,66400.0,+2.95%,421348.0,27969.0,194545.0,161890,https://kr.tradingview.com/symbols/KRX-161890/
엘앤씨바이오 *,54000.0,+2.86%,535391.0,28329.0,457903.0,290650,https://kr.tradingview.com/symbols/KRX-290650/
한국화장품,10510.0,+2.64%,878542.0,9305.0,415235.0,123690,https://kr.tradingview.com/symbols/KRX-123690/
네이처셀 *,20100.0,+2.55%,417065.0,8259.0,444008.0,007390,https://kr.tradingview.com/symbols/KRX-007390/
마녀공장 *,14090.0,+2.55%,89297.0,1258.0,70359.0,439090,https://kr.tradingview.com/symbols/KRX-439090/
지에프씨생명과학 *,12410.0,+2.48%,52172.0,637.0,55150.0,388610,https://kr.tradingview.com/symbols/KRX-388610/
콜마홀딩스,9420.0,+2.39%,90339.0,849.0,124820.0,024720,https://kr.tradingview.com/symbols/KRX-024720/
국제약품,4475.0,+2.17%,158807.0,702.0,152181.0,002720,https://kr.tradingview.com/symbols/KRX-002720/
에스씨엠생명과학 *,809.0,+2.15%,74742.0,59.0,110476.0,298060,https://kr.tradingview.com/symbols/KRX-298060/
HLB펩 *,8170.0,+2.13%,37705.0,305.0,26612.0,196300,https://kr.tradingview.com/symbols/KRX-196300/
코리아나 *,2195.0,+2.09%,367535.0,808.0,207030.0,027050,https://kr.tradingview.com/symbols/KRX-027050/
클리오 *,12790.0,+2.08%,55205.0,704.0,53826.0,237880,https://kr.tradingview.com/symbols/KRX-237880/
케어젠 *,76000.0,+2.01%,110928.0,8287.0,211069.0,214370,https://kr.tradingview.com/symbols/KRX-214370/
실리콘투 *,48600.0,+1.99%,2355796.0,114597.0,3154485.0,257720,https://kr.tradingview.com/symbols/KRX-257720/
잇츠한불,11160.0,+1.92%,27091.0,303.0,16593.0,226320,https://kr.tradingview.com/symbols/KRX-226320/
애경산업,12840.0,+1.90%,24050.0,306.0,36510.0,018250,https://kr.tradingview.com/symbols/KRX-018250/
에이에스텍 *,16300.0,+1.88%,30584.0,500.0,8842.0,453860,https://kr.tradingview.com/symbols/KRX-453860/
LG생활건강,274000.0,+1.67%,97477.0,26577.0,72089.0,051900,https://kr.tradingview.com/symbols/KRX-051900/
삐아 *,9230.0,+1.65%,98829.0,915.0,43758.0,451250,https://kr.tradingview.com/symbols/KRX-451250/
선진뷰티사이언스 *,9250.0,+1.65%,33160.0,308.0,39226.0,086710,https://kr.tradingview.com/symbols/KRX-086710/
씨티케이 *,4265.0,+1.55%,86428.0,366.0,30261.0,260930,https://kr.tradingview.com/symbols/KRX-260930/
바이오비쥬 *,11740.0,+1.38%,165322.0,1904.0,240602.0,489460,https://kr.tradingview.com/symbols/KRX-489460/
클래시스 *,59200.0,+1.37%,395029.0,23523.0,212409.0,214150,https://kr.tradingview.com/symbols/KRX-214150/
제이투케이바이오 *,8100.0,+1.25%,14357.0,116.0,33121.0,420570,https://kr.tradingview.com/symbols/KRX-420570/
슈피겐코리아 *,21950.0,+0.92%,11784.0,257.0,9357.0,192440,https://kr.tradingview.com/symbols/KRX-192440/
코디 *,1025.0,+0.89%,24856.0,25.0,60110.0,080530,https://kr.tradingview.com/symbols/KRX-080530/
셀로맥스사이언스 *,4860.0,+0.62%,70867.0,347.0,96758.0,471820,https://kr.tradingview.com/symbols/KRX-471820/
아우딘퓨쳐스 *,769.0,+0.52%,35522.0,27.0,54071.0,227610,https://kr.tradingview.com/symbols/KRX-227610/
현대바이오랜드 *,4150.0,+0.48%,55755.0,232.0,70069.0,052260,https://kr.tradingview.com/symbols/KRX-052260/
컬러레이 *,562.0,+0.36%,124282.0,70.0,145985.0,900310,https://kr.tradingview.com/symbols/KRX-900310/
제로투세븐 *,3795.0,+0.26%,39464.0,149.0,86913.0,159580,https://kr.tradingview.com/symbols/KRX-159580/
피엔케이피부임상연구센타 *,2360.0,+0.21%,33042.0,78.0,29225.0,347740,https://kr.tradingview.com/symbols/KRX-347740/
글로본 *,2585.0,+0.19%,20016.0,51.0,24570.0,019660,https://kr.tradingview.com/symbols/KRX-019660/
승일 *,7710.0,+0.13%,3908.0,30.0,1287.0,049830,https://kr.tradingview.com/symbols/KRX-049830/
씨큐브 *,3930.0,+0.13%,18121.0,71.0,33551.0,101240,https://kr.tradingview.com/symbols/KRX-101240/
콜마비앤에이치 *,12320.0,+0.08%,48350.0,596.0,60980.0,200130,https://kr.tradingview.com/symbols/KRX-200130/
오상자이엘 *,3220.0,0.00%,111380.0,357.0,91468.0,053980,https://kr.tradingview.com/symbols/KRX-053980/
뉴키즈온 *,4690.0,0.00%,25992.0,122.0,306184.0,462310,https://kr.tradingview.com/symbols/KRX-462310/
넥스트아이 *,297.0,0.00%,383398.0,112.0,220998.0,137940,https://kr.tradingview.com/symbols/KRX-137940/
헝셩그룹 *,176.0,0.00%,3310579.0,576.0,4104521.0,900270,https://kr.tradingview.com/symbols/KRX-900270/
라파스 *,12690.0,-0.08%,35274.0,446.0,67601.0,214260,https://kr.tradingview.com/symbols/KRX-214260/
동구바이오제약 *,4995.0,-0.10%,195943.0,974.0,269952.0,006620,https://kr.tradingview.com/symbols/KRX-006620/
코웨이,76600.0,-0.13%,492814.0,37517.0,295289.0,021240,https://kr.tradingview.com/symbols/KRX-021240/
프롬바이오 *,1408.0,-0.14%,1783185.0,2658.0,946875.0,377220,https://kr.tradingview.com/symbols/KRX-377220/
휴엠앤씨 *,3685.0,-0.27%,17006.0,63.0,4643.0,263920,https://kr.tradingview.com/symbols/KRX-263920/
내츄럴엔도텍 *,2720.0,-0.37%,128069.0,346.0,136818.0,168330,https://kr.tradingview.com/symbols/KRX-168330/
리더스코스메틱 *,1661.0,-0.54%,353777.0,625.0,13213.0,016100,https://kr.tradingview.com/symbols/KRX-016100/
메타랩스,1620.0,-0.55%,191872.0,313.0,288974.0,090370,https://kr.tradingview.com/symbols/KRX-090370/
미원상사,142100.0,-0.63%,2890.0,414.0,2544.0,002840,https://kr.tradingview.com/symbols/KRX-002840/
에코글로우 *,609.0,-0.65%,321377.0,195.0,244226.0,159910,https://kr.tradingview.com/symbols/KRX-159910/
차AI헬스케어,10410.0,-0.67%,22529.0,235.0,29563.0,025620,https://kr.tradingview.com/symbols/KRX-025620/
인스코비,720.0,-0.69%,618101.0,441.0,549343.0,006490,https://kr.tradingview.com/symbols/KRX-006490/
케이엠제약 *,510.0,-0.78%,45328.0,23.0,33646.0,225430,https://kr.tradingview.com/symbols/KRX-225430/
바른손 *,833.0,-0.83%,60586.0,51.0,61168.0,018700,https://kr.tradingview.com/symbols/KRX-018700/
세화피앤씨 *,795.0,-0.87%,135075.0,107.0,27716.0,252500,https://kr.tradingview.com/symbols/KRX-252500/
대봉엘에스 *,11770.0,-1.09%,29925.0,352.0,88811.0,078140,https://kr.tradingview.com/symbols/KRX-078140/
뷰티스킨 *,4135.0,-1.55%,118837.0,488.0,101067.0,406820,https://kr.tradingview.com/symbols/KRX-406820/
본느 *,554.0,-2.12%,227838.0,128.0,96252.0,226340,https://kr.tradingview.com/symbols/KRX-226340/
더라미 *,1500.0,-2.41%,197513.0,301.0,244511.0,032860,https://kr.tradingview.com/symbols/KRX-032860/
디와이디 *,1813.0,-2.79%,1079341.0,1928.0,1733372.0,219550,https://kr.tradingview.com/symbols/KRX-219550/
강스템바이오텍 *,2080.0,-3.03%,664645.0,1404.0,1199812.0,217730,https://kr.tradingview.com/symbols/KRX-217730/
