종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
페스카로 *,22250.0,+25.00%,5987962.0,127031.0,639332.0,0015S0,https://kr.tradingview.com/symbols/KRX-000150/
쿼드메디슨 *,15150.0,+17.44%,1769695.0,25811.0,556112.0,464490,https://kr.tradingview.com/symbols/KRX-464490/
아크릴 *,32400.0,+14.08%,921673.0,29445.0,232753.0,0007C0,https://kr.tradingview.com/symbols/KRX-000070/
비츠로넥스텍 *,25200.0,+13.00%,3036613.0,76039.0,2131480.0,488900,https://kr.tradingview.com/symbols/KRX-488900/
큐리오시스 *,56100.0,+8.51%,299185.0,16475.0,263099.0,494120,https://kr.tradingview.com/symbols/KRX-494120/
삼미금속 *,8880.0,+6.99%,3401836.0,30964.0,1280029.0,012210,https://kr.tradingview.com/symbols/KRX-012210/
아이티켐 *,33050.0,+5.59%,151498.0,4969.0,188519.0,309710,https://kr.tradingview.com/symbols/KRX-309710/
아우토크립트 *,16330.0,+5.42%,549642.0,8946.0,216158.0,331740,https://kr.tradingview.com/symbols/KRX-331740/
아로마티카 *,9230.0,+5.01%,312227.0,2851.0,288128.0,0015N0,https://kr.tradingview.com/symbols/KRX-000150/
도우인시스 *,23700.0,+4.41%,36740.0,843.0,39654.0,484120,https://kr.tradingview.com/symbols/KRX-484120/
삼익제약 *,17920.0,+4.07%,4885619.0,91642.0,1090841.0,014950,https://kr.tradingview.com/symbols/KRX-014950/
그래피 *,32000.0,+4.07%,426961.0,13185.0,548292.0,318060,https://kr.tradingview.com/symbols/KRX-318060/
지투지바이오 *,77000.0,+3.77%,852642.0,64456.0,1367100.0,456160,https://kr.tradingview.com/symbols/KRX-456160/
대한조선,70200.0,+3.54%,257624.0,17846.0,130457.0,439260,https://kr.tradingview.com/symbols/KRX-439260/
리브스메드 *,59000.0,+3.15%,700558.0,41641.0,657946.0,491000,https://kr.tradingview.com/symbols/KRX-491000/
노타 *,43550.0,+3.08%,887614.0,40230.0,505597.0,486990,https://kr.tradingview.com/symbols/KRX-486990/
프로티나 *,78000.0,+2.77%,294828.0,22814.0,516297.0,468530,https://kr.tradingview.com/symbols/KRX-468530/
테라뷰 *,9030.0,+2.15%,6463509.0,61524.0,1981631.0,950250,https://kr.tradingview.com/symbols/KRX-950250/
엔알비 *,16670.0,+2.02%,159830.0,2669.0,394213.0,475230,https://kr.tradingview.com/symbols/KRX-475230/
세미파이브 *,23550.0,+1.73%,399336.0,9405.0,670311.0,490470,https://kr.tradingview.com/symbols/KRX-490470/
에스투더블유 *,21550.0,+1.41%,212758.0,4512.0,726454.0,488280,https://kr.tradingview.com/symbols/KRX-488280/
에스엔시스 *,32800.0,+1.39%,48137.0,1568.0,55075.0,0008Z0,https://kr.tradingview.com/symbols/KRX-000080/
제이피아이헬스케어 *,13710.0,+1.18%,42863.0,577.0,53858.0,0010V0,https://kr.tradingview.com/symbols/KRX-000100/
이지스 *,9990.0,+1.11%,244344.0,2432.0,227063.0,261520,https://kr.tradingview.com/symbols/KRX-261520/
뉴엔AI *,15220.0,+1.00%,122526.0,1845.0,91027.0,463020,https://kr.tradingview.com/symbols/KRX-463020/
교보18호스팩 *,2085.0,+0.48%,11148.0,23.0,12903.0,0041B0,https://kr.tradingview.com/symbols/KRX-000410/
미래에셋비전스팩9호 *,1975.0,+0.36%,39580.0,78.0,112460.0,0096D0,https://kr.tradingview.com/symbols/KRX-000960/
세나테크놀로지 *,42300.0,+0.36%,20983.0,885.0,65280.0,061090,https://kr.tradingview.com/symbols/KRX-061090/
비엔케이제3호스팩 *,1983.0,+0.25%,44486.0,88.0,61942.0,0068Y0,https://kr.tradingview.com/symbols/KRX-000680/
교보19호스팩 *,2030.0,+0.25%,83463.0,169.0,29567.0,0098T0,https://kr.tradingview.com/symbols/KRX-000980/
KB제32호스팩 *,2005.0,+0.25%,4722.0,9.0,2003.0,0037T0,https://kr.tradingview.com/symbols/KRX-000370/
IBKS제25호스팩 *,2120.0,+0.24%,67150.0,143.0,69923.0,0099X0,https://kr.tradingview.com/symbols/KRX-000990/
키움히어로제1호스팩 *,1996.0,+0.15%,39235.0,78.0,49316.0,466690,https://kr.tradingview.com/symbols/KRX-466690/
대신밸류리츠,4500.0,+0.11%,34221.0,154.0,29387.0,0030R0,https://kr.tradingview.com/symbols/KRX-000300/
