종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
이브이첨단소재 *,2085.0,+29.91%,15216504.0,29420.0,1319939.0,131400,https://kr.tradingview.com/symbols/KRX-131400/
롯데에너지머티리얼즈,42350.0,+26.61%,2653823.0,106887.0,190047.0,020150,https://kr.tradingview.com/symbols/KRX-020150/
필옵틱스 *,46050.0,+10.04%,1294487.0,58622.0,271518.0,161580,https://kr.tradingview.com/symbols/KRX-161580/
아모그린텍 *,6390.0,+7.58%,248599.0,1543.0,91656.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
이녹스첨단소재 *,26850.0,+7.40%,1031733.0,27174.0,308711.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
상아프론테크 *,15900.0,+7.29%,114003.0,1775.0,64461.0,089980,https://kr.tradingview.com/symbols/KRX-089980/
태성 *,48400.0,+5.79%,897627.0,43694.0,724506.0,323280,https://kr.tradingview.com/symbols/KRX-323280/
이수페타시스,113100.0,+5.70%,1387500.0,153401.0,1599446.0,007660,https://kr.tradingview.com/symbols/KRX-007660/
코리아써키트,63900.0,+5.27%,558478.0,35554.0,651771.0,007810,https://kr.tradingview.com/symbols/KRX-007810/
자비스 *,1445.0,+4.56%,321882.0,458.0,258593.0,254120,https://kr.tradingview.com/symbols/KRX-254120/
와이제이링크 *,4500.0,+4.41%,4927248.0,21984.0,1305835.0,209640,https://kr.tradingview.com/symbols/KRX-209640/
PI첨단소재,16090.0,+4.41%,169713.0,2698.0,77061.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
비에이치,16530.0,+3.38%,249451.0,4090.0,288582.0,090460,https://kr.tradingview.com/symbols/KRX-090460/
인터플렉스 *,10760.0,+2.97%,202990.0,2144.0,135507.0,051370,https://kr.tradingview.com/symbols/KRX-051370/
티엘비 *,55800.0,+2.39%,134219.0,7446.0,149060.0,356860,https://kr.tradingview.com/symbols/KRX-356860/
심텍 *,48650.0,+2.21%,536537.0,26050.0,749912.0,222800,https://kr.tradingview.com/symbols/KRX-222800/
대덕전자,50400.0,+1.72%,995353.0,49955.0,652595.0,353200,https://kr.tradingview.com/symbols/KRX-353200/
와이엠티 *,10510.0,+1.45%,51972.0,549.0,118479.0,251370,https://kr.tradingview.com/symbols/KRX-251370/
시노펙스 *,5680.0,+1.07%,410363.0,2324.0,500762.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
삼성전기,283000.0,+1.07%,475584.0,135118.0,581814.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
현우산업 *,3095.0,+0.49%,51154.0,159.0,167145.0,092300,https://kr.tradingview.com/symbols/KRX-092300/
타이거일렉 *,34350.0,+0.44%,103309.0,3508.0,416320.0,219130,https://kr.tradingview.com/symbols/KRX-219130/
성우테크론 *,3130.0,+0.16%,17864.0,56.0,27515.0,045300,https://kr.tradingview.com/symbols/KRX-045300/
펨트론 *,15670.0,0.00%,94366.0,1487.0,108746.0,168360,https://kr.tradingview.com/symbols/KRX-168360/
우리바이오 *,1949.0,-0.05%,196738.0,383.0,386010.0,082850,https://kr.tradingview.com/symbols/KRX-082850/
뉴프렉스 *,6260.0,-0.48%,983616.0,6214.0,1584715.0,085670,https://kr.tradingview.com/symbols/KRX-085670/
디에이피 *,1900.0,-0.52%,61776.0,116.0,6278.0,066900,https://kr.tradingview.com/symbols/KRX-066900/
화인써키트 *,5480.0,-0.90%,17727.0,97.0,4758.0,127980,https://kr.tradingview.com/symbols/KRX-127980/
에이엔피,417.0,-1.42%,116863.0,49.0,57705.0,015260,https://kr.tradingview.com/symbols/KRX-015260/
네오티스 *,12400.0,-7.53%,532219.0,6714.0,1077940.0,085910,https://kr.tradingview.com/symbols/KRX-085910/
