종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아모텍 *,10470.0,+19.93%,1964063.0,19909.0,404198.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
대주전자재료 *,67900.0,+9.87%,736923.0,49178.0,142912.0,078600,https://kr.tradingview.com/symbols/KRX-078600/
코스모신소재,47900.0,+8.25%,603561.0,28429.0,235784.0,005070,https://kr.tradingview.com/symbols/KRX-005070/
코칩 *,16600.0,+7.30%,755693.0,12668.0,114712.0,126730,https://kr.tradingview.com/symbols/KRX-126730/
원준 *,8150.0,+7.10%,421665.0,3410.0,59165.0,382840,https://kr.tradingview.com/symbols/KRX-382840/
삼화콘덴서,31300.0,+2.96%,136194.0,4299.0,145258.0,001820,https://kr.tradingview.com/symbols/KRX-001820/
삼성전기,283000.0,+1.07%,475584.0,135118.0,581814.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
아바텍 *,9290.0,+0.32%,28197.0,260.0,18661.0,149950,https://kr.tradingview.com/symbols/KRX-149950/
한울반도체 *,1935.0,-0.15%,193434.0,373.0,256929.0,320000,https://kr.tradingview.com/symbols/KRX-320000/
네온테크 *,2475.0,-2.56%,431124.0,1084.0,420009.0,306620,https://kr.tradingview.com/symbols/KRX-306620/
