종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아모텍 *,10470.0,+19.93%,1964063.0,19909.0,404198.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
레몬 *,8690.0,+9.86%,1097038.0,9647.0,99584.0,294140,https://kr.tradingview.com/symbols/KRX-294140/
켐트로닉스 *,32850.0,+6.66%,896854.0,29122.0,233113.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
프로텍 *,37300.0,+4.48%,88273.0,3296.0,24662.0,053610,https://kr.tradingview.com/symbols/KRX-053610/
제너셈 *,5020.0,+2.76%,48124.0,238.0,91031.0,217190,https://kr.tradingview.com/symbols/KRX-217190/
아이씨에이치 *,1037.0,+1.57%,93567.0,96.0,146355.0,368600,https://kr.tradingview.com/symbols/KRX-368600/
상신전자 *,3130.0,+1.13%,93453.0,291.0,86078.0,263810,https://kr.tradingview.com/symbols/KRX-263810/
동일기연 *,14910.0,+0.54%,5451.0,81.0,8619.0,032960,https://kr.tradingview.com/symbols/KRX-032960/
다산솔루에타 *,1181.0,-0.42%,105392.0,127.0,58954.0,154040,https://kr.tradingview.com/symbols/KRX-154040/
잉크테크 *,2890.0,-0.69%,10306.0,30.0,2810.0,049550,https://kr.tradingview.com/symbols/KRX-049550/
한미반도체,170400.0,-1.05%,1034709.0,178484.0,1012880.0,042700,https://kr.tradingview.com/symbols/KRX-042700/
성우전자 *,2480.0,-2.55%,117546.0,293.0,216160.0,081580,https://kr.tradingview.com/symbols/KRX-081580/
