종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
GS피앤엘,42000.0,+6.46%,273969.0,11538.0,220386.0,499790,https://kr.tradingview.com/symbols/KRX-499790/
서부T&D *,15060.0,+4.73%,2045799.0,30823.0,1775043.0,006730,https://kr.tradingview.com/symbols/KRX-006730/
롯데관광개발,23750.0,+3.49%,854262.0,20218.0,1220241.0,032350,https://kr.tradingview.com/symbols/KRX-032350/
제이에스코퍼레이션,11350.0,+3.18%,229006.0,2583.0,162837.0,194370,https://kr.tradingview.com/symbols/KRX-194370/
SK네트웍스,4710.0,+2.39%,953195.0,4490.0,573739.0,001740,https://kr.tradingview.com/symbols/KRX-001740/
이마트,86000.0,+2.26%,174715.0,14931.0,122159.0,139480,https://kr.tradingview.com/symbols/KRX-139480/
HDC현대산업개발,20300.0,+1.25%,266005.0,5369.0,308186.0,294870,https://kr.tradingview.com/symbols/KRX-294870/
소노스퀘어 *,609.0,+0.66%,153823.0,94.0,135975.0,007720,https://kr.tradingview.com/symbols/KRX-007720/
파라다이스,17230.0,+0.53%,428384.0,7383.0,389702.0,034230,https://kr.tradingview.com/symbols/KRX-034230/
호텔신라,45600.0,+0.33%,173666.0,7930.0,190495.0,008770,https://kr.tradingview.com/symbols/KRX-008770/
아난티 *,7790.0,+0.26%,642391.0,4991.0,848852.0,025980,https://kr.tradingview.com/symbols/KRX-025980/
모나용평,3230.0,-0.15%,65887.0,214.0,66504.0,070960,https://kr.tradingview.com/symbols/KRX-070960/
강원랜드,17780.0,-1.11%,648855.0,11586.0,397347.0,035250,https://kr.tradingview.com/symbols/KRX-035250/
한화,115000.0,-3.77%,686342.0,79767.0,646573.0,000880,https://kr.tradingview.com/symbols/KRX-000880/
