종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
비엘팜텍 *,747.0,+29.91%,2521948.0,1742.0,341923.0,065170,https://kr.tradingview.com/symbols/KRX-065170/
네오팜 *,19110.0,+9.58%,157891.0,2937.0,50472.0,092730,https://kr.tradingview.com/symbols/KRX-092730/
HLB제약 *,17740.0,+6.93%,228696.0,3995.0,172118.0,047920,https://kr.tradingview.com/symbols/KRX-047920/
그래디언트 *,11530.0,+5.49%,54367.0,619.0,28729.0,035080,https://kr.tradingview.com/symbols/KRX-035080/
서흥,20800.0,+4.00%,16384.0,336.0,14223.0,008490,https://kr.tradingview.com/symbols/KRX-008490/
청담글로벌 *,5770.0,+3.59%,190679.0,1101.0,117162.0,362320,https://kr.tradingview.com/symbols/KRX-362320/
압타바이오 *,7890.0,+3.14%,135824.0,1060.0,310381.0,293780,https://kr.tradingview.com/symbols/KRX-293780/
모아라이프플러스 *,1814.0,+3.07%,800140.0,1430.0,1925767.0,142760,https://kr.tradingview.com/symbols/KRX-142760/
에스앤디 *,70900.0,+3.05%,60696.0,4339.0,23016.0,260970,https://kr.tradingview.com/symbols/KRX-260970/
대상홀딩스,9460.0,+2.27%,83393.0,782.0,88951.0,084690,https://kr.tradingview.com/symbols/KRX-084690/
메디포스트 *,14800.0,+2.14%,116113.0,1709.0,146684.0,078160,https://kr.tradingview.com/symbols/KRX-078160/
케어젠 *,76000.0,+2.01%,110928.0,8287.0,211069.0,214370,https://kr.tradingview.com/symbols/KRX-214370/
휴온스 *,26000.0,+1.96%,20339.0,522.0,25566.0,243070,https://kr.tradingview.com/symbols/KRX-243070/
LG생활건강,274000.0,+1.67%,97477.0,26577.0,72089.0,051900,https://kr.tradingview.com/symbols/KRX-051900/
시너지이노베이션 *,2285.0,+1.56%,268957.0,609.0,298491.0,048870,https://kr.tradingview.com/symbols/KRX-048870/
쎌바이오텍 *,12980.0,+1.49%,9570.0,124.0,11513.0,049960,https://kr.tradingview.com/symbols/KRX-049960/
HK이노엔 *,47950.0,+1.27%,193924.0,9220.0,264396.0,195940,https://kr.tradingview.com/symbols/KRX-195940/
노바렉스 *,13600.0,+1.12%,81359.0,1099.0,99883.0,194700,https://kr.tradingview.com/symbols/KRX-194700/
대원제약,11410.0,+1.06%,35278.0,400.0,34149.0,003220,https://kr.tradingview.com/symbols/KRX-003220/
에이치피오 *,2460.0,+0.82%,53426.0,131.0,22187.0,357230,https://kr.tradingview.com/symbols/KRX-357230/
경남제약 *,607.0,+0.66%,414769.0,253.0,761821.0,053950,https://kr.tradingview.com/symbols/KRX-053950/
셀로맥스사이언스 *,4860.0,+0.62%,70867.0,347.0,96758.0,471820,https://kr.tradingview.com/symbols/KRX-471820/
종근당바이오,21150.0,+0.48%,68116.0,1430.0,250120.0,063160,https://kr.tradingview.com/symbols/KRX-063160/
에르코스 *,13730.0,+0.44%,409139.0,5650.0,3185607.0,435570,https://kr.tradingview.com/symbols/KRX-435570/
녹십자웰빙 *,9100.0,+0.11%,120229.0,1088.0,95934.0,234690,https://kr.tradingview.com/symbols/KRX-234690/
콜마비앤에이치 *,12320.0,+0.08%,48350.0,596.0,60980.0,200130,https://kr.tradingview.com/symbols/KRX-200130/
사토시홀딩스 *,1990.0,+0.05%,106964.0,214.0,98758.0,223310,https://kr.tradingview.com/symbols/KRX-223310/
종근당홀딩스,47000.0,0.00%,13909.0,652.0,14929.0,001630,https://kr.tradingview.com/symbols/KRX-001630/
KT&G,144000.0,0.00%,314313.0,45330.0,263017.0,033780,https://kr.tradingview.com/symbols/KRX-033780/
아미코젠 *,1612.0,0.00%,763477.0,1246.0,1166543.0,092040,https://kr.tradingview.com/symbols/KRX-092040/
코스맥스엔비티 *,3170.0,0.00%,35477.0,113.0,21369.0,222040,https://kr.tradingview.com/symbols/KRX-222040/
프롬바이오 *,1408.0,-0.14%,1783185.0,2658.0,946875.0,377220,https://kr.tradingview.com/symbols/KRX-377220/
팜스빌 *,3445.0,-0.29%,11221.0,38.0,10719.0,318010,https://kr.tradingview.com/symbols/KRX-318010/
휴럼 *,656.0,-0.30%,401815.0,257.0,75630.0,353190,https://kr.tradingview.com/symbols/KRX-353190/
에이치엘사이언스 *,7970.0,-0.37%,3528.0,28.0,2346.0,239610,https://kr.tradingview.com/symbols/KRX-239610/
내츄럴엔도텍 *,2720.0,-0.37%,128069.0,346.0,136818.0,168330,https://kr.tradingview.com/symbols/KRX-168330/
헬릭스미스 *,5490.0,-0.54%,153504.0,846.0,253807.0,084990,https://kr.tradingview.com/symbols/KRX-084990/
케이엠제약 *,510.0,-0.78%,45328.0,23.0,33646.0,225430,https://kr.tradingview.com/symbols/KRX-225430/
우리이앤엘 *,638.0,-0.78%,39117.0,25.0,21712.0,153490,https://kr.tradingview.com/symbols/KRX-153490/
뉴트리 *,4870.0,-0.81%,10176.0,50.0,14314.0,270870,https://kr.tradingview.com/symbols/KRX-270870/
알피바이오 *,6290.0,-2.02%,27614.0,175.0,23496.0,314140,https://kr.tradingview.com/symbols/KRX-314140/
비피도 *,3070.0,-2.38%,19845.0,60.0,4523.0,238200,https://kr.tradingview.com/symbols/KRX-238200/
뉴온 *,961.0,-2.93%,112797.0,108.0,58719.0,123840,https://kr.tradingview.com/symbols/KRX-123840/
DXVX *,3165.0,-6.91%,448245.0,1434.0,459649.0,180400,https://kr.tradingview.com/symbols/KRX-180400/
