종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
라온텍 *,5200.0,+11.11%,1041083.0,5369.0,175117.0,418420,https://kr.tradingview.com/symbols/KRX-418420/,2026.01.23,-115,112096
사피엔반도체 *,36300.0,+8.36%,185033.0,6600.0,119714.0,452430,https://kr.tradingview.com/symbols/KRX-452430/,2026.01.23,1665,29348
코세스 *,26550.0,+2.51%,291513.0,7716.0,221920.0,089890,https://kr.tradingview.com/symbols/KRX-089890/,2026.01.23,129349,-29450
광전자,1885.0,+2.39%,168735.0,311.0,56022.0,017900,https://kr.tradingview.com/symbols/KRX-017900/,2026.01.23,-60,-15364
서울반도체 *,6140.0,+1.99%,292589.0,1776.0,275091.0,046890,https://kr.tradingview.com/symbols/KRX-046890/,2026.01.23,153813,-24446
원풍물산 *,441.0,+1.38%,28018.0,12.0,44709.0,008290,https://kr.tradingview.com/symbols/KRX-008290/,2026.01.23,0,-294
큐에스아이 *,8490.0,+0.95%,154729.0,1306.0,286935.0,066310,https://kr.tradingview.com/symbols/KRX-066310/,2026.01.23,0,2258
삼성전자,152100.0,-0.13%,25195543.0,3867519.0,32073624.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.23,-1501383,-1729586
LG전자,105600.0,-0.56%,1221871.0,130096.0,1726668.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,2026.01.23,33867,135215
영우디에스피 *,940.0,-0.84%,252841.0,237.0,269377.0,143540,https://kr.tradingview.com/symbols/KRX-143540/,2026.01.23,0,-5422
루멘스 *,693.0,-1.00%,294714.0,203.0,510184.0,038060,https://kr.tradingview.com/symbols/KRX-038060/,2026.01.23,0,-6841
