종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
다날 *,8900.0,+29.93%,59546815.0,494958.0,2376428.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,2026.01.23,584069,-112495
컴투스홀딩스 *,20250.0,+10.90%,259585.0,5157.0,50647.0,063080,https://kr.tradingview.com/symbols/KRX-063080/,2026.01.23,9210,904
한컴위드 *,4830.0,+10.78%,6778692.0,33179.0,578745.0,054920,https://kr.tradingview.com/symbols/KRX-054920/,2026.01.23,0,42718
헥토이노베이션 *,16850.0,+10.13%,643511.0,10576.0,31692.0,214180,https://kr.tradingview.com/symbols/KRX-214180/,2026.01.23,23573,41068
NAVER,266000.0,+8.35%,5034280.0,1322091.0,1341056.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,2026.01.23,696644,788284
NHN벅스 *,5690.0,+6.36%,333785.0,1866.0,218750.0,104200,https://kr.tradingview.com/symbols/KRX-104200/,2026.01.23,1,45168
티사이언티픽 *,795.0,+6.28%,574954.0,455.0,352656.0,057680,https://kr.tradingview.com/symbols/KRX-057680/,2026.01.23,20826,52959
폴라리스오피스 *,4750.0,+6.26%,1612506.0,7571.0,490803.0,041020,https://kr.tradingview.com/symbols/KRX-041020/,2026.01.23,48229,15315
KG모빌리언스 *,4760.0,+6.01%,637554.0,3005.0,91876.0,046440,https://kr.tradingview.com/symbols/KRX-046440/,2026.01.23,14707,3424
한글과컴퓨터 *,23850.0,+4.84%,514714.0,12195.0,198490.0,030520,https://kr.tradingview.com/symbols/KRX-030520/,2026.01.23,20030,-5704
카카오,61000.0,+4.45%,7214439.0,435142.0,2364798.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,2026.01.23,757558,1682110
컴투스 *,33350.0,+4.22%,180537.0,5939.0,113525.0,078340,https://kr.tradingview.com/symbols/KRX-078340/,2026.01.23,38397,-12643
셀바스AI *,12190.0,+2.87%,361697.0,4368.0,270176.0,108860,https://kr.tradingview.com/symbols/KRX-108860/,2026.01.23,132262,24214
네오위즈홀딩스 *,25400.0,+2.83%,15496.0,390.0,21672.0,042420,https://kr.tradingview.com/symbols/KRX-042420/,2026.01.23,2000,4571
미스터블루 *,1311.0,+2.74%,610337.0,793.0,297530.0,207760,https://kr.tradingview.com/symbols/KRX-207760/,2026.01.23,2232,161533
삼성출판사,10700.0,+2.69%,27203.0,288.0,32003.0,068290,https://kr.tradingview.com/symbols/KRX-068290/,2026.01.23,-11,10609
키다리스튜디오,3215.0,+2.55%,75803.0,241.0,66770.0,020120,https://kr.tradingview.com/symbols/KRX-020120/,2026.01.23,-1513,16412
자이언트스텝 *,4140.0,+2.48%,81458.0,339.0,126013.0,289220,https://kr.tradingview.com/symbols/KRX-289220/,2026.01.23,-798,39849
플랜티넷 *,2355.0,+1.51%,69980.0,163.0,76813.0,075130,https://kr.tradingview.com/symbols/KRX-075130/,2026.01.23,0,-408
디앤씨미디어 *,12430.0,+0.97%,41044.0,503.0,20103.0,263720,https://kr.tradingview.com/symbols/KRX-263720/,2026.01.23,-5425,13411
핑거스토리 *,1800.0,+0.90%,85231.0,152.0,80078.0,417180,https://kr.tradingview.com/symbols/KRX-417180/,2026.01.23,0,11561
KT지니뮤직 *,1836.0,+0.88%,165445.0,302.0,76764.0,043610,https://kr.tradingview.com/symbols/KRX-043610/,2026.01.23,8586,45215
YTN *,3565.0,+0.28%,174820.0,624.0,198136.0,040300,https://kr.tradingview.com/symbols/KRX-040300/,2026.01.23,0,44618
TJ미디어 *,5450.0,+0.18%,2382.0,13.0,27746.0,032540,https://kr.tradingview.com/symbols/KRX-032540/,2026.01.23,1,-67
케이티알파 *,4780.0,+0.10%,31675.0,151.0,30414.0,036030,https://kr.tradingview.com/symbols/KRX-036030/,2026.01.23,-1343,3022
KT밀리의서재 *,13910.0,+0.07%,43028.0,593.0,55971.0,418470,https://kr.tradingview.com/symbols/KRX-418470/,2026.01.23,4560,4695
포시에스 *,2040.0,0.00%,95543.0,195.0,58452.0,189690,https://kr.tradingview.com/symbols/KRX-189690/,2026.01.23,0,16472
YBM넷 *,2995.0,-0.17%,22620.0,67.0,29078.0,057030,https://kr.tradingview.com/symbols/KRX-057030/,2026.01.23,0,288
SK스퀘어,445500.0,-0.22%,320104.0,141680.0,572111.0,402340,https://kr.tradingview.com/symbols/KRX-402340/,2026.01.23,11448,-28972
다산디엠씨 *,1460.0,-0.34%,233863.0,344.0,171169.0,208860,https://kr.tradingview.com/symbols/KRX-208860/,2026.01.23,0,-14929
인포뱅크 *,5810.0,-0.85%,41287.0,241.0,39832.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,2026.01.23,3,-668
KT,54200.0,-1.28%,403164.0,22011.0,497460.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,2026.01.23,-83506,-16272
아이톡시 *,810.0,-8.47%,403683.0,326.0,927838.0,052770,https://kr.tradingview.com/symbols/KRX-052770/,2026.01.23,0,-3028
