종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
아이티센글로벌 *,40000.0,+19.40%,2093832.0,82765.0,401220.0,124500,https://kr.tradingview.com/symbols/KRX-124500/,2026.01.23,125837,159573
한컴위드 *,4830.0,+10.78%,6778692.0,33179.0,578745.0,054920,https://kr.tradingview.com/symbols/KRX-054920/,2026.01.23,0,42718
케이사인 *,9800.0,+8.53%,449491.0,4452.0,24151.0,192250,https://kr.tradingview.com/symbols/KRX-192250/,2026.01.23,4579,-7724
NAVER,266000.0,+8.35%,5034280.0,1322091.0,1341056.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,2026.01.23,696644,788284
라온시큐어 *,9620.0,+7.49%,348638.0,3302.0,77100.0,042510,https://kr.tradingview.com/symbols/KRX-042510/,2026.01.23,2451,66341
위메이드 *,27350.0,+5.80%,336766.0,9057.0,123000.0,112040,https://kr.tradingview.com/symbols/KRX-112040/,2026.01.23,93593,46618
LG,93300.0,+5.19%,578250.0,53650.0,291679.0,003550,https://kr.tradingview.com/symbols/KRX-003550/,2026.01.23,55399,108995
카카오,61000.0,+4.45%,7214439.0,435142.0,2364798.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,2026.01.23,757558,1682110
드림시큐리티 *,1652.0,+3.90%,1297763.0,2124.0,464160.0,203650,https://kr.tradingview.com/symbols/KRX-203650/,2026.01.23,0,262813
대성창투 *,1550.0,+3.40%,283087.0,438.0,128340.0,027830,https://kr.tradingview.com/symbols/KRX-027830/,2026.01.23,0,72930
삼성에스디에스,174500.0,+3.13%,440765.0,76682.0,583183.0,018260,https://kr.tradingview.com/symbols/KRX-018260/,2026.01.23,-33111,59775
한국전자인증 *,3925.0,+3.02%,526052.0,2078.0,96239.0,041460,https://kr.tradingview.com/symbols/KRX-041460/,2026.01.23,5,-1986
네오위즈홀딩스 *,25400.0,+2.83%,15496.0,390.0,21672.0,042420,https://kr.tradingview.com/symbols/KRX-042420/,2026.01.23,2000,4571
시큐브 *,3800.0,+2.43%,8281.0,31.0,7284.0,131090,https://kr.tradingview.com/symbols/KRX-131090/,2026.01.23,0,1215
유수홀딩스,6050.0,+1.85%,15137.0,91.0,14137.0,000700,https://kr.tradingview.com/symbols/KRX-000700/,2026.01.23,-187,-1761
케이엘넷 *,2825.0,+1.80%,251345.0,709.0,45536.0,039420,https://kr.tradingview.com/symbols/KRX-039420/,2026.01.23,5000,11728
SK,296500.0,+1.72%,210210.0,62559.0,276625.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,2026.01.23,13956,7975
SK텔레콤,62700.0,+1.62%,1121277.0,70303.0,1194187.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,2026.01.23,13355,408304
파수 *,4065.0,+1.25%,34998.0,142.0,40883.0,150900,https://kr.tradingview.com/symbols/KRX-150900/,2026.01.23,0,-766
이니텍 *,4545.0,+1.00%,100368.0,453.0,220900.0,053350,https://kr.tradingview.com/symbols/KRX-053350/,2026.01.23,0,-1743
롯데이노베이트,21350.0,+0.95%,28418.0,604.0,33194.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,2026.01.23,-375,9255
SGA솔루션즈 *,585.0,0.00%,292660.0,171.0,201946.0,184230,https://kr.tradingview.com/symbols/KRX-184230/,2026.01.23,0,49978
KT,54200.0,-1.28%,403164.0,22011.0,497460.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,2026.01.23,-83506,-16272
