종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
갤럭시아머니트리 *,10950.0,+19.41%,5622481.0,59539.0,153945.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
NAVER,266000.0,+8.35%,5034280.0,1322091.0,1341056.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
NHN벅스 *,5690.0,+6.36%,333785.0,1866.0,218750.0,104200,https://kr.tradingview.com/symbols/KRX-104200/
카카오,61000.0,+4.45%,7214439.0,435142.0,2364798.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
이루온 *,1482.0,+3.56%,250916.0,370.0,244916.0,065440,https://kr.tradingview.com/symbols/KRX-065440/
SOOP *,67200.0,+3.54%,76876.0,5117.0,46080.0,067160,https://kr.tradingview.com/symbols/KRX-067160/
가비아 *,32600.0,+2.84%,28336.0,921.0,31588.0,079940,https://kr.tradingview.com/symbols/KRX-079940/
포니링크 *,812.0,+0.87%,351300.0,284.0,292969.0,064800,https://kr.tradingview.com/symbols/KRX-064800/
유엔젤,4530.0,+0.33%,46551.0,209.0,60279.0,072130,https://kr.tradingview.com/symbols/KRX-072130/
인포뱅크 *,5810.0,-0.85%,41287.0,241.0,39832.0,039290,https://kr.tradingview.com/symbols/KRX-039290/
