종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
헥토파이낸셜 *,19500.0,+30.00%,6010868.0,111704.0,162203.0,234340,https://kr.tradingview.com/symbols/KRX-234340/
다날 *,8900.0,+29.93%,59546815.0,494958.0,2376428.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
아이티아이즈 *,5530.0,+29.81%,369142.0,1936.0,16145.0,372800,https://kr.tradingview.com/symbols/KRX-372800/
핑거 *,12120.0,+21.81%,3991341.0,48119.0,52087.0,163730,https://kr.tradingview.com/symbols/KRX-163730/
갤럭시아머니트리 *,10950.0,+19.41%,5622481.0,59539.0,153945.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
아이티센글로벌 *,40000.0,+19.40%,2093832.0,82765.0,401220.0,124500,https://kr.tradingview.com/symbols/KRX-124500/
아톤 *,7250.0,+18.46%,9369859.0,67150.0,253848.0,158430,https://kr.tradingview.com/symbols/KRX-158430/
서울옥션 *,7950.0,+14.72%,1386437.0,10852.0,70682.0,063170,https://kr.tradingview.com/symbols/KRX-063170/
뱅크웨어글로벌 *,5570.0,+14.26%,2053759.0,11718.0,72537.0,199480,https://kr.tradingview.com/symbols/KRX-199480/
한국정보인증 *,6710.0,+13.34%,5122936.0,33922.0,323750.0,053300,https://kr.tradingview.com/symbols/KRX-053300/
유라클 *,15070.0,+11.63%,1077167.0,16657.0,73163.0,088340,https://kr.tradingview.com/symbols/KRX-088340/
한화투자증권,5440.0,+10.79%,14162424.0,75472.0,1902983.0,003530,https://kr.tradingview.com/symbols/KRX-003530/
우리기술투자 *,8040.0,+10.74%,6179405.0,48779.0,516475.0,041190,https://kr.tradingview.com/symbols/KRX-041190/
갤럭시아에스엠,2040.0,+10.21%,2834960.0,5712.0,49061.0,011420,https://kr.tradingview.com/symbols/KRX-011420/
케이옥션 *,3720.0,+10.06%,1006086.0,3730.0,74288.0,102370,https://kr.tradingview.com/symbols/KRX-102370/
교보증권,11370.0,+8.29%,346326.0,3835.0,160393.0,030610,https://kr.tradingview.com/symbols/KRX-030610/
유진투자증권,3730.0,+5.82%,2419889.0,8921.0,1027891.0,001200,https://kr.tradingview.com/symbols/KRX-001200/
SK증권,724.0,+5.39%,10661990.0,7655.0,3483802.0,001510,https://kr.tradingview.com/symbols/KRX-001510/
키움증권,343500.0,+5.21%,235054.0,79115.0,208102.0,039490,https://kr.tradingview.com/symbols/KRX-039490/
NH투자증권,24000.0,+5.03%,1951274.0,46812.0,1022401.0,005940,https://kr.tradingview.com/symbols/KRX-005940/
한국금융지주,195800.0,+4.93%,454815.0,88649.0,319927.0,071050,https://kr.tradingview.com/symbols/KRX-071050/
코리아에셋투자증권 *,7350.0,+3.23%,20605.0,150.0,6709.0,190650,https://kr.tradingview.com/symbols/KRX-190650/
신한지주,83900.0,+1.21%,1652599.0,137406.0,1661244.0,055550,https://kr.tradingview.com/symbols/KRX-055550/
KB금융,135600.0,+0.67%,857227.0,115800.0,1115532.0,105560,https://kr.tradingview.com/symbols/KRX-105560/
하나금융지주,101100.0,+0.60%,679042.0,68529.0,791371.0,086790,https://kr.tradingview.com/symbols/KRX-086790/
