종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
다날 *,8900.0,+29.93%,59546815.0,494958.0,2376428.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
갤럭시아머니트리 *,10950.0,+19.41%,5622481.0,59539.0,153945.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
컴투스홀딩스 *,20250.0,+10.90%,259585.0,5157.0,50647.0,063080,https://kr.tradingview.com/symbols/KRX-063080/
한화투자증권,5440.0,+10.79%,14162424.0,75472.0,1902983.0,003530,https://kr.tradingview.com/symbols/KRX-003530/
우리기술투자 *,8040.0,+10.74%,6179405.0,48779.0,516475.0,041190,https://kr.tradingview.com/symbols/KRX-041190/
비트플래닛 *,903.0,+7.50%,1665910.0,1491.0,635131.0,049470,https://kr.tradingview.com/symbols/KRX-049470/
에이티넘인베스트 *,2835.0,+6.78%,854602.0,2394.0,388410.0,021080,https://kr.tradingview.com/symbols/KRX-021080/
티사이언티픽 *,795.0,+6.28%,574954.0,455.0,352656.0,057680,https://kr.tradingview.com/symbols/KRX-057680/
KG모빌리언스 *,4760.0,+6.01%,637554.0,3005.0,91876.0,046440,https://kr.tradingview.com/symbols/KRX-046440/
SBI인베스트먼트 *,736.0,+5.90%,1002739.0,727.0,678423.0,019550,https://kr.tradingview.com/symbols/KRX-019550/
위메이드 *,27350.0,+5.80%,336766.0,9057.0,123000.0,112040,https://kr.tradingview.com/symbols/KRX-112040/
위지트 *,657.0,+4.95%,1089042.0,700.0,390572.0,036090,https://kr.tradingview.com/symbols/KRX-036090/
TS인베스트먼트 *,1295.0,+4.60%,300866.0,387.0,248161.0,246690,https://kr.tradingview.com/symbols/KRX-246690/
카카오,61000.0,+4.45%,7214439.0,435142.0,2364798.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
FSN *,1828.0,+4.34%,275511.0,501.0,152968.0,214270,https://kr.tradingview.com/symbols/KRX-214270/
비트맥스 *,1984.0,+3.33%,838730.0,1661.0,333359.0,377030,https://kr.tradingview.com/symbols/KRX-377030/
매커스 *,21700.0,+3.33%,65321.0,1402.0,49219.0,093520,https://kr.tradingview.com/symbols/KRX-093520/
네오위즈 *,26600.0,+3.10%,167774.0,4399.0,72666.0,095660,https://kr.tradingview.com/symbols/KRX-095660/
인바이오젠,12060.0,+2.99%,8522.0,100.0,8184.0,101140,https://kr.tradingview.com/symbols/KRX-101140/
네오위즈홀딩스 *,25400.0,+2.83%,15496.0,390.0,21672.0,042420,https://kr.tradingview.com/symbols/KRX-042420/
엠게임 *,5560.0,+2.39%,54419.0,300.0,52913.0,058630,https://kr.tradingview.com/symbols/KRX-058630/
제이씨현시스템 *,4100.0,+2.37%,142837.0,582.0,110696.0,033320,https://kr.tradingview.com/symbols/KRX-033320/
감성코퍼레이션 *,5680.0,+1.97%,672915.0,3784.0,827067.0,036620,https://kr.tradingview.com/symbols/KRX-036620/
SGA솔루션즈 *,585.0,0.00%,292660.0,171.0,201946.0,184230,https://kr.tradingview.com/symbols/KRX-184230/
