종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
카카오페이,67800.0,+29.89%,12516769.0,788518.0,878800.0,377300,https://kr.tradingview.com/symbols/KRX-377300/
케이씨티 *,2820.0,+11.02%,967480.0,2747.0,52538.0,089150,https://kr.tradingview.com/symbols/KRX-089150/
누리플렉스 *,3480.0,+4.50%,23950.0,81.0,42025.0,040160,https://kr.tradingview.com/symbols/KRX-040160/
로지시스 *,2670.0,+4.30%,72120.0,187.0,13100.0,067730,https://kr.tradingview.com/symbols/KRX-067730/
케이씨에스 *,9810.0,+3.92%,197008.0,1911.0,104164.0,115500,https://kr.tradingview.com/symbols/KRX-115500/
NICE인프라 *,4165.0,+3.87%,110800.0,457.0,57207.0,063570,https://kr.tradingview.com/symbols/KRX-063570/
한네트 *,3725.0,+3.19%,112975.0,424.0,25470.0,052600,https://kr.tradingview.com/symbols/KRX-052600/
프리엠스 *,6900.0,+1.62%,8700.0,60.0,41821.0,053160,https://kr.tradingview.com/symbols/KRX-053160/
풍산,120800.0,+1.43%,165704.0,19949.0,248387.0,103140,https://kr.tradingview.com/symbols/KRX-103140/
푸른기술 *,11430.0,-11.74%,1124699.0,13533.0,3400329.0,094940,https://kr.tradingview.com/symbols/KRX-094940/
