종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아톤 *,7250.0,+18.46%,9369859.0,67150.0,253848.0,158430,https://kr.tradingview.com/symbols/KRX-158430/
아이티센피엔에스 *,2470.0,+16.24%,443714.0,1047.0,44466.0,232830,https://kr.tradingview.com/symbols/KRX-232830/
한국정보인증 *,6710.0,+13.34%,5122936.0,33922.0,323750.0,053300,https://kr.tradingview.com/symbols/KRX-053300/
아이씨티케이 *,16900.0,+12.59%,2539054.0,42280.0,251868.0,456010,https://kr.tradingview.com/symbols/KRX-456010/
다우데이타 *,19800.0,+11.17%,520869.0,10065.0,117192.0,032190,https://kr.tradingview.com/symbols/KRX-032190/
한컴위드 *,4830.0,+10.78%,6778692.0,33179.0,578745.0,054920,https://kr.tradingview.com/symbols/KRX-054920/
헥토이노베이션 *,16850.0,+10.13%,643511.0,10576.0,31692.0,214180,https://kr.tradingview.com/symbols/KRX-214180/
케이사인 *,9800.0,+8.53%,449491.0,4452.0,24151.0,192250,https://kr.tradingview.com/symbols/KRX-192250/
비트플래닛 *,903.0,+7.50%,1665910.0,1491.0,635131.0,049470,https://kr.tradingview.com/symbols/KRX-049470/
라온시큐어 *,9620.0,+7.49%,348638.0,3302.0,77100.0,042510,https://kr.tradingview.com/symbols/KRX-042510/
나노실리칸첨단소재 *,1675.0,+6.69%,426004.0,711.0,103801.0,286750,https://kr.tradingview.com/symbols/KRX-286750/
티사이언티픽 *,795.0,+6.28%,574954.0,455.0,352656.0,057680,https://kr.tradingview.com/symbols/KRX-057680/
에스투더블유 *,22900.0,+6.26%,234081.0,5320.0,212758.0,488280,https://kr.tradingview.com/symbols/KRX-488280/
지니언스 *,18630.0,+6.15%,52283.0,959.0,22313.0,263860,https://kr.tradingview.com/symbols/KRX-263860/
페스카로 *,23500.0,+5.62%,5241055.0,122560.0,6047877.0,0015S0,https://kr.tradingview.com/symbols/KRX-000150/
싸이버원 *,3950.0,+5.33%,265460.0,1038.0,111905.0,356890,https://kr.tradingview.com/symbols/KRX-356890/
엑스게이트 *,7530.0,+4.73%,243269.0,1810.0,182500.0,356680,https://kr.tradingview.com/symbols/KRX-356680/
소프트캠프 *,1365.0,+4.68%,243420.0,337.0,55611.0,258790,https://kr.tradingview.com/symbols/KRX-258790/
샌즈랩 *,6970.0,+4.65%,90578.0,627.0,44236.0,411080,https://kr.tradingview.com/symbols/KRX-411080/
안랩 *,62000.0,+4.55%,111286.0,6792.0,29315.0,053800,https://kr.tradingview.com/symbols/KRX-053800/
드림시큐리티 *,1652.0,+3.90%,1297763.0,2124.0,464160.0,203650,https://kr.tradingview.com/symbols/KRX-203650/
이스트소프트 *,18390.0,+3.61%,184427.0,3397.0,136825.0,047560,https://kr.tradingview.com/symbols/KRX-047560/
한싹 *,4470.0,+3.23%,123613.0,558.0,42693.0,430690,https://kr.tradingview.com/symbols/KRX-430690/
한국전자인증 *,3925.0,+3.02%,526052.0,2078.0,96239.0,041460,https://kr.tradingview.com/symbols/KRX-041460/
파이오링크 *,8480.0,+2.91%,21825.0,183.0,17027.0,170790,https://kr.tradingview.com/symbols/KRX-170790/
가비아 *,32600.0,+2.84%,28336.0,921.0,31588.0,079940,https://kr.tradingview.com/symbols/KRX-079940/
시큐브 *,3800.0,+2.43%,8281.0,31.0,7284.0,131090,https://kr.tradingview.com/symbols/KRX-131090/
신시웨이 *,8360.0,+2.20%,11160.0,93.0,13525.0,290560,https://kr.tradingview.com/symbols/KRX-290560/
이글루 *,5260.0,+2.14%,45059.0,234.0,18382.0,067920,https://kr.tradingview.com/symbols/KRX-067920/
에스넷 *,3420.0,+2.09%,44244.0,150.0,55997.0,038680,https://kr.tradingview.com/symbols/KRX-038680/
모코엠시스 *,1298.0,+1.88%,185102.0,235.0,68584.0,333050,https://kr.tradingview.com/symbols/KRX-333050/
디지캡 *,2210.0,+1.84%,8344.0,18.0,13055.0,197140,https://kr.tradingview.com/symbols/KRX-197140/
오픈베이스 *,2355.0,+1.73%,159517.0,373.0,115989.0,049480,https://kr.tradingview.com/symbols/KRX-049480/
핀텔 *,2435.0,+1.67%,38820.0,93.0,33142.0,291810,https://kr.tradingview.com/symbols/KRX-291810/
플랜티넷 *,2355.0,+1.51%,69980.0,163.0,76813.0,075130,https://kr.tradingview.com/symbols/KRX-075130/
모니터랩 *,3790.0,+1.47%,79237.0,302.0,84846.0,434480,https://kr.tradingview.com/symbols/KRX-434480/
인스피언 *,5070.0,+1.40%,26258.0,133.0,13823.0,465480,https://kr.tradingview.com/symbols/KRX-465480/
라닉스 *,2265.0,+1.34%,337382.0,760.0,443904.0,317120,https://kr.tradingview.com/symbols/KRX-317120/
파수 *,4065.0,+1.25%,34998.0,142.0,40883.0,150900,https://kr.tradingview.com/symbols/KRX-150900/
이니텍 *,4545.0,+1.00%,100368.0,453.0,220900.0,053350,https://kr.tradingview.com/symbols/KRX-053350/
나노씨엠에스 *,5200.0,+0.97%,10185.0,53.0,23953.0,247660,https://kr.tradingview.com/symbols/KRX-247660/
수산아이앤티 *,9320.0,+0.32%,18498.0,172.0,12484.0,050960,https://kr.tradingview.com/symbols/KRX-050960/
윈스테크넷 *,11220.0,+0.18%,20294.0,227.0,25170.0,136540,https://kr.tradingview.com/symbols/KRX-136540/
지란지교시큐리티 *,2900.0,+0.17%,14740.0,43.0,18158.0,208350,https://kr.tradingview.com/symbols/KRX-208350/
휴네시온 *,3895.0,+0.13%,38510.0,150.0,33022.0,290270,https://kr.tradingview.com/symbols/KRX-290270/
에스에스알 *,2840.0,0.00%,9062.0,26.0,10454.0,275630,https://kr.tradingview.com/symbols/KRX-275630/
SGA솔루션즈 *,585.0,0.00%,292660.0,171.0,201946.0,184230,https://kr.tradingview.com/symbols/KRX-184230/
아우토크립트 *,16100.0,-1.41%,374678.0,6266.0,551628.0,331740,https://kr.tradingview.com/symbols/KRX-331740/
벨로크 *,1176.0,-2.24%,220354.0,260.0,323514.0,424760,https://kr.tradingview.com/symbols/KRX-424760/
