종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
인트론바이오 *,3330.0,+11.74%,755683.0,2479.0,140634.0,048530,https://kr.tradingview.com/symbols/KRX-048530/
한미약품,465500.0,+8.13%,299191.0,136732.0,148224.0,128940,https://kr.tradingview.com/symbols/KRX-128940/
녹십자,161500.0,+5.76%,77850.0,12344.0,55324.0,006280,https://kr.tradingview.com/symbols/KRX-006280/
바이오니아 *,12540.0,+5.38%,199839.0,2460.0,116846.0,064550,https://kr.tradingview.com/symbols/KRX-064550/
일성아이에스,21550.0,+4.87%,12942.0,278.0,9040.0,003120,https://kr.tradingview.com/symbols/KRX-003120/
진원생명과학,1793.0,+4.85%,828308.0,1457.0,692215.0,011000,https://kr.tradingview.com/symbols/KRX-011000/
SK바이오사이언스,51500.0,+4.57%,266213.0,13523.0,173902.0,302440,https://kr.tradingview.com/symbols/KRX-302440/
녹십자홀딩스,15170.0,+3.41%,116583.0,1754.0,94832.0,005250,https://kr.tradingview.com/symbols/KRX-005250/
코미팜 *,7180.0,+3.31%,187514.0,1330.0,265786.0,041960,https://kr.tradingview.com/symbols/KRX-041960/
오상헬스케어 *,11080.0,+3.26%,40833.0,451.0,32258.0,036220,https://kr.tradingview.com/symbols/KRX-036220/
신풍제약,12710.0,+3.25%,204617.0,2562.0,169511.0,019170,https://kr.tradingview.com/symbols/KRX-019170/
유한양행,108200.0,+3.24%,578836.0,62334.0,477448.0,000100,https://kr.tradingview.com/symbols/KRX-000100/
종근당,86400.0,+3.23%,45522.0,3899.0,36007.0,185750,https://kr.tradingview.com/symbols/KRX-185750/
에이프로젠바이오로직스,484.0,+3.20%,684023.0,326.0,529691.0,003060,https://kr.tradingview.com/symbols/KRX-003060/
차백신연구소 *,2800.0,+3.13%,40180.0,110.0,33428.0,261780,https://kr.tradingview.com/symbols/KRX-261780/
진매트릭스 *,2340.0,+3.08%,74360.0,173.0,66825.0,109820,https://kr.tradingview.com/symbols/KRX-109820/
파루 *,775.0,+3.06%,189341.0,146.0,181059.0,043200,https://kr.tradingview.com/symbols/KRX-043200/
보령,9190.0,+2.91%,255003.0,2334.0,217064.0,003850,https://kr.tradingview.com/symbols/KRX-003850/
씨젠 *,24850.0,+2.90%,288793.0,7095.0,196506.0,096530,https://kr.tradingview.com/symbols/KRX-096530/
씨티씨바이오 *,4425.0,+2.67%,61277.0,267.0,47457.0,060590,https://kr.tradingview.com/symbols/KRX-060590/
랩지노믹스 *,1723.0,+2.56%,738804.0,1266.0,921843.0,084650,https://kr.tradingview.com/symbols/KRX-084650/
유바이오로직스 *,11450.0,+2.42%,342045.0,3849.0,121324.0,206650,https://kr.tradingview.com/symbols/KRX-206650/
이글벳 *,4170.0,+2.08%,122484.0,504.0,133085.0,044960,https://kr.tradingview.com/symbols/KRX-044960/
수젠텍 *,5950.0,+2.06%,149604.0,880.0,90818.0,253840,https://kr.tradingview.com/symbols/KRX-253840/
SK케미칼,68100.0,+1.79%,57677.0,3899.0,58565.0,285130,https://kr.tradingview.com/symbols/KRX-285130/
광동제약,5870.0,+1.73%,84948.0,496.0,110880.0,009290,https://kr.tradingview.com/symbols/KRX-009290/
고려제약 *,4160.0,+1.34%,19660.0,81.0,11927.0,014570,https://kr.tradingview.com/symbols/KRX-014570/
옵티팜 *,5000.0,+1.21%,19577.0,97.0,14192.0,153710,https://kr.tradingview.com/symbols/KRX-153710/
화일약품 *,1096.0,+1.20%,162801.0,177.0,182155.0,061250,https://kr.tradingview.com/symbols/KRX-061250/
엑세스바이오 *,3805.0,+1.06%,82699.0,311.0,84259.0,950130,https://kr.tradingview.com/symbols/KRX-950130/
바디텍메드 *,12580.0,+1.04%,71417.0,898.0,44706.0,206640,https://kr.tradingview.com/symbols/KRX-206640/
대한뉴팜 *,6630.0,+0.91%,34977.0,231.0,42563.0,054670,https://kr.tradingview.com/symbols/KRX-054670/
프로티아 *,5500.0,+0.73%,73570.0,415.0,33977.0,303360,https://kr.tradingview.com/symbols/KRX-303360/
대성미생물 *,7060.0,+0.57%,13269.0,93.0,13640.0,036480,https://kr.tradingview.com/symbols/KRX-036480/
큐라티스 *,1071.0,+0.56%,159514.0,171.0,170558.0,348080,https://kr.tradingview.com/symbols/KRX-348080/
중앙백신 *,9460.0,+0.53%,23206.0,219.0,14311.0,072020,https://kr.tradingview.com/symbols/KRX-072020/
우진비앤지 *,796.0,+0.38%,23844.0,19.0,48878.0,018620,https://kr.tradingview.com/symbols/KRX-018620/
체시스,1022.0,+0.20%,76351.0,78.0,222666.0,033250,https://kr.tradingview.com/symbols/KRX-033250/
진바이오텍 *,4255.0,0.00%,60916.0,257.0,68753.0,086060,https://kr.tradingview.com/symbols/KRX-086060/
아이진 *,1455.0,-1.29%,252205.0,367.0,578466.0,185490,https://kr.tradingview.com/symbols/KRX-185490/
롤링스톤 *,3535.0,-1.94%,20851.0,73.0,34542.0,214610,https://kr.tradingview.com/symbols/KRX-214610/
모아라이프플러스 *,1755.0,-3.25%,518194.0,920.0,801061.0,142760,https://kr.tradingview.com/symbols/KRX-142760/
