종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
슈프리마 *,46050.0,+29.90%,593160.0,27139.0,31075.0,236200,https://kr.tradingview.com/symbols/KRX-236200/
슈프리마에이치큐 *,7350.0,+10.53%,4154328.0,33845.0,12898.0,094840,https://kr.tradingview.com/symbols/KRX-094840/
이랜시스 *,8060.0,+9.96%,12005275.0,100913.0,2294285.0,264850,https://kr.tradingview.com/symbols/KRX-264850/
싸이버원 *,3950.0,+5.33%,265460.0,1038.0,111905.0,356890,https://kr.tradingview.com/symbols/KRX-356890/
카티스 *,813.0,+4.63%,1058252.0,868.0,469621.0,140430,https://kr.tradingview.com/symbols/KRX-140430/
포커스에이아이 *,2590.0,+2.57%,627236.0,1632.0,155154.0,331380,https://kr.tradingview.com/symbols/KRX-331380/
현대에이치티 *,8370.0,+1.82%,17267.0,143.0,30099.0,039010,https://kr.tradingview.com/symbols/KRX-039010/
지슨 *,1665.0,+1.22%,57506.0,96.0,204058.0,446840,https://kr.tradingview.com/symbols/KRX-446840/
이노뎁 *,5240.0,+0.77%,13482.0,70.0,25052.0,303530,https://kr.tradingview.com/symbols/KRX-303530/
인콘 *,275.0,+0.73%,1262189.0,344.0,1689620.0,083640,https://kr.tradingview.com/symbols/KRX-083640/
앤씨앤 *,536.0,+0.19%,68747.0,37.0,64482.0,092600,https://kr.tradingview.com/symbols/KRX-092600/
트루엔 *,7820.0,+0.13%,27179.0,212.0,24019.0,417790,https://kr.tradingview.com/symbols/KRX-417790/
아이디스 *,18000.0,-0.06%,15430.0,278.0,8948.0,143160,https://kr.tradingview.com/symbols/KRX-143160/
픽셀플러스 *,7040.0,-0.14%,49429.0,337.0,68341.0,087600,https://kr.tradingview.com/symbols/KRX-087600/
한화비전,54100.0,-0.55%,786013.0,42301.0,1445731.0,489790,https://kr.tradingview.com/symbols/KRX-489790/
시선AI *,3160.0,-2.17%,932684.0,3097.0,1119648.0,340810,https://kr.tradingview.com/symbols/KRX-340810/
벨로크 *,1176.0,-2.24%,220354.0,260.0,323514.0,424760,https://kr.tradingview.com/symbols/KRX-424760/
에스원,76500.0,-2.55%,46214.0,3535.0,50727.0,012750,https://kr.tradingview.com/symbols/KRX-012750/
피제이전자 *,8300.0,-5.68%,423185.0,3588.0,500118.0,006140,https://kr.tradingview.com/symbols/KRX-006140/
