종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
캐리소프트 *,5160.0,+17.14%,192240.0,905.0,65584.0,317530,https://kr.tradingview.com/symbols/KRX-317530/
위지윅스튜디오 *,663.0,+9.23%,2756300.0,1817.0,988665.0,299900,https://kr.tradingview.com/symbols/KRX-299900/
코퍼스코리아 *,870.0,+7.94%,550613.0,459.0,445610.0,322780,https://kr.tradingview.com/symbols/KRX-322780/
바른손 *,877.0,+5.28%,156495.0,136.0,60587.0,018700,https://kr.tradingview.com/symbols/KRX-018700/
고스트스튜디오 *,8540.0,+4.15%,119198.0,1024.0,11046.0,950190,https://kr.tradingview.com/symbols/KRX-950190/
콘텐트리중앙,6800.0,+3.66%,164772.0,1117.0,69201.0,036420,https://kr.tradingview.com/symbols/KRX-036420/
포바이포 *,8310.0,+3.36%,899390.0,7576.0,1231615.0,389140,https://kr.tradingview.com/symbols/KRX-389140/
와이랩 *,4005.0,+3.09%,43415.0,172.0,34200.0,432430,https://kr.tradingview.com/symbols/KRX-432430/
덱스터 *,4160.0,+2.84%,94718.0,391.0,90035.0,206560,https://kr.tradingview.com/symbols/KRX-206560/
자이언트스텝 *,4140.0,+2.48%,81458.0,339.0,126013.0,289220,https://kr.tradingview.com/symbols/KRX-289220/
스튜디오미르 *,2955.0,+2.43%,254477.0,747.0,162659.0,408900,https://kr.tradingview.com/symbols/KRX-408900/
JYP Ent. *,69300.0,+1.91%,496085.0,34306.0,448637.0,035900,https://kr.tradingview.com/symbols/KRX-035900/
아티스트스튜디오 *,5240.0,+1.75%,28448.0,147.0,68763.0,200350,https://kr.tradingview.com/symbols/KRX-200350/
대원미디어 *,7720.0,+1.71%,36166.0,277.0,66015.0,048910,https://kr.tradingview.com/symbols/KRX-048910/
SM C&C *,1322.0,+1.69%,350626.0,461.0,252881.0,048550,https://kr.tradingview.com/symbols/KRX-048550/
키이스트 *,2920.0,+1.57%,105758.0,309.0,187101.0,054780,https://kr.tradingview.com/symbols/KRX-054780/
스튜디오드래곤 *,46000.0,+1.43%,132233.0,6040.0,92702.0,253450,https://kr.tradingview.com/symbols/KRX-253450/
애니플러스 *,3035.0,+1.34%,202192.0,612.0,175206.0,310200,https://kr.tradingview.com/symbols/KRX-310200/
삼화네트웍스 *,1101.0,+1.29%,96722.0,106.0,84287.0,046390,https://kr.tradingview.com/symbols/KRX-046390/
팬엔터테인먼트 *,1826.0,+1.28%,97196.0,176.0,55056.0,068050,https://kr.tradingview.com/symbols/KRX-068050/
CJ ENM *,65100.0,+1.24%,87856.0,5669.0,83456.0,035760,https://kr.tradingview.com/symbols/KRX-035760/
초록뱀미디어 *,4670.0,+1.19%,65310.0,304.0,89016.0,047820,https://kr.tradingview.com/symbols/KRX-047820/
NEW *,2210.0,+1.14%,95513.0,209.0,48340.0,160550,https://kr.tradingview.com/symbols/KRX-160550/
에이스토리 *,7340.0,+1.10%,42095.0,307.0,45109.0,241840,https://kr.tradingview.com/symbols/KRX-241840/
SBS,18770.0,+1.08%,34998.0,656.0,30817.0,034120,https://kr.tradingview.com/symbols/KRX-034120/
M83 *,8560.0,+1.06%,51353.0,437.0,45260.0,476080,https://kr.tradingview.com/symbols/KRX-476080/
바른손이앤에이 *,329.0,+0.92%,290095.0,95.0,265932.0,035620,https://kr.tradingview.com/symbols/KRX-035620/
더핑크퐁컴퍼니 *,23950.0,+0.84%,77758.0,1861.0,79328.0,403850,https://kr.tradingview.com/symbols/KRX-403850/
쇼박스 *,2595.0,+0.78%,209475.0,539.0,277037.0,086980,https://kr.tradingview.com/symbols/KRX-086980/
KX *,3405.0,+0.59%,98459.0,333.0,74767.0,122450,https://kr.tradingview.com/symbols/KRX-122450/
SAMG엔터 *,37450.0,0.00%,64493.0,2398.0,183123.0,419530,https://kr.tradingview.com/symbols/KRX-419530/
큐로홀딩스 *,1072.0,-0.28%,94204.0,101.0,71076.0,051780,https://kr.tradingview.com/symbols/KRX-051780/
에프엔씨엔터 *,3950.0,-1.13%,10901.0,43.0,41652.0,173940,https://kr.tradingview.com/symbols/KRX-173940/
캔버스엔 *,1814.0,-8.57%,3307759.0,6656.0,4522000.0,210120,https://kr.tradingview.com/symbols/KRX-210120/
