종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
그래피 *,34650.0,+8.28%,554587.0,18872.0,428133.0,318060,https://kr.tradingview.com/symbols/KRX-318060/
오스코텍 *,43950.0,+7.59%,392595.0,16818.0,599331.0,039200,https://kr.tradingview.com/symbols/KRX-039200/
하스 *,5790.0,+2.84%,29703.0,171.0,37513.0,450330,https://kr.tradingview.com/symbols/KRX-450330/
메타바이오메드 *,4695.0,+2.51%,243266.0,1127.0,251952.0,059210,https://kr.tradingview.com/symbols/KRX-059210/
덴티스 *,4170.0,+2.46%,33659.0,139.0,45673.0,261200,https://kr.tradingview.com/symbols/KRX-261200/
레이 *,5600.0,+2.00%,150835.0,842.0,178856.0,228670,https://kr.tradingview.com/symbols/KRX-228670/
덴티움,47950.0,+1.80%,39930.0,1892.0,33454.0,145720,https://kr.tradingview.com/symbols/KRX-145720/
오스테오닉 *,6410.0,+1.75%,241570.0,1540.0,104301.0,226400,https://kr.tradingview.com/symbols/KRX-226400/
디오 *,16100.0,+1.71%,26846.0,429.0,18874.0,039840,https://kr.tradingview.com/symbols/KRX-039840/
현대바이오랜드 *,4200.0,+1.20%,57925.0,241.0,55911.0,052260,https://kr.tradingview.com/symbols/KRX-052260/
나이벡 *,34150.0,+0.74%,166604.0,5651.0,245151.0,138610,https://kr.tradingview.com/symbols/KRX-138610/
바텍 *,19310.0,+0.57%,18734.0,361.0,25611.0,043150,https://kr.tradingview.com/symbols/KRX-043150/
신흥,13510.0,+0.07%,4431.0,59.0,3381.0,004080,https://kr.tradingview.com/symbols/KRX-004080/
한국피아이엠 *,68900.0,-1.71%,98795.0,6947.0,269283.0,448900,https://kr.tradingview.com/symbols/KRX-448900/
