종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
비엘팜텍 *,971.0,+29.99%,3183002.0,3051.0,2523126.0,065170,https://kr.tradingview.com/symbols/KRX-065170/
HLB바이오스텝 *,1588.0,+7.52%,918184.0,1426.0,600803.0,278650,https://kr.tradingview.com/symbols/KRX-278650/
씨티씨바이오 *,4425.0,+2.67%,61277.0,267.0,47457.0,060590,https://kr.tradingview.com/symbols/KRX-060590/
한국비엔씨 *,4810.0,+2.23%,1044623.0,4997.0,1150166.0,256840,https://kr.tradingview.com/symbols/KRX-256840/
오성첨단소재 *,1476.0,+1.93%,669956.0,985.0,563435.0,052420,https://kr.tradingview.com/symbols/KRX-052420/
화일약품 *,1096.0,+1.20%,162801.0,177.0,182155.0,061250,https://kr.tradingview.com/symbols/KRX-061250/
우리바이오 *,1961.0,+0.62%,200315.0,392.0,197388.0,082850,https://kr.tradingview.com/symbols/KRX-082850/
엔에프씨 *,4885.0,-0.41%,117301.0,568.0,366166.0,265740,https://kr.tradingview.com/symbols/KRX-265740/
인벤티지랩 *,76000.0,-0.52%,113562.0,8599.0,152200.0,389470,https://kr.tradingview.com/symbols/KRX-389470/
애머릿지 *,540.0,-1.82%,321564.0,175.0,100293.0,900100,https://kr.tradingview.com/symbols/KRX-900100/
