종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
지니틱스 *,839.0,+29.88%,6635170.0,5515.0,150051.0,303030,https://kr.tradingview.com/symbols/KRX-303030/,2026.01.26,0,63780
디아이,31650.0,+11.84%,1170069.0,36120.0,311254.0,003160,https://kr.tradingview.com/symbols/KRX-003160/,2026.01.26,69074,238569
알파칩스 *,15350.0,+11.64%,82316.0,1213.0,29871.0,117670,https://kr.tradingview.com/symbols/KRX-117670/,2026.01.26,0,12521
리노공업 *,75300.0,+9.61%,1993462.0,147444.0,870641.0,058470,https://kr.tradingview.com/symbols/KRX-058470/,2026.01.26,558985,-338893
고영 *,31650.0,+9.52%,8871210.0,274687.0,2640898.0,098460,https://kr.tradingview.com/symbols/KRX-098460/,2026.01.26,885064,488037
하나마이크론 *,28250.0,+9.28%,2285799.0,62588.0,811584.0,067310,https://kr.tradingview.com/symbols/KRX-067310/,2026.01.26,618116,129404
두산테스나 *,59300.0,+8.81%,729000.0,42033.0,446786.0,131970,https://kr.tradingview.com/symbols/KRX-131970/,2026.01.26,154555,61316
에스앤에스텍 *,70000.0,+7.20%,1001645.0,68995.0,307968.0,101490,https://kr.tradingview.com/symbols/KRX-101490/,2026.01.26,175363,-142141
동운아나텍 *,29350.0,+6.53%,319597.0,9234.0,166655.0,094170,https://kr.tradingview.com/symbols/KRX-094170/,2026.01.26,-5130,22817
네패스아크 *,17100.0,+5.88%,116312.0,1941.0,47540.0,330860,https://kr.tradingview.com/symbols/KRX-330860/,2026.01.26,-20247,20341
어보브반도체 *,12210.0,+5.62%,426221.0,5129.0,162537.0,102120,https://kr.tradingview.com/symbols/KRX-102120/,2026.01.26,26,56138
피에스케이 *,41800.0,+5.16%,599395.0,24834.0,374775.0,319660,https://kr.tradingview.com/symbols/KRX-319660/,2026.01.26,157666,-101692
시그네틱스 *,813.0,+5.04%,762173.0,617.0,465010.0,033170,https://kr.tradingview.com/symbols/KRX-033170/,2026.01.26,0,55365
텔레칩스 *,15800.0,+4.98%,330665.0,5124.0,218325.0,054450,https://kr.tradingview.com/symbols/KRX-054450/,2026.01.26,0,81330
에이직랜드 *,32100.0,+4.90%,196928.0,6249.0,97875.0,445090,https://kr.tradingview.com/symbols/KRX-445090/,2026.01.26,138,24478
가온칩스 *,65400.0,+4.81%,341924.0,22008.0,224693.0,399720,https://kr.tradingview.com/symbols/KRX-399720/,2026.01.26,69000,21218
SFA반도체 *,5480.0,+4.78%,2699652.0,14612.0,1314383.0,036540,https://kr.tradingview.com/symbols/KRX-036540/,2026.01.26,760861,40899
아진엑스텍 *,17120.0,+4.65%,2133813.0,37349.0,689335.0,059120,https://kr.tradingview.com/symbols/KRX-059120/,2026.01.26,4848,-10170
코아시아 *,5600.0,+4.28%,267487.0,1480.0,167925.0,045970,https://kr.tradingview.com/symbols/KRX-045970/,2026.01.26,0,55281
오픈엣지테크놀로지 *,13990.0,+4.09%,267074.0,3675.0,165367.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,2026.01.26,7240,18044
윈팩 *,528.0,+3.94%,609323.0,316.0,957098.0,097800,https://kr.tradingview.com/symbols/KRX-097800/,2026.01.26,0,131547
칩스앤미디어 *,18220.0,+3.94%,351810.0,6315.0,140624.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,2026.01.26,206,12152
퀄리타스반도체 *,13500.0,+3.85%,269722.0,3616.0,127603.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,2026.01.26,0,51721
테크윙 *,38500.0,+3.49%,1344951.0,51272.0,1182956.0,089030,https://kr.tradingview.com/symbols/KRX-089030/,2026.01.26,-20534,-59388
넥스트칩 *,3320.0,+2.79%,938449.0,3045.0,834659.0,396270,https://kr.tradingview.com/symbols/KRX-396270/,2026.01.26,-46322,52221
에이디테크놀로지 *,36450.0,+2.53%,388704.0,13946.0,565710.0,200710,https://kr.tradingview.com/symbols/KRX-200710/,2026.01.26,-22272,-9871
오디텍 *,3100.0,+2.48%,16472.0,51.0,31092.0,080520,https://kr.tradingview.com/symbols/KRX-080520/,2026.01.26,3500,-424
네패스 *,16180.0,+2.47%,140801.0,2247.0,82096.0,033640,https://kr.tradingview.com/symbols/KRX-033640/,2026.01.26,1627,53968
큐알티 *,15890.0,+2.32%,76587.0,1205.0,37763.0,405100,https://kr.tradingview.com/symbols/KRX-405100/,2026.01.26,-79,6882
미래반도체 *,16160.0,+2.21%,90687.0,1449.0,56027.0,254490,https://kr.tradingview.com/symbols/KRX-254490/,2026.01.26,0,14833
엠디바이스 *,15530.0,+2.04%,214150.0,3311.0,208634.0,226590,https://kr.tradingview.com/symbols/KRX-226590/,2026.01.26,-15036,22597
아이에이 *,151.0,+2.03%,1346403.0,202.0,2115170.0,038880,https://kr.tradingview.com/symbols/KRX-038880/,2026.01.26,0,302817
자람테크놀로지 *,39000.0,+1.83%,72742.0,2813.0,88649.0,389020,https://kr.tradingview.com/symbols/KRX-389020/,2026.01.26,36,-781
LX세미콘,52100.0,+1.76%,117291.0,6070.0,64662.0,108320,https://kr.tradingview.com/symbols/KRX-108320/,2026.01.26,-16873,26071
LB세미콘 *,4095.0,+1.74%,382080.0,1542.0,188617.0,061970,https://kr.tradingview.com/symbols/KRX-061970/,2026.01.26,-65035,50773
시지트로닉스 *,4125.0,+1.73%,78430.0,321.0,46402.0,429270,https://kr.tradingview.com/symbols/KRX-429270/,2026.01.26,-3877,20937
아이텍 *,6520.0,+1.72%,133055.0,861.0,235302.0,119830,https://kr.tradingview.com/symbols/KRX-119830/,2026.01.26,-1518,9608
사피엔반도체 *,36750.0,+1.24%,95964.0,3474.0,185033.0,452430,https://kr.tradingview.com/symbols/KRX-452430/,2026.01.26,-1137,9944
아이언디바이스 *,3390.0,+1.04%,270519.0,913.0,615809.0,464500,https://kr.tradingview.com/symbols/KRX-464500/,2026.01.26,0,22664
아이앤씨 *,2775.0,+0.73%,190339.0,534.0,131122.0,052860,https://kr.tradingview.com/symbols/KRX-052860/,2026.01.26,0,-50860
매커스 *,21850.0,+0.69%,47093.0,1028.0,65321.0,093520,https://kr.tradingview.com/symbols/KRX-093520/,2026.01.26,-37,-4799
앤씨앤 *,539.0,+0.56%,102077.0,55.0,69175.0,092600,https://kr.tradingview.com/symbols/KRX-092600/,2026.01.26,0,3230
싸이닉솔루션 *,10090.0,+0.30%,883108.0,8887.0,836510.0,234030,https://kr.tradingview.com/symbols/KRX-234030/,2026.01.26,2116,22708
삼성전자,152100.0,0.00%,20285661.0,3106296.0,25407497.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.26,-2372345,703937
케이알엠 *,3965.0,-0.13%,86930.0,347.0,88011.0,093640,https://kr.tradingview.com/symbols/KRX-093640/,2026.01.26,0,-2293
에이엘티 *,13630.0,-0.15%,133059.0,1808.0,120129.0,172670,https://kr.tradingview.com/symbols/KRX-172670/,2026.01.26,0,-16147
DB하이텍,90700.0,-0.33%,424950.0,38445.0,559690.0,000990,https://kr.tradingview.com/symbols/KRX-000990/,2026.01.26,-71862,70885
아나패스 *,16710.0,-0.48%,35562.0,596.0,32579.0,123860,https://kr.tradingview.com/symbols/KRX-123860/,2026.01.26,-491,5993
한미반도체,169500.0,-0.94%,752270.0,127469.0,644666.0,042700,https://kr.tradingview.com/symbols/KRX-042700/,2026.01.26,-234727,84624
세미파이브 *,26100.0,-0.95%,641738.0,16779.0,1639533.0,490470,https://kr.tradingview.com/symbols/KRX-490470/,2026.01.26,-5307,-19186
아이씨티케이 *,16700.0,-1.18%,751006.0,12517.0,2553545.0,456010,https://kr.tradingview.com/symbols/KRX-456010/,2026.01.26,1,-91067
라닉스 *,2215.0,-2.21%,305394.0,674.0,340245.0,317120,https://kr.tradingview.com/symbols/KRX-317120/,2026.01.26,0,9424
SK하이닉스,736000.0,-4.04%,3024618.0,2254405.0,3508272.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.26,-448974,-405535
이미지스 *,1418.0,-4.64%,1408567.0,1973.0,6004405.0,115610,https://kr.tradingview.com/symbols/KRX-115610/,2026.01.26,0,87764
