종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
쎄노텍 *,1367.0,+29.94%,10098283.0,13279.0,2098702.0,222420,https://kr.tradingview.com/symbols/KRX-222420/,2026.01.26,0,-147098
대성하이텍 *,5670.0,+29.90%,2396751.0,12371.0,152114.0,129920,https://kr.tradingview.com/symbols/KRX-129920/,2026.01.26,0,-10793
세아메카닉스 *,4050.0,+23.66%,12174651.0,47732.0,418403.0,396300,https://kr.tradingview.com/symbols/KRX-396300/,2026.01.26,-1182,-449509
에코프로 *,130200.0,+22.95%,14466132.0,1775244.0,3553071.0,086520,https://kr.tradingview.com/symbols/KRX-086520/,2026.01.26,1390773,1174834
원준 *,9970.0,+22.33%,5597196.0,56447.0,238849.0,382840,https://kr.tradingview.com/symbols/KRX-382840/,2026.01.26,-1,-111086
에코프로비엠 *,209000.0,+19.91%,4265569.0,838914.0,1003581.0,247540,https://kr.tradingview.com/symbols/KRX-247540/,2026.01.26,857279,674384
나노신소재 *,67300.0,+17.45%,630569.0,41215.0,253969.0,121600,https://kr.tradingview.com/symbols/KRX-121600/,2026.01.26,142608,-38593
씨아이에스 *,10600.0,+16.23%,13074868.0,141276.0,7222115.0,222080,https://kr.tradingview.com/symbols/KRX-222080/,2026.01.26,528618,-651382
고려아연,1807000.0,+14.37%,158349.0,280691.0,67427.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,2026.01.26,19961,22191
성일하이텍 *,64500.0,+12.96%,332351.0,20336.0,199019.0,365340,https://kr.tradingview.com/symbols/KRX-365340/,2026.01.26,142908,-61110
삼아알미늄,29000.0,+12.84%,419256.0,11954.0,133831.0,006110,https://kr.tradingview.com/symbols/KRX-006110/,2026.01.26,14545,78034
엔켐 *,72900.0,+12.50%,933671.0,66087.0,359522.0,348370,https://kr.tradingview.com/symbols/KRX-348370/,2026.01.26,218495,56999
메가터치 *,4425.0,+12.03%,9345533.0,43469.0,681762.0,446540,https://kr.tradingview.com/symbols/KRX-446540/,2026.01.26,-1660,-182957
케이지에이 *,3840.0,+10.50%,3157438.0,12557.0,404277.0,455180,https://kr.tradingview.com/symbols/KRX-455180/,2026.01.26,-67113,-24664
에스에프에이 *,29700.0,+10.20%,684675.0,19839.0,256404.0,056190,https://kr.tradingview.com/symbols/KRX-056190/,2026.01.26,244178,55059
필옵틱스 *,50500.0,+9.78%,1613408.0,78578.0,589139.0,161580,https://kr.tradingview.com/symbols/KRX-161580/,2026.01.26,215443,211888
KG케미칼,5650.0,+9.07%,1000311.0,5536.0,364659.0,001390,https://kr.tradingview.com/symbols/KRX-001390/,2026.01.26,378,367813
에코앤드림 *,21150.0,+8.68%,400953.0,8281.0,275336.0,101360,https://kr.tradingview.com/symbols/KRX-101360/,2026.01.26,179240,13901
피엔티 *,47750.0,+8.65%,1020253.0,47809.0,667347.0,137400,https://kr.tradingview.com/symbols/KRX-137400/,2026.01.26,254491,-11808
윤성에프앤씨 *,34450.0,+8.16%,50442.0,1704.0,25434.0,372170,https://kr.tradingview.com/symbols/KRX-372170/,2026.01.26,-3,3918
