종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
쎄노텍 *,1367.0,+29.94%,10098283.0,13279.0,2098702.0,222420,https://kr.tradingview.com/symbols/KRX-222420/,2026.01.26,0,-147098
에코프로 *,130200.0,+22.95%,14466132.0,1775244.0,3553071.0,086520,https://kr.tradingview.com/symbols/KRX-086520/,2026.01.26,1390773,1174834
에코프로비엠 *,209000.0,+19.91%,4265569.0,838914.0,1003581.0,247540,https://kr.tradingview.com/symbols/KRX-247540/,2026.01.26,857279,674384
나노신소재 *,67300.0,+17.45%,630569.0,41215.0,253969.0,121600,https://kr.tradingview.com/symbols/KRX-121600/,2026.01.26,142608,-38593
고려아연,1807000.0,+14.37%,158349.0,280691.0,67427.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,2026.01.26,19961,22191
삼아알미늄,29000.0,+12.84%,419256.0,11954.0,133831.0,006110,https://kr.tradingview.com/symbols/KRX-006110/,2026.01.26,14545,78034
엔켐 *,72900.0,+12.50%,933671.0,66087.0,359522.0,348370,https://kr.tradingview.com/symbols/KRX-348370/,2026.01.26,218495,56999
메가터치 *,4425.0,+12.03%,9345533.0,43469.0,681762.0,446540,https://kr.tradingview.com/symbols/KRX-446540/,2026.01.26,-1660,-182957
KG케미칼,5650.0,+9.07%,1000311.0,5536.0,364659.0,001390,https://kr.tradingview.com/symbols/KRX-001390/,2026.01.26,378,367813
에코앤드림 *,21150.0,+8.68%,400953.0,8281.0,275336.0,101360,https://kr.tradingview.com/symbols/KRX-101360/,2026.01.26,179240,13901
대주전자재료 *,76100.0,+7.94%,697606.0,52492.0,753575.0,078600,https://kr.tradingview.com/symbols/KRX-078600/,2026.01.26,161370,26423
더블유씨피 *,8280.0,+7.53%,845510.0,6904.0,372455.0,393890,https://kr.tradingview.com/symbols/KRX-393890/,2026.01.26,-2548,175023
강원에너지 *,18290.0,+7.40%,2491559.0,45674.0,2391497.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,2026.01.26,3,46480
코스모신소재,51900.0,+7.23%,593234.0,30233.0,620758.0,005070,https://kr.tradingview.com/symbols/KRX-005070/,2026.01.26,13161,39684
신성에스티 *,35600.0,+7.23%,268887.0,9474.0,117052.0,416180,https://kr.tradingview.com/symbols/KRX-416180/,2026.01.26,2568,237935
천보 *,56200.0,+7.05%,270410.0,14923.0,163564.0,278280,https://kr.tradingview.com/symbols/KRX-278280/,2026.01.26,-4117,-6643
포스코퓨처엠,228500.0,+6.78%,1023248.0,229205.0,645104.0,003670,https://kr.tradingview.com/symbols/KRX-003670/,2026.01.26,35563,80780
알멕 *,51200.0,+6.67%,212221.0,10370.0,214521.0,354320,https://kr.tradingview.com/symbols/KRX-354320/,2026.01.26,8611,-10294
에코프로머티,65600.0,+6.32%,1540776.0,99791.0,521607.0,450080,https://kr.tradingview.com/symbols/KRX-450080/,2026.01.26,367,85226
덕산테코피아 *,19270.0,+6.29%,406216.0,7662.0,265303.0,317330,https://kr.tradingview.com/symbols/KRX-317330/,2026.01.26,4668,10704
한농화성,24850.0,+6.20%,4721002.0,122001.0,3292621.0,011500,https://kr.tradingview.com/symbols/KRX-011500/,2026.01.26,-4621,-8914
동화기업 *,9560.0,+5.87%,437561.0,4117.0,554419.0,025900,https://kr.tradingview.com/symbols/KRX-025900/,2026.01.26,122144,16832
광무 *,2670.0,+5.33%,438302.0,1154.0,518007.0,029480,https://kr.tradingview.com/symbols/KRX-029480/,2026.01.26,0,39476
이녹스 *,9860.0,+5.23%,51219.0,499.0,48239.0,088390,https://kr.tradingview.com/symbols/KRX-088390/,2026.01.26,-115,1843
솔브레인홀딩스 *,42700.0,+4.79%,132156.0,5580.0,66577.0,036830,https://kr.tradingview.com/symbols/KRX-036830/,2026.01.26,65818,-4365
롯데에너지머티리얼즈,40750.0,+4.76%,769718.0,31098.0,1169796.0,020150,https://kr.tradingview.com/symbols/KRX-020150/,2026.01.26,56270,-122609
