종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
와이투솔루션,5180.0,+23.33%,13324459.0,67906.0,492645.0,011690,https://kr.tradingview.com/symbols/KRX-011690/
레이크머티리얼즈 *,24650.0,+21.43%,9774390.0,234467.0,4704760.0,281740,https://kr.tradingview.com/symbols/KRX-281740/
나노신소재 *,67300.0,+17.45%,630569.0,41215.0,253969.0,121600,https://kr.tradingview.com/symbols/KRX-121600/
서울반도체 *,6710.0,+9.28%,909018.0,5908.0,292589.0,046890,https://kr.tradingview.com/symbols/KRX-046890/
아이엘 *,4170.0,+8.59%,3027390.0,12485.0,3388496.0,307180,https://kr.tradingview.com/symbols/KRX-307180/
케이엠더블유 *,17100.0,+8.43%,773915.0,12790.0,296633.0,032500,https://kr.tradingview.com/symbols/KRX-032500/
케이엔제이 *,24600.0,+6.49%,360992.0,8895.0,128881.0,272110,https://kr.tradingview.com/symbols/KRX-272110/
서울바이오시스 *,2700.0,+4.65%,101411.0,271.0,33331.0,092190,https://kr.tradingview.com/symbols/KRX-092190/
코아시아 *,5600.0,+4.28%,267487.0,1480.0,167925.0,045970,https://kr.tradingview.com/symbols/KRX-045970/
우리바이오 *,2040.0,+4.03%,705406.0,1424.0,200723.0,082850,https://kr.tradingview.com/symbols/KRX-082850/
지앤비에스 에코 *,3260.0,+3.99%,260604.0,840.0,226571.0,382800,https://kr.tradingview.com/symbols/KRX-382800/
엘컴텍 *,852.0,+3.65%,1319940.0,1122.0,452720.0,037950,https://kr.tradingview.com/symbols/KRX-037950/
소룩스 *,4280.0,+3.38%,855228.0,3637.0,1105728.0,290690,https://kr.tradingview.com/symbols/KRX-290690/
한국단자,77200.0,+2.52%,80379.0,6210.0,54538.0,025540,https://kr.tradingview.com/symbols/KRX-025540/
오디텍 *,3100.0,+2.48%,16472.0,51.0,31092.0,080520,https://kr.tradingview.com/symbols/KRX-080520/
태경비케이,4640.0,+2.20%,151839.0,697.0,122325.0,014580,https://kr.tradingview.com/symbols/KRX-014580/
우리엔터프라이즈 *,972.0,+2.10%,63227.0,60.0,59723.0,037400,https://kr.tradingview.com/symbols/KRX-037400/
루멘스 *,707.0,+2.02%,972203.0,703.0,294721.0,038060,https://kr.tradingview.com/symbols/KRX-038060/
에이치엠넥스 *,1502.0,+1.76%,528378.0,784.0,633091.0,036170,https://kr.tradingview.com/symbols/KRX-036170/
한솔테크닉스,5800.0,+1.40%,112053.0,647.0,110044.0,004710,https://kr.tradingview.com/symbols/KRX-004710/
엘디티 *,2390.0,+1.27%,25477.0,60.0,38335.0,096870,https://kr.tradingview.com/symbols/KRX-096870/
우리이앤엘 *,650.0,+0.93%,73714.0,48.0,83697.0,153490,https://kr.tradingview.com/symbols/KRX-153490/
금호전기,1003.0,+0.60%,3117799.0,3142.0,6561853.0,001210,https://kr.tradingview.com/symbols/KRX-001210/
일월지엠엘 *,2620.0,+0.58%,29157.0,76.0,28313.0,178780,https://kr.tradingview.com/symbols/KRX-178780/
금호에이치티,540.0,+0.56%,298979.0,160.0,338343.0,214330,https://kr.tradingview.com/symbols/KRX-214330/
알에프텍 *,1918.0,+0.42%,139568.0,266.0,242524.0,061040,https://kr.tradingview.com/symbols/KRX-061040/
에스폴리텍 *,1291.0,+0.39%,22459.0,29.0,14708.0,050760,https://kr.tradingview.com/symbols/KRX-050760/
광전자,1892.0,+0.37%,140793.0,264.0,168738.0,017900,https://kr.tradingview.com/symbols/KRX-017900/
태경산업,4800.0,+0.21%,92544.0,443.0,64810.0,015890,https://kr.tradingview.com/symbols/KRX-015890/
한라IMS *,16360.0,+0.06%,64937.0,1058.0,126399.0,092460,https://kr.tradingview.com/symbols/KRX-092460/
삼진엘앤디 *,796.0,0.00%,93513.0,74.0,115312.0,054090,https://kr.tradingview.com/symbols/KRX-054090/
삼성전자,152100.0,0.00%,20285661.0,3106296.0,25407497.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
에프알텍 *,2015.0,-0.25%,25431.0,52.0,24908.0,073540,https://kr.tradingview.com/symbols/KRX-073540/
빛샘전자 *,5530.0,-0.90%,36678.0,203.0,34253.0,072950,https://kr.tradingview.com/symbols/KRX-072950/
포인트엔지니어링 *,1008.0,-0.98%,41090.0,41.0,117232.0,256630,https://kr.tradingview.com/symbols/KRX-256630/
파커스 *,1561.0,-1.20%,96375.0,149.0,122972.0,065690,https://kr.tradingview.com/symbols/KRX-065690/
성호전자 *,13040.0,-1.44%,562766.0,7175.0,782026.0,043260,https://kr.tradingview.com/symbols/KRX-043260/
LG전자,102500.0,-2.94%,1442337.0,147983.0,1221871.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
파인테크닉스 *,2035.0,-9.56%,475311.0,983.0,797520.0,106240,https://kr.tradingview.com/symbols/KRX-106240/
