종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
대성하이텍 *,5670.0,+29.90%,2396751.0,12371.0,152114.0,129920,https://kr.tradingview.com/symbols/KRX-129920/
삼미금속 *,11040.0,+20.66%,8997053.0,103488.0,1528873.0,012210,https://kr.tradingview.com/symbols/KRX-012210/
우리기술 *,8470.0,+19.46%,57542009.0,464641.0,33724247.0,032820,https://kr.tradingview.com/symbols/KRX-032820/
RF머트리얼즈 *,31850.0,+11.36%,628413.0,19068.0,444167.0,327260,https://kr.tradingview.com/symbols/KRX-327260/
센서뷰 *,3155.0,+8.05%,14301689.0,42903.0,16335592.0,321370,https://kr.tradingview.com/symbols/KRX-321370/
아이쓰리시스템 *,101200.0,+8.00%,152415.0,14981.0,110267.0,214430,https://kr.tradingview.com/symbols/KRX-214430/
HJ중공업,25350.0,+6.74%,2993065.0,74237.0,983865.0,097230,https://kr.tradingview.com/symbols/KRX-097230/
RF시스템즈 *,6130.0,+6.61%,410930.0,2445.0,182734.0,474610,https://kr.tradingview.com/symbols/KRX-474610/
아이티센엔텍 *,1104.0,+6.26%,2003298.0,2181.0,937217.0,010280,https://kr.tradingview.com/symbols/KRX-010280/
켄코아에어로스페이스 *,24400.0,+5.40%,1096535.0,25354.0,901904.0,274090,https://kr.tradingview.com/symbols/KRX-274090/
기산텔레콤 *,2005.0,+4.32%,143399.0,284.0,107996.0,035460,https://kr.tradingview.com/symbols/KRX-035460/
그린광학 *,32300.0,+4.19%,1214253.0,37158.0,1504054.0,0015G0,https://kr.tradingview.com/symbols/KRX-000150/
에이스테크 *,3135.0,+3.64%,363590.0,1113.0,244185.0,088800,https://kr.tradingview.com/symbols/KRX-088800/
쎄크 *,14450.0,+3.44%,242360.0,3480.0,216240.0,081180,https://kr.tradingview.com/symbols/KRX-081180/
풍산,124800.0,+3.31%,365052.0,45604.0,165704.0,103140,https://kr.tradingview.com/symbols/KRX-103140/
삼양컴텍 *,13370.0,+3.16%,230855.0,3035.0,285923.0,484590,https://kr.tradingview.com/symbols/KRX-484590/
삼현 *,65700.0,+3.14%,612247.0,39536.0,434564.0,437730,https://kr.tradingview.com/symbols/KRX-437730/
웨이브일렉트로 *,4805.0,+2.89%,68284.0,325.0,53461.0,095270,https://kr.tradingview.com/symbols/KRX-095270/
한국항공우주,167400.0,+2.76%,828849.0,139035.0,779416.0,047810,https://kr.tradingview.com/symbols/KRX-047810/
현대로템,213000.0,+2.65%,717159.0,152625.0,631848.0,064350,https://kr.tradingview.com/symbols/KRX-064350/
SNT다이내믹스,51700.0,+1.97%,67354.0,3463.0,49424.0,003570,https://kr.tradingview.com/symbols/KRX-003570/
솔디펜스 *,2965.0,+1.72%,243925.0,723.0,343187.0,215090,https://kr.tradingview.com/symbols/KRX-215090/
휴니드,7990.0,+1.65%,197943.0,1575.0,161647.0,005870,https://kr.tradingview.com/symbols/KRX-005870/
빅텍 *,3870.0,+1.57%,342398.0,1315.0,297008.0,065450,https://kr.tradingview.com/symbols/KRX-065450/
카티스 *,825.0,+1.48%,694758.0,580.0,1060472.0,140430,https://kr.tradingview.com/symbols/KRX-140430/
이엠코리아 *,2455.0,+1.45%,483093.0,1190.0,791460.0,095190,https://kr.tradingview.com/symbols/KRX-095190/
웨이비스 *,11010.0,+1.29%,203765.0,2231.0,236422.0,289930,https://kr.tradingview.com/symbols/KRX-289930/
에스코넥 *,727.0,+1.25%,795804.0,580.0,438925.0,096630,https://kr.tradingview.com/symbols/KRX-096630/
파이버프로 *,17010.0,+1.25%,1084501.0,18358.0,868498.0,368770,https://kr.tradingview.com/symbols/KRX-368770/
포메탈 *,4845.0,+1.25%,413785.0,1984.0,655589.0,119500,https://kr.tradingview.com/symbols/KRX-119500/
풍산홀딩스,39550.0,+1.15%,26551.0,1049.0,26369.0,005810,https://kr.tradingview.com/symbols/KRX-005810/
이노시뮬레이션 *,4010.0,+1.13%,27527.0,110.0,15576.0,274400,https://kr.tradingview.com/symbols/KRX-274400/
한컴라이프케어,2965.0,+1.02%,106960.0,316.0,171965.0,372910,https://kr.tradingview.com/symbols/KRX-372910/
코츠테크놀로지 *,19170.0,+0.95%,102086.0,1952.0,60955.0,448710,https://kr.tradingview.com/symbols/KRX-448710/
스페코 *,2550.0,+0.79%,83563.0,210.0,67166.0,013810,https://kr.tradingview.com/symbols/KRX-013810/
엠앤씨솔루션,144500.0,+0.77%,20425.0,2916.0,19340.0,484870,https://kr.tradingview.com/symbols/KRX-484870/
한일단조 *,2340.0,+0.65%,597786.0,1392.0,432886.0,024740,https://kr.tradingview.com/symbols/KRX-024740/
한화에어로스페이스,1262000.0,+0.56%,125974.0,160197.0,260134.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
이지트로닉스 *,3575.0,+0.56%,16918.0,61.0,18518.0,377330,https://kr.tradingview.com/symbols/KRX-377330/
코콤 *,3460.0,+0.44%,36441.0,126.0,23918.0,015710,https://kr.tradingview.com/symbols/KRX-015710/
YTN *,3580.0,+0.42%,247850.0,889.0,175822.0,040300,https://kr.tradingview.com/symbols/KRX-040300/
평화산업,997.0,+0.40%,293043.0,290.0,302476.0,090080,https://kr.tradingview.com/symbols/KRX-090080/
대한광통신 *,3005.0,+0.33%,7777176.0,22810.0,5197987.0,010170,https://kr.tradingview.com/symbols/KRX-010170/
LIG넥스원,529000.0,+0.19%,81906.0,43302.0,85741.0,079550,https://kr.tradingview.com/symbols/KRX-079550/
덕산하이메탈 *,7900.0,+0.13%,2254395.0,17541.0,3821191.0,077360,https://kr.tradingview.com/symbols/KRX-077360/
웰크론 *,1600.0,+0.13%,114171.0,183.0,67723.0,065950,https://kr.tradingview.com/symbols/KRX-065950/
쎄트렉아이 *,142900.0,-0.07%,320210.0,44576.0,308431.0,099320,https://kr.tradingview.com/symbols/KRX-099320/
퍼스텍,4420.0,-0.23%,1122121.0,4970.0,1145683.0,010820,https://kr.tradingview.com/symbols/KRX-010820/
대양전기공업 *,27700.0,-0.36%,74289.0,2014.0,109022.0,108380,https://kr.tradingview.com/symbols/KRX-108380/
한화오션,139800.0,-0.36%,1635740.0,228584.0,3902320.0,042660,https://kr.tradingview.com/symbols/KRX-042660/
혜인,5320.0,-0.37%,71829.0,383.0,73220.0,003010,https://kr.tradingview.com/symbols/KRX-003010/
제노코 *,26350.0,-0.38%,347265.0,8952.0,411091.0,361390,https://kr.tradingview.com/symbols/KRX-361390/
국영지앤엠 *,1323.0,-0.53%,107819.0,143.0,220212.0,006050,https://kr.tradingview.com/symbols/KRX-006050/
비츠로테크 *,10710.0,-0.74%,665546.0,7120.0,756970.0,042370,https://kr.tradingview.com/symbols/KRX-042370/
대한항공,23700.0,-1.66%,2491174.0,59517.0,2156855.0,003490,https://kr.tradingview.com/symbols/KRX-003490/
한화시스템,88800.0,-1.77%,1496286.0,133094.0,2533737.0,272210,https://kr.tradingview.com/symbols/KRX-272210/
STX엔진,37200.0,-1.85%,306395.0,11441.0,500892.0,077970,https://kr.tradingview.com/symbols/KRX-077970/
현대위아,85600.0,-2.39%,332995.0,28623.0,306413.0,011210,https://kr.tradingview.com/symbols/KRX-011210/
기아,155200.0,-2.39%,1364414.0,212807.0,2594922.0,000270,https://kr.tradingview.com/symbols/KRX-000270/
HD한국조선해양,424000.0,-2.75%,142650.0,60979.0,266054.0,009540,https://kr.tradingview.com/symbols/KRX-009540/
한화,114700.0,-3.78%,325832.0,37584.0,548616.0,000880,https://kr.tradingview.com/symbols/KRX-000880/
SNT모티브,36550.0,-3.82%,202976.0,7462.0,234274.0,064960,https://kr.tradingview.com/symbols/KRX-064960/
