종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
컴투스홀딩스 *,23400.0,+15.56%,879783.0,21425.0,262940.0,063080,https://kr.tradingview.com/symbols/KRX-063080/
헥토이노베이션 *,19400.0,+15.13%,2150059.0,40506.0,648988.0,214180,https://kr.tradingview.com/symbols/KRX-214180/
다날 *,9800.0,+10.11%,94950152.0,946913.0,59554381.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
아이톡시 *,878.0,+8.40%,1473805.0,1306.0,409854.0,052770,https://kr.tradingview.com/symbols/KRX-052770/
티사이언티픽 *,849.0,+6.79%,524967.0,431.0,575109.0,057680,https://kr.tradingview.com/symbols/KRX-057680/
네오위즈홀딩스 *,27050.0,+6.50%,49911.0,1335.0,15597.0,042420,https://kr.tradingview.com/symbols/KRX-042420/
NHN벅스 *,6020.0,+5.80%,579837.0,3523.0,335200.0,104200,https://kr.tradingview.com/symbols/KRX-104200/
KT지니뮤직 *,1938.0,+5.56%,288671.0,549.0,166951.0,043610,https://kr.tradingview.com/symbols/KRX-043610/
자이언트스텝 *,4360.0,+5.31%,120201.0,515.0,81988.0,289220,https://kr.tradingview.com/symbols/KRX-289220/
KG모빌리언스 *,4985.0,+4.73%,725440.0,3594.0,638298.0,046440,https://kr.tradingview.com/symbols/KRX-046440/
컴투스 *,34750.0,+4.20%,536802.0,18957.0,180537.0,078340,https://kr.tradingview.com/symbols/KRX-078340/
한글과컴퓨터 *,24700.0,+3.56%,437808.0,10650.0,528785.0,030520,https://kr.tradingview.com/symbols/KRX-030520/
TJ미디어 *,5640.0,+3.49%,25825.0,143.0,2382.0,032540,https://kr.tradingview.com/symbols/KRX-032540/
셀바스AI *,12600.0,+3.36%,610995.0,7603.0,361697.0,108860,https://kr.tradingview.com/symbols/KRX-108860/
NAVER,272500.0,+2.44%,2706664.0,731103.0,5042292.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
폴라리스오피스 *,4860.0,+2.32%,1013724.0,4893.0,1629467.0,041020,https://kr.tradingview.com/symbols/KRX-041020/
핑거스토리 *,1840.0,+2.22%,148716.0,272.0,85551.0,417180,https://kr.tradingview.com/symbols/KRX-417180/
KT밀리의서재 *,14130.0,+1.58%,52342.0,735.0,43282.0,418470,https://kr.tradingview.com/symbols/KRX-418470/
포시에스 *,2070.0,+1.47%,80282.0,166.0,95717.0,189690,https://kr.tradingview.com/symbols/KRX-189690/
케이티알파 *,4850.0,+1.46%,30529.0,148.0,31684.0,036030,https://kr.tradingview.com/symbols/KRX-036030/
카카오,61800.0,+1.31%,4143093.0,254157.0,7214439.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
삼성출판사,10830.0,+1.21%,32228.0,345.0,27482.0,068290,https://kr.tradingview.com/symbols/KRX-068290/
미스터블루 *,1325.0,+1.07%,464967.0,615.0,611974.0,207760,https://kr.tradingview.com/symbols/KRX-207760/
한컴위드 *,4875.0,+0.93%,2864220.0,14101.0,6827403.0,054920,https://kr.tradingview.com/symbols/KRX-054920/
키다리스튜디오,3240.0,+0.78%,101094.0,327.0,75983.0,020120,https://kr.tradingview.com/symbols/KRX-020120/
YBM넷 *,3015.0,+0.67%,253849.0,745.0,22624.0,057030,https://kr.tradingview.com/symbols/KRX-057030/
YTN *,3580.0,+0.42%,247850.0,889.0,175822.0,040300,https://kr.tradingview.com/symbols/KRX-040300/
KT,54400.0,+0.37%,339150.0,18461.0,692056.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
다산디엠씨 *,1465.0,+0.34%,679037.0,1027.0,234204.0,208860,https://kr.tradingview.com/symbols/KRX-208860/
디앤씨미디어 *,12460.0,+0.24%,56925.0,710.0,41055.0,263720,https://kr.tradingview.com/symbols/KRX-263720/
플랜티넷 *,2360.0,+0.21%,25639.0,60.0,69990.0,075130,https://kr.tradingview.com/symbols/KRX-075130/
SK스퀘어,441000.0,-1.01%,312374.0,138048.0,322700.0,402340,https://kr.tradingview.com/symbols/KRX-402340/
인포뱅크 *,5710.0,-1.72%,40244.0,228.0,41292.0,039290,https://kr.tradingview.com/symbols/KRX-039290/
