종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
디케이티 *,9040.0,+25.56%,3154771.0,26638.0,180745.0,290550,https://kr.tradingview.com/symbols/KRX-290550/
씨아이에스 *,10600.0,+16.23%,13074868.0,141276.0,7222115.0,222080,https://kr.tradingview.com/symbols/KRX-222080/
알에스오토메이션 *,23250.0,+13.69%,1704082.0,37955.0,759055.0,140670,https://kr.tradingview.com/symbols/KRX-140670/
엔켐 *,72900.0,+12.50%,933671.0,66087.0,359522.0,348370,https://kr.tradingview.com/symbols/KRX-348370/
피엔티 *,47750.0,+8.65%,1020253.0,47809.0,667347.0,137400,https://kr.tradingview.com/symbols/KRX-137400/
신성에스티 *,35600.0,+7.23%,268887.0,9474.0,117052.0,416180,https://kr.tradingview.com/symbols/KRX-416180/
비츠로셀 *,21300.0,+4.16%,403767.0,8537.0,456883.0,082920,https://kr.tradingview.com/symbols/KRX-082920/
원익피앤이 *,4100.0,+4.06%,630563.0,2554.0,469107.0,217820,https://kr.tradingview.com/symbols/KRX-217820/
케이이엠텍 *,703.0,+3.99%,518855.0,364.0,346935.0,106080,https://kr.tradingview.com/symbols/KRX-106080/
서진시스템 *,33250.0,+3.91%,1298305.0,42148.0,1106925.0,178320,https://kr.tradingview.com/symbols/KRX-178320/
삼성SDI,387000.0,+3.75%,1608712.0,615326.0,3366383.0,006400,https://kr.tradingview.com/symbols/KRX-006400/
아모그린텍 *,6730.0,+3.54%,281317.0,1885.0,214753.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
상아프론테크 *,16270.0,+2.97%,65856.0,1065.0,62056.0,089980,https://kr.tradingview.com/symbols/KRX-089980/
이랜텍 *,9850.0,+2.93%,488928.0,4827.0,450906.0,054210,https://kr.tradingview.com/symbols/KRX-054210/
지투파워 *,8960.0,+2.75%,659957.0,5847.0,588928.0,388050,https://kr.tradingview.com/symbols/KRX-388050/
SK이노베이션,114100.0,+2.42%,414195.0,46910.0,474343.0,096770,https://kr.tradingview.com/symbols/KRX-096770/
와이엠텍 *,8350.0,+2.20%,32361.0,269.0,22709.0,273640,https://kr.tradingview.com/symbols/KRX-273640/
한중엔시에스 *,48750.0,+2.09%,137509.0,6683.0,207490.0,107640,https://kr.tradingview.com/symbols/KRX-107640/
신성이엔지,1709.0,+1.73%,2601623.0,4429.0,3536356.0,011930,https://kr.tradingview.com/symbols/KRX-011930/
한전산업,12270.0,+1.32%,213971.0,2601.0,321052.0,130660,https://kr.tradingview.com/symbols/KRX-130660/
디와이덕양,2295.0,+1.32%,169919.0,387.0,148028.0,024900,https://kr.tradingview.com/symbols/KRX-024900/
포스코DX,40100.0,+1.26%,1711114.0,68888.0,1955671.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
유니테크노 *,3615.0,+0.98%,103137.0,369.0,186381.0,241690,https://kr.tradingview.com/symbols/KRX-241690/
LG에너지솔루션,416000.0,+0.97%,323197.0,134168.0,486387.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
엠플러스 *,12330.0,+0.82%,513118.0,6338.0,276216.0,259630,https://kr.tradingview.com/symbols/KRX-259630/
SK이터닉스,20100.0,+0.55%,201485.0,4047.0,186833.0,475150,https://kr.tradingview.com/symbols/KRX-475150/
그리드위즈 *,16340.0,+0.18%,49293.0,805.0,51429.0,453450,https://kr.tradingview.com/symbols/KRX-453450/
삼화콘덴서,31150.0,+0.16%,49611.0,1534.0,77061.0,001820,https://kr.tradingview.com/symbols/KRX-001820/
삼진엘앤디 *,796.0,0.00%,93513.0,74.0,115312.0,054090,https://kr.tradingview.com/symbols/KRX-054090/
세방전지,64200.0,0.00%,45936.0,2949.0,47039.0,004490,https://kr.tradingview.com/symbols/KRX-004490/
효성중공업,2344000.0,-0.13%,66115.0,155753.0,54851.0,298040,https://kr.tradingview.com/symbols/KRX-298040/
파워로직스 *,6240.0,-0.16%,688696.0,4365.0,641691.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
금양그린파워 *,10630.0,-0.19%,60237.0,640.0,42826.0,282720,https://kr.tradingview.com/symbols/KRX-282720/
비나텍 *,84900.0,-0.93%,184738.0,15508.0,120808.0,126340,https://kr.tradingview.com/symbols/KRX-126340/
HD현대일렉트릭,872000.0,-1.36%,239365.0,207201.0,158561.0,267260,https://kr.tradingview.com/symbols/KRX-267260/
LS ELECTRIC,501000.0,-1.57%,186993.0,93297.0,167100.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
HD현대에너지솔루션,54900.0,-1.96%,114992.0,6324.0,238134.0,322000,https://kr.tradingview.com/symbols/KRX-322000/
지에프아이 *,17140.0,-2.39%,125935.0,2206.0,203980.0,493330,https://kr.tradingview.com/symbols/KRX-493330/
삼화전기,40400.0,-2.53%,444219.0,17692.0,591908.0,009470,https://kr.tradingview.com/symbols/KRX-009470/
LG전자,102500.0,-2.94%,1442337.0,147983.0,1221871.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
캐리 *,1472.0,-2.97%,109423.0,164.0,169567.0,313760,https://kr.tradingview.com/symbols/KRX-313760/
유일에너테크 *,1475.0,-4.16%,13825235.0,21057.0,49772437.0,340930,https://kr.tradingview.com/symbols/KRX-340930/
