종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
원준 *,9970.0,+22.33%,5597196.0,56447.0,238849.0,382840,https://kr.tradingview.com/symbols/KRX-382840/
레이크머티리얼즈 *,24650.0,+21.43%,9774390.0,234467.0,4704760.0,281740,https://kr.tradingview.com/symbols/KRX-281740/
씨아이에스 *,10600.0,+16.23%,13074868.0,141276.0,7222115.0,222080,https://kr.tradingview.com/symbols/KRX-222080/
이브이첨단소재 *,2090.0,+13.77%,25207058.0,53912.0,17175676.0,131400,https://kr.tradingview.com/symbols/KRX-131400/
아이엘 *,4170.0,+8.59%,3027390.0,12485.0,3388496.0,307180,https://kr.tradingview.com/symbols/KRX-307180/
대주전자재료 *,76100.0,+7.94%,697606.0,52492.0,753575.0,078600,https://kr.tradingview.com/symbols/KRX-078600/
미래컴퍼니 *,18500.0,+7.62%,466615.0,8643.0,151007.0,049950,https://kr.tradingview.com/symbols/KRX-049950/
천보 *,56200.0,+7.05%,270410.0,14923.0,163564.0,278280,https://kr.tradingview.com/symbols/KRX-278280/
덕산테코피아 *,19270.0,+6.29%,406216.0,7662.0,265303.0,317330,https://kr.tradingview.com/symbols/KRX-317330/
한농화성,24850.0,+6.20%,4721002.0,122001.0,3292621.0,011500,https://kr.tradingview.com/symbols/KRX-011500/
미코 *,14040.0,+6.04%,787351.0,10898.0,411620.0,059090,https://kr.tradingview.com/symbols/KRX-059090/
동화기업 *,9560.0,+5.87%,437561.0,4117.0,554419.0,025900,https://kr.tradingview.com/symbols/KRX-025900/
레몬 *,8630.0,+5.24%,816119.0,7295.0,569046.0,294140,https://kr.tradingview.com/symbols/KRX-294140/
하나기술 *,31350.0,+5.03%,115104.0,3555.0,101824.0,299030,https://kr.tradingview.com/symbols/KRX-299030/
롯데에너지머티리얼즈,40750.0,+4.76%,769718.0,31098.0,1169796.0,020150,https://kr.tradingview.com/symbols/KRX-020150/
티에스아이 *,5870.0,+4.26%,409992.0,2380.0,328371.0,277880,https://kr.tradingview.com/symbols/KRX-277880/
엠오티 *,10000.0,+4.17%,1088335.0,11021.0,1464760.0,413390,https://kr.tradingview.com/symbols/KRX-413390/
아바코 *,14150.0,+3.82%,183929.0,2574.0,150021.0,083930,https://kr.tradingview.com/symbols/KRX-083930/
삼성SDI,387000.0,+3.75%,1608712.0,615326.0,3366383.0,006400,https://kr.tradingview.com/symbols/KRX-006400/
민테크 *,2595.0,+3.18%,262921.0,675.0,246399.0,452200,https://kr.tradingview.com/symbols/KRX-452200/
나인테크 *,3310.0,+3.12%,2860414.0,9441.0,5036219.0,267320,https://kr.tradingview.com/symbols/KRX-267320/
SK아이이테크놀로지,26750.0,+2.69%,236900.0,6324.0,241951.0,361610,https://kr.tradingview.com/symbols/KRX-361610/
이수스페셜티케미컬,99100.0,+2.59%,1067520.0,106719.0,1340568.0,457190,https://kr.tradingview.com/symbols/KRX-457190/
SK이노베이션,114100.0,+2.42%,414195.0,46910.0,474343.0,096770,https://kr.tradingview.com/symbols/KRX-096770/
테이팩스,15120.0,+2.30%,45127.0,688.0,30937.0,055490,https://kr.tradingview.com/symbols/KRX-055490/
코윈테크 *,19180.0,+1.54%,448332.0,8650.0,579047.0,282880,https://kr.tradingview.com/symbols/KRX-282880/
삼성전기,275000.0,+1.10%,698696.0,190665.0,1221617.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
LG에너지솔루션,416000.0,+0.97%,323197.0,134168.0,486387.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
석경에이티 *,59800.0,0.00%,20732.0,1231.0,21153.0,357550,https://kr.tradingview.com/symbols/KRX-357550/
유일에너테크 *,1475.0,-4.16%,13825235.0,21057.0,49772437.0,340930,https://kr.tradingview.com/symbols/KRX-340930/
