종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에코프로 *,130200.0,+22.95%,14466132.0,1775244.0,3553071.0,086520,https://kr.tradingview.com/symbols/KRX-086520/
에코프로에이치엔 *,27100.0,+10.61%,777233.0,20574.0,209576.0,383310,https://kr.tradingview.com/symbols/KRX-383310/
에코아이 *,10910.0,+9.43%,150056.0,1590.0,62037.0,448280,https://kr.tradingview.com/symbols/KRX-448280/
미코 *,14040.0,+6.04%,787351.0,10898.0,411620.0,059090,https://kr.tradingview.com/symbols/KRX-059090/
후성,8040.0,+4.01%,992812.0,7895.0,1334045.0,093370,https://kr.tradingview.com/symbols/KRX-093370/
그린케미칼,6320.0,+2.76%,74385.0,465.0,86307.0,083420,https://kr.tradingview.com/symbols/KRX-083420/
유니드,78900.0,+2.47%,109778.0,8521.0,241293.0,014830,https://kr.tradingview.com/symbols/KRX-014830/
에어레인 *,12670.0,+2.18%,86485.0,1086.0,48835.0,163280,https://kr.tradingview.com/symbols/KRX-163280/
SGC에너지,21650.0,+2.12%,43772.0,937.0,15931.0,005090,https://kr.tradingview.com/symbols/KRX-005090/
에이치엠넥스 *,1502.0,+1.76%,528378.0,784.0,633091.0,036170,https://kr.tradingview.com/symbols/KRX-036170/
켐트로스 *,6330.0,+0.80%,622050.0,3931.0,712153.0,220260,https://kr.tradingview.com/symbols/KRX-220260/
이건산업,4230.0,+0.48%,32580.0,136.0,24517.0,008250,https://kr.tradingview.com/symbols/KRX-008250/
동방,2530.0,+0.40%,341348.0,857.0,373722.0,004140,https://kr.tradingview.com/symbols/KRX-004140/
한솔홈데코,611.0,+0.33%,163577.0,99.0,186750.0,025750,https://kr.tradingview.com/symbols/KRX-025750/
에코바이오 *,3090.0,0.00%,48483.0,148.0,78317.0,038870,https://kr.tradingview.com/symbols/KRX-038870/
SJG세종,10760.0,-0.09%,719098.0,7787.0,1054777.0,033530,https://kr.tradingview.com/symbols/KRX-033530/
TKG휴켐스,18540.0,-0.16%,83438.0,1555.0,63967.0,069260,https://kr.tradingview.com/symbols/KRX-069260/
