종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
다날 *,9800.0,+10.11%,94950152.0,946913.0,59554381.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
에스엠 *,117000.0,+7.04%,482528.0,55784.0,240668.0,041510,https://kr.tradingview.com/symbols/KRX-041510/
NHN벅스 *,6020.0,+5.80%,579837.0,3523.0,335200.0,104200,https://kr.tradingview.com/symbols/KRX-104200/
KT지니뮤직 *,1938.0,+5.56%,288671.0,549.0,166951.0,043610,https://kr.tradingview.com/symbols/KRX-043610/
CJ ENM *,68300.0,+4.92%,243818.0,16441.0,87856.0,035760,https://kr.tradingview.com/symbols/KRX-035760/
JYP Ent. *,71900.0,+3.75%,892178.0,63553.0,496085.0,035900,https://kr.tradingview.com/symbols/KRX-035900/
알비더블유 *,1885.0,+2.84%,165233.0,312.0,120471.0,361570,https://kr.tradingview.com/symbols/KRX-361570/
와이지엔터테인먼트 *,72600.0,+2.69%,436056.0,31403.0,214399.0,122870,https://kr.tradingview.com/symbols/KRX-122870/
YG PLUS,7220.0,+1.40%,1443613.0,10456.0,1038195.0,037270,https://kr.tradingview.com/symbols/KRX-037270/
카카오,61800.0,+1.31%,4143093.0,254157.0,7214439.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
더핑크퐁컴퍼니 *,24200.0,+1.04%,67535.0,1633.0,77758.0,403850,https://kr.tradingview.com/symbols/KRX-403850/
하이브,382000.0,+0.53%,449061.0,171538.0,517257.0,352820,https://kr.tradingview.com/symbols/KRX-352820/
에프엔씨엔터 *,3940.0,-0.25%,16335.0,64.0,10901.0,173940,https://kr.tradingview.com/symbols/KRX-173940/
드림어스컴퍼니 *,1481.0,-1.00%,130821.0,194.0,97743.0,060570,https://kr.tradingview.com/symbols/KRX-060570/
판타지오 *,459.0,-4.37%,694466.0,313.0,233360.0,032800,https://kr.tradingview.com/symbols/KRX-032800/
