종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
케어젠 *,100800.0,+16.94%,632210.0,60700.0,353140.0,214370,https://kr.tradingview.com/symbols/KRX-214370/
케이바이오 *,265.0,+13.73%,7970416.0,2004.0,602419.0,038530,https://kr.tradingview.com/symbols/KRX-038530/
리가켐바이오 *,185600.0,+11.87%,1588770.0,290512.0,796814.0,141080,https://kr.tradingview.com/symbols/KRX-141080/
펩트론 *,280000.0,+10.24%,612380.0,166313.0,323700.0,087010,https://kr.tradingview.com/symbols/KRX-087010/
압타바이오 *,8930.0,+7.98%,265454.0,2338.0,153626.0,293780,https://kr.tradingview.com/symbols/KRX-293780/
앱클론 *,67700.0,+6.95%,397442.0,26531.0,845237.0,174900,https://kr.tradingview.com/symbols/KRX-174900/
샤페론 *,1978.0,+6.34%,2709497.0,5319.0,1034410.0,378800,https://kr.tradingview.com/symbols/KRX-378800/
현대바이오 *,6240.0,+6.30%,2281932.0,13984.0,1035997.0,048410,https://kr.tradingview.com/symbols/KRX-048410/
네이처셀 *,22100.0,+5.49%,1029683.0,22313.0,630495.0,007390,https://kr.tradingview.com/symbols/KRX-007390/
일동제약,38650.0,+4.74%,975233.0,37724.0,548391.0,249420,https://kr.tradingview.com/symbols/KRX-249420/
옵티팜 *,5200.0,+4.00%,36832.0,188.0,19589.0,153710,https://kr.tradingview.com/symbols/KRX-153710/
JW중외제약,29800.0,+3.83%,276070.0,8348.0,160674.0,001060,https://kr.tradingview.com/symbols/KRX-001060/
아이진 *,1510.0,+3.78%,320067.0,479.0,254771.0,185490,https://kr.tradingview.com/symbols/KRX-185490/
진매트릭스 *,2425.0,+3.63%,66330.0,159.0,74734.0,109820,https://kr.tradingview.com/symbols/KRX-109820/
유바이오로직스 *,11840.0,+3.41%,264845.0,3107.0,342045.0,206650,https://kr.tradingview.com/symbols/KRX-206650/
차백신연구소 *,2895.0,+3.39%,160363.0,463.0,40289.0,261780,https://kr.tradingview.com/symbols/KRX-261780/
진원생명과학,1847.0,+3.01%,958114.0,1773.0,834642.0,011000,https://kr.tradingview.com/symbols/KRX-011000/
코미팜 *,7350.0,+2.37%,225634.0,1659.0,190241.0,041960,https://kr.tradingview.com/symbols/KRX-041960/
유틸렉스 *,712.0,+2.15%,385984.0,272.0,1802666.0,263050,https://kr.tradingview.com/symbols/KRX-263050/
인바이오젠,12300.0,+1.99%,16766.0,208.0,8523.0,101140,https://kr.tradingview.com/symbols/KRX-101140/
강스템바이오텍 *,2110.0,+1.93%,769148.0,1598.0,666008.0,217730,https://kr.tradingview.com/symbols/KRX-217730/
신풍제약,12950.0,+1.89%,249318.0,3219.0,204617.0,019170,https://kr.tradingview.com/symbols/KRX-019170/
한국파마 *,12850.0,+1.66%,32259.0,413.0,31490.0,032300,https://kr.tradingview.com/symbols/KRX-032300/
국전약품 *,3280.0,+1.23%,149636.0,493.0,137937.0,307750,https://kr.tradingview.com/symbols/KRX-307750/
큐라티스 *,1083.0,+1.12%,226328.0,244.0,159514.0,348080,https://kr.tradingview.com/symbols/KRX-348080/
SK바이오사이언스,51800.0,+0.58%,227044.0,11749.0,270954.0,302440,https://kr.tradingview.com/symbols/KRX-302440/
셀리드 *,2640.0,+0.57%,410465.0,1084.0,482022.0,299660,https://kr.tradingview.com/symbols/KRX-299660/
한국비엔씨 *,4835.0,+0.52%,3216735.0,15880.0,1053531.0,256840,https://kr.tradingview.com/symbols/KRX-256840/
에이비온 *,3650.0,0.00%,1690850.0,6137.0,1294888.0,203400,https://kr.tradingview.com/symbols/KRX-203400/
