종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
필옵틱스 *,50500.0,+9.78%,1613408.0,78578.0,589139.0,161580,https://kr.tradingview.com/symbols/KRX-161580/
미래컴퍼니 *,18500.0,+7.62%,466615.0,8643.0,151007.0,049950,https://kr.tradingview.com/symbols/KRX-049950/
태성 *,52000.0,+6.45%,899804.0,45172.0,531275.0,323280,https://kr.tradingview.com/symbols/KRX-323280/
와이씨켐 *,23350.0,+6.38%,427447.0,9752.0,275585.0,112290,https://kr.tradingview.com/symbols/KRX-112290/
켐트로닉스 *,35200.0,+6.18%,879284.0,30273.0,661407.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
제이앤티씨 *,21750.0,+5.07%,499258.0,10690.0,356011.0,204270,https://kr.tradingview.com/symbols/KRX-204270/
HB테크놀러지 *,2120.0,+4.95%,2721499.0,5656.0,1381871.0,078150,https://kr.tradingview.com/symbols/KRX-078150/
하스 *,6020.0,+3.97%,57936.0,349.0,29753.0,450330,https://kr.tradingview.com/symbols/KRX-450330/
아이씨디 *,3950.0,+3.54%,81830.0,321.0,76292.0,040910,https://kr.tradingview.com/symbols/KRX-040910/
SKC,116900.0,+3.45%,373445.0,42926.0,360273.0,011790,https://kr.tradingview.com/symbols/KRX-011790/
한빛레이저 *,4810.0,+3.44%,474125.0,2261.0,288121.0,452190,https://kr.tradingview.com/symbols/KRX-452190/
나인테크 *,3310.0,+3.12%,2860414.0,9441.0,5036219.0,267320,https://kr.tradingview.com/symbols/KRX-267320/
램테크놀러지 *,4020.0,+3.08%,116978.0,463.0,104038.0,171010,https://kr.tradingview.com/symbols/KRX-171010/
피아이이 *,7260.0,+2.98%,761753.0,5478.0,943225.0,452450,https://kr.tradingview.com/symbols/KRX-452450/
아이비젼웍스 *,1370.0,+2.93%,528527.0,715.0,532358.0,469750,https://kr.tradingview.com/symbols/KRX-469750/
씨앤지하이테크 *,18150.0,+1.97%,415671.0,7474.0,475216.0,264660,https://kr.tradingview.com/symbols/KRX-264660/
에프엔에스테크 *,14520.0,+1.89%,106425.0,1543.0,86906.0,083500,https://kr.tradingview.com/symbols/KRX-083500/
삼성전기,275000.0,+1.10%,698696.0,190665.0,1221617.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
기가비스 *,49000.0,+0.20%,216237.0,10226.0,638150.0,420770,https://kr.tradingview.com/symbols/KRX-420770/
이노메트리 *,7570.0,-0.66%,244405.0,1876.0,231437.0,302430,https://kr.tradingview.com/symbols/KRX-302430/
