종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
씨아이에스 *,10600.0,+16.23%,13074868.0,141276.0,7222115.0,222080,https://kr.tradingview.com/symbols/KRX-222080/
브이티 *,18880.0,+7.58%,902145.0,16806.0,428642.0,018290,https://kr.tradingview.com/symbols/KRX-018290/
탑머티리얼 *,22800.0,+6.54%,57920.0,1296.0,48329.0,360070,https://kr.tradingview.com/symbols/KRX-360070/
엘앤에프,125800.0,+4.66%,750151.0,93358.0,868954.0,066970,https://kr.tradingview.com/symbols/KRX-066970/
아모그린텍 *,6730.0,+3.54%,281317.0,1885.0,214753.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
EG *,6160.0,+3.01%,111492.0,686.0,91162.0,037370,https://kr.tradingview.com/symbols/KRX-037370/
SK이노베이션,114100.0,+2.42%,414195.0,46910.0,474343.0,096770,https://kr.tradingview.com/symbols/KRX-096770/
코윈테크 *,19180.0,+1.54%,448332.0,8650.0,579047.0,282880,https://kr.tradingview.com/symbols/KRX-282880/
LG에너지솔루션,416000.0,+0.97%,323197.0,134168.0,486387.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
파워넷 *,2820.0,-0.18%,503425.0,1426.0,337480.0,037030,https://kr.tradingview.com/symbols/KRX-037030/
소프트센 *,267.0,-0.37%,310833.0,83.0,401819.0,032680,https://kr.tradingview.com/symbols/KRX-032680/
팬스타엔터프라이즈 *,694.0,-0.86%,681396.0,475.0,657921.0,054300,https://kr.tradingview.com/symbols/KRX-054300/
