종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제이에스링크 *,24050.0,+10.07%,561320.0,13403.0,220872.0,127120,https://kr.tradingview.com/symbols/KRX-127120/
코오롱생명과학 *,59600.0,+9.96%,134121.0,7806.0,114949.0,102940,https://kr.tradingview.com/symbols/KRX-102940/
진시스템 *,5300.0,+8.72%,74789.0,390.0,74737.0,363250,https://kr.tradingview.com/symbols/KRX-363250/
앱클론 *,67700.0,+6.95%,397442.0,26531.0,845237.0,174900,https://kr.tradingview.com/symbols/KRX-174900/
제넥신 *,4870.0,+5.98%,470354.0,2271.0,301160.0,095700,https://kr.tradingview.com/symbols/KRX-095700/
큐로셀 *,48600.0,+5.65%,177890.0,8593.0,78944.0,372320,https://kr.tradingview.com/symbols/KRX-372320/
바이오니아 *,13220.0,+5.42%,230574.0,3007.0,199839.0,064550,https://kr.tradingview.com/symbols/KRX-064550/
마크로젠 *,17040.0,+4.67%,90531.0,1519.0,46013.0,038290,https://kr.tradingview.com/symbols/KRX-038290/
씨젠 *,26000.0,+4.63%,711239.0,18385.0,288793.0,096530,https://kr.tradingview.com/symbols/KRX-096530/
알지노믹스 *,157600.0,+4.58%,690098.0,107231.0,729972.0,476830,https://kr.tradingview.com/symbols/KRX-476830/
신라젠 *,3480.0,+4.35%,1663391.0,5734.0,2485952.0,215600,https://kr.tradingview.com/symbols/KRX-215600/
CJ 바이오사이언스 *,8920.0,+4.33%,53079.0,469.0,24402.0,311690,https://kr.tradingview.com/symbols/KRX-311690/
테라젠이텍스 *,3010.0,+4.33%,224338.0,665.0,175392.0,066700,https://kr.tradingview.com/symbols/KRX-066700/
CG인바이츠 *,1300.0,+4.25%,377578.0,479.0,421481.0,083790,https://kr.tradingview.com/symbols/KRX-083790/
에스디바이오센서,8730.0,+3.93%,175514.0,1525.0,153755.0,137310,https://kr.tradingview.com/symbols/KRX-137310/
젠큐릭스 *,1860.0,+3.79%,275432.0,508.0,182394.0,229000,https://kr.tradingview.com/symbols/KRX-229000/
툴젠 *,59400.0,+3.66%,34386.0,1998.0,23808.0,199800,https://kr.tradingview.com/symbols/KRX-199800/
엑세스바이오 *,3935.0,+3.42%,129418.0,507.0,82699.0,950130,https://kr.tradingview.com/symbols/KRX-950130/
진원생명과학,1847.0,+3.01%,958114.0,1773.0,834642.0,011000,https://kr.tradingview.com/symbols/KRX-011000/
랩지노믹스 *,1769.0,+2.67%,842457.0,1488.0,741906.0,084650,https://kr.tradingview.com/symbols/KRX-084650/
아이엠비디엑스 *,9530.0,+2.47%,100177.0,954.0,81137.0,461030,https://kr.tradingview.com/symbols/KRX-461030/
티움바이오 *,5570.0,+2.39%,145197.0,808.0,232821.0,321550,https://kr.tradingview.com/symbols/KRX-321550/
제놀루션 *,1918.0,+2.13%,81134.0,154.0,120259.0,225220,https://kr.tradingview.com/symbols/KRX-225220/
HLB제넥스 *,2900.0,+1.93%,130064.0,376.0,114474.0,187420,https://kr.tradingview.com/symbols/KRX-187420/
소마젠 *,3610.0,+1.69%,19442.0,71.0,18442.0,950200,https://kr.tradingview.com/symbols/KRX-950200/
쓰리빌리언 *,15120.0,+1.61%,577653.0,8822.0,332934.0,394800,https://kr.tradingview.com/symbols/KRX-394800/
이엔셀 *,15710.0,+1.55%,197633.0,3111.0,222235.0,456070,https://kr.tradingview.com/symbols/KRX-456070/
지씨지놈 *,7420.0,+1.23%,463692.0,3469.0,387120.0,340450,https://kr.tradingview.com/symbols/KRX-340450/
녹십자,163100.0,+0.99%,57370.0,9306.0,77850.0,006280,https://kr.tradingview.com/symbols/KRX-006280/
아미코젠 *,1718.0,+0.94%,654835.0,1129.0,669463.0,092040,https://kr.tradingview.com/symbols/KRX-092040/
지니너스 *,3795.0,+0.53%,1017595.0,3758.0,1354108.0,389030,https://kr.tradingview.com/symbols/KRX-389030/
지노믹트리 *,23900.0,+0.42%,284099.0,6778.0,250597.0,228760,https://kr.tradingview.com/symbols/KRX-228760/
엑셀세라퓨틱스 *,1603.0,+0.25%,68493.0,110.0,152102.0,373110,https://kr.tradingview.com/symbols/KRX-373110/
신테카바이오 *,3665.0,+0.14%,519787.0,1921.0,574921.0,226330,https://kr.tradingview.com/symbols/KRX-226330/
HLB파나진 *,1802.0,0.00%,463485.0,844.0,206319.0,046210,https://kr.tradingview.com/symbols/KRX-046210/
엔젠바이오 *,1700.0,-0.18%,373314.0,640.0,512813.0,354200,https://kr.tradingview.com/symbols/KRX-354200/
셀레믹스 *,2940.0,-0.68%,52099.0,155.0,52985.0,331920,https://kr.tradingview.com/symbols/KRX-331920/
헬릭스미스 *,6020.0,-0.99%,247451.0,1491.0,468580.0,084990,https://kr.tradingview.com/symbols/KRX-084990/
지놈앤컴퍼니 *,9870.0,-1.00%,1234062.0,11940.0,2331159.0,314130,https://kr.tradingview.com/symbols/KRX-314130/
바이젠셀 *,8570.0,-1.27%,699031.0,5976.0,586532.0,308080,https://kr.tradingview.com/symbols/KRX-308080/
고바이오랩 *,5750.0,-2.21%,264262.0,1541.0,245270.0,348150,https://kr.tradingview.com/symbols/KRX-348150/
