종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
티씨케이 *,199900.0,+10.26%,187569.0,36432.0,126291.0,064760,https://kr.tradingview.com/symbols/KRX-064760/
레이저쎌 *,2205.0,+8.62%,1174826.0,2594.0,481364.0,412350,https://kr.tradingview.com/symbols/KRX-412350/
이오테크닉스 *,323000.0,+7.85%,261494.0,82595.0,116116.0,039030,https://kr.tradingview.com/symbols/KRX-039030/
미래컴퍼니 *,18500.0,+7.62%,466615.0,8643.0,151007.0,049950,https://kr.tradingview.com/symbols/KRX-049950/
기가레인 *,576.0,+6.67%,854096.0,486.0,313951.0,049080,https://kr.tradingview.com/symbols/KRX-049080/
주성엔지니어링 *,33500.0,+5.85%,1150207.0,37767.0,402369.0,036930,https://kr.tradingview.com/symbols/KRX-036930/
예스티 *,19340.0,+5.57%,293871.0,5606.0,96456.0,122640,https://kr.tradingview.com/symbols/KRX-122640/
네온테크 *,2585.0,+4.44%,674333.0,1721.0,596354.0,306620,https://kr.tradingview.com/symbols/KRX-306620/
탑엔지니어링 *,3700.0,+2.64%,81157.0,294.0,283167.0,065130,https://kr.tradingview.com/symbols/KRX-065130/
프로텍 *,38250.0,+2.55%,50326.0,1908.0,67036.0,053610,https://kr.tradingview.com/symbols/KRX-053610/
티에스이 *,74900.0,+2.32%,163561.0,12061.0,112513.0,131290,https://kr.tradingview.com/symbols/KRX-131290/
