종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에이티넘인베스트 *,3165.0,+11.64%,2363728.0,7370.0,858987.0,021080,https://kr.tradingview.com/symbols/KRX-021080/
미래에셋벤처투자 *,14310.0,+8.16%,3952272.0,56225.0,2602146.0,100790,https://kr.tradingview.com/symbols/KRX-100790/
LB인베스트먼트 *,5990.0,+5.83%,255987.0,1512.0,249219.0,309960,https://kr.tradingview.com/symbols/KRX-309960/
아주IB투자 *,3540.0,+5.04%,6316323.0,22284.0,12353416.0,027360,https://kr.tradingview.com/symbols/KRX-027360/
DSC인베스트먼트 *,8030.0,+4.02%,1730475.0,13750.0,1262346.0,241520,https://kr.tradingview.com/symbols/KRX-241520/
컴퍼니케이 *,6320.0,+2.93%,156095.0,979.0,233949.0,307930,https://kr.tradingview.com/symbols/KRX-307930/
대성창투 *,1590.0,+2.58%,299073.0,472.0,283332.0,027830,https://kr.tradingview.com/symbols/KRX-027830/
TS인베스트먼트 *,1326.0,+2.39%,295065.0,389.0,301808.0,246690,https://kr.tradingview.com/symbols/KRX-246690/
플루토스 *,270.0,+1.89%,540015.0,143.0,235651.0,019570,https://kr.tradingview.com/symbols/KRX-019570/
린드먼아시아 *,4590.0,+1.89%,9351.0,42.0,6045.0,277070,https://kr.tradingview.com/symbols/KRX-277070/
SBI인베스트먼트 *,747.0,+1.49%,738680.0,550.0,1005747.0,019550,https://kr.tradingview.com/symbols/KRX-019550/
HB인베스트먼트 *,2055.0,+1.48%,142544.0,293.0,202641.0,440290,https://kr.tradingview.com/symbols/KRX-440290/
스톤브릿지벤처스 *,5430.0,+1.31%,288931.0,1568.0,107380.0,330730,https://kr.tradingview.com/symbols/KRX-330730/
캡스톤파트너스 *,3060.0,+0.82%,125298.0,380.0,136792.0,452300,https://kr.tradingview.com/symbols/KRX-452300/
스틱인베스트먼트,11080.0,+0.27%,142242.0,1559.0,343189.0,026890,https://kr.tradingview.com/symbols/KRX-026890/
플랜티넷 *,2360.0,+0.21%,25639.0,60.0,69990.0,075130,https://kr.tradingview.com/symbols/KRX-075130/
나우IB *,1569.0,-0.38%,1554157.0,2436.0,1989106.0,293580,https://kr.tradingview.com/symbols/KRX-293580/
큐캐피탈 *,237.0,-0.42%,459085.0,109.0,547081.0,016600,https://kr.tradingview.com/symbols/KRX-016600/
SV인베스트먼트 *,2135.0,-0.47%,767059.0,1637.0,1064387.0,289080,https://kr.tradingview.com/symbols/KRX-289080/
우리기술투자 *,8000.0,-0.50%,2100477.0,16548.0,6244946.0,041190,https://kr.tradingview.com/symbols/KRX-041190/
