종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
제우스 *,19870.0,+24.50%,9880838.0,190003.0,613021.0,079370,https://kr.tradingview.com/symbols/KRX-079370/,2026.01.26,198207,-52026
피에스케이 *,47250.0,+13.04%,1133430.0,50989.0,599395.0,319660,https://kr.tradingview.com/symbols/KRX-319660/,2026.01.26,157666,-101692
유진테크 *,91800.0,+9.81%,594219.0,51733.0,623365.0,084370,https://kr.tradingview.com/symbols/KRX-084370/,2026.01.26,147428,-5379
SK하이닉스,800000.0,+8.70%,5540032.0,4290177.0,3133330.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.26,-448974,-405535
테크윙 *,41550.0,+7.92%,1767441.0,72042.0,1344951.0,089030,https://kr.tradingview.com/symbols/KRX-089030/,2026.01.26,-20534,-59388
원익IPS *,91400.0,+7.28%,1277804.0,114007.0,1655517.0,240810,https://kr.tradingview.com/symbols/KRX-240810/,2026.01.26,256637,151975
한양이엔지 *,26150.0,+6.52%,772140.0,20338.0,63834.0,045100,https://kr.tradingview.com/symbols/KRX-045100/,2026.01.26,-5676,10089
유니테스트 *,13870.0,+6.45%,672271.0,9231.0,183883.0,086390,https://kr.tradingview.com/symbols/KRX-086390/,2026.01.26,-3593,-29032
삼성전자,159500.0,+4.87%,28800154.0,4467567.0,20561689.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.26,-2372345,703937
피에스케이홀딩스 *,71300.0,+4.09%,368817.0,25620.0,786579.0,031980,https://kr.tradingview.com/symbols/KRX-031980/,2026.01.26,250720,-112181
원익QnC *,26700.0,+3.69%,750128.0,19725.0,868488.0,074600,https://kr.tradingview.com/symbols/KRX-074600/,2026.01.26,208683,-40575
케이씨텍,41500.0,+3.36%,179500.0,7290.0,120258.0,281820,https://kr.tradingview.com/symbols/KRX-281820/,2026.01.26,-16880,12884
테스 *,55700.0,+2.77%,559271.0,30497.0,978114.0,095610,https://kr.tradingview.com/symbols/KRX-095610/,2026.01.26,353992,-97464
디엔에프 *,17600.0,+1.73%,113523.0,1985.0,109645.0,092070,https://kr.tradingview.com/symbols/KRX-092070/,2026.01.26,-3462,19572
원익머트리얼즈 *,38000.0,+1.06%,80889.0,3040.0,114201.0,104830,https://kr.tradingview.com/symbols/KRX-104830/,2026.01.26,38073,-21663
심텍 *,52500.0,+0.77%,809498.0,42167.0,941012.0,222800,https://kr.tradingview.com/symbols/KRX-222800/,2026.01.26,173498,143865
한솔케미칼,264000.0,-0.38%,74468.0,19357.0,84492.0,014680,https://kr.tradingview.com/symbols/KRX-014680/,2026.01.26,-25065,17355
후성,7980.0,-0.75%,633893.0,5039.0,992812.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,2026.01.26,-7374,147561
