종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
제이케이시냅스 *,4250.0,+29.97%,417952.0,1716.0,161942.0,060230,https://kr.tradingview.com/symbols/KRX-060230/,2026.01.26,0,-3158
NHN KCP *,23050.0,+12.71%,14953222.0,349422.0,9672305.0,060250,https://kr.tradingview.com/symbols/KRX-060250/,2026.01.26,338710,50560
코나아이 *,56100.0,+6.45%,424138.0,23553.0,428785.0,052400,https://kr.tradingview.com/symbols/KRX-052400/,2026.01.26,100362,2949
케이사인 *,10750.0,+5.91%,809539.0,8986.0,102008.0,192250,https://kr.tradingview.com/symbols/KRX-192250/,2026.01.26,0,23796
삼성전자,159500.0,+4.87%,28800154.0,4467567.0,20561689.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.26,-2372345,703937
KG이니시스 *,11110.0,+4.12%,473135.0,5156.0,362262.0,035600,https://kr.tradingview.com/symbols/KRX-035600/,2026.01.26,-12830,119450
KG모빌리언스 *,5160.0,+3.51%,602868.0,3076.0,726793.0,046440,https://kr.tradingview.com/symbols/KRX-046440/,2026.01.26,3302,14236
갤럭시아머니트리 *,11080.0,+2.50%,1310202.0,14484.0,1762430.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,2026.01.26,4494,-25389
삼성카드,56100.0,+2.37%,55115.0,3082.0,89410.0,029780,https://kr.tradingview.com/symbols/KRX-029780/,2026.01.26,16394,-11903
인포바인 *,73100.0,+1.81%,7905.0,589.0,6189.0,115310,https://kr.tradingview.com/symbols/KRX-115310/,2026.01.26,-34,-778
알에프텍 *,1947.0,+1.51%,234402.0,453.0,194510.0,061040,https://kr.tradingview.com/symbols/KRX-061040/,2026.01.26,238,22206
한국정보인증 *,6730.0,+1.05%,1021498.0,6898.0,1909679.0,053300,https://kr.tradingview.com/symbols/KRX-053300/,2026.01.26,-38847,-55489
한솔테크닉스,5840.0,+0.69%,115123.0,665.0,112468.0,004710,https://kr.tradingview.com/symbols/KRX-004710/,2026.01.26,1521,5030
다날 *,9860.0,+0.61%,45759839.0,467218.0,95558561.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,2026.01.26,62424,-720420
드림시큐리티 *,1713.0,+0.53%,698872.0,1187.0,1653841.0,203650,https://kr.tradingview.com/symbols/KRX-203650/,2026.01.26,0,117586
에이텍모빌리티 *,9950.0,+0.51%,21202.0,210.0,23000.0,224110,https://kr.tradingview.com/symbols/KRX-224110/,2026.01.26,0,7955
아모텍 *,10570.0,+0.48%,187974.0,1948.0,301316.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,2026.01.26,14508,20280
라온시큐어 *,9770.0,+0.41%,114494.0,1120.0,152837.0,042510,https://kr.tradingview.com/symbols/KRX-042510/,2026.01.26,901,-14404
한국정보통신 *,8060.0,+0.25%,33384.0,267.0,77934.0,025770,https://kr.tradingview.com/symbols/KRX-025770/,2026.01.26,0,24895
파트론 *,7180.0,+0.14%,365168.0,2621.0,291477.0,091700,https://kr.tradingview.com/symbols/KRX-091700/,2026.01.26,-652,-11783
이루온 *,1520.0,+0.07%,222943.0,340.0,320112.0,065440,https://kr.tradingview.com/symbols/KRX-065440/,2026.01.26,0,-1886
나이스정보통신 *,24000.0,0.00%,19392.0,464.0,11979.0,036800,https://kr.tradingview.com/symbols/KRX-036800/,2026.01.26,-3088,894
지니틱스 *,839.0,0.00%,8623390.0,7488.0,6635292.0,303030,https://kr.tradingview.com/symbols/KRX-303030/,2026.01.26,0,63780
효성ITX,12660.0,-0.31%,21823.0,275.0,27164.0,094280,https://kr.tradingview.com/symbols/KRX-094280/,2026.01.26,195,1606
효성,150000.0,-0.53%,29803.0,4431.0,25317.0,004800,https://kr.tradingview.com/symbols/KRX-004800/,2026.01.26,-3323,8427
유비벨록스 *,5510.0,-1.78%,39497.0,218.0,64682.0,089850,https://kr.tradingview.com/symbols/KRX-089850/,2026.01.26,0,1425
