종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제이케이시냅스 *,4250.0,+29.97%,417952.0,1716.0,161942.0,060230,https://kr.tradingview.com/symbols/KRX-060230/
SK스퀘어,473000.0,+7.26%,581298.0,272359.0,334124.0,402340,https://kr.tradingview.com/symbols/KRX-402340/
코나아이 *,56100.0,+6.45%,424138.0,23553.0,428785.0,052400,https://kr.tradingview.com/symbols/KRX-052400/
삼성전자,159500.0,+4.87%,28800154.0,4467567.0,20561689.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
KT,56000.0,+2.94%,634623.0,35593.0,368069.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
SK,298000.0,+2.76%,209631.0,61817.0,132865.0,034730,https://kr.tradingview.com/symbols/KRX-034730/
엑스큐어 *,1743.0,+1.28%,505835.0,900.0,493428.0,070300,https://kr.tradingview.com/symbols/KRX-070300/
에이텍모빌리티 *,9950.0,+0.51%,21202.0,210.0,23000.0,224110,https://kr.tradingview.com/symbols/KRX-224110/
아모텍 *,10570.0,+0.48%,187974.0,1948.0,301316.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
파트론 *,7180.0,+0.14%,365168.0,2621.0,291477.0,091700,https://kr.tradingview.com/symbols/KRX-091700/
이루온 *,1520.0,+0.07%,222943.0,340.0,320112.0,065440,https://kr.tradingview.com/symbols/KRX-065440/
에스넷 *,3505.0,-0.14%,31491.0,110.0,58822.0,038680,https://kr.tradingview.com/symbols/KRX-038680/
쓰리에이로직스 *,6260.0,-0.48%,98412.0,620.0,70812.0,177900,https://kr.tradingview.com/symbols/KRX-177900/
누리플렉스 *,3650.0,-1.35%,14804.0,55.0,68073.0,040160,https://kr.tradingview.com/symbols/KRX-040160/
유비벨록스 *,5510.0,-1.78%,39497.0,218.0,64682.0,089850,https://kr.tradingview.com/symbols/KRX-089850/
빅텍 *,3800.0,-1.81%,257985.0,983.0,345759.0,065450,https://kr.tradingview.com/symbols/KRX-065450/
에이스테크 *,3010.0,-3.99%,284315.0,853.0,364325.0,088800,https://kr.tradingview.com/symbols/KRX-088800/
에이루트 *,1695.0,-4.29%,57768.0,99.0,418949.0,096690,https://kr.tradingview.com/symbols/KRX-096690/
