종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한전산업,14750.0,+20.21%,12674490.0,194132.0,213971.0,130660,https://kr.tradingview.com/symbols/KRX-130660/
서전기전 *,4575.0,+14.95%,3569975.0,17281.0,182987.0,189860,https://kr.tradingview.com/symbols/KRX-189860/
LS ELECTRIC,537000.0,+7.19%,651215.0,349828.0,186993.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
금화피에스시 *,34050.0,+5.75%,61426.0,2087.0,13685.0,036190,https://kr.tradingview.com/symbols/KRX-036190/
비츠로시스 *,443.0,+4.48%,745760.0,324.0,716747.0,054220,https://kr.tradingview.com/symbols/KRX-054220/
일진전기,62800.0,+3.80%,617447.0,38533.0,366581.0,103590,https://kr.tradingview.com/symbols/KRX-103590/
HD현대일렉트릭,901000.0,+3.33%,171752.0,153625.0,239517.0,267260,https://kr.tradingview.com/symbols/KRX-267260/
한전KPS,58900.0,+3.33%,1156060.0,70375.0,237276.0,051600,https://kr.tradingview.com/symbols/KRX-051600/
산일전기,142500.0,+2.30%,339513.0,48172.0,308904.0,062040,https://kr.tradingview.com/symbols/KRX-062040/
제룡전기 *,41600.0,+2.21%,422562.0,17695.0,288295.0,033100,https://kr.tradingview.com/symbols/KRX-033100/
두산에너빌리티,93600.0,+1.96%,6838698.0,642700.0,5800785.0,034020,https://kr.tradingview.com/symbols/KRX-034020/
효성중공업,2387000.0,+1.83%,84885.0,197806.0,68867.0,298040,https://kr.tradingview.com/symbols/KRX-298040/
지엔씨에너지 *,36450.0,+1.67%,233085.0,8516.0,257215.0,119850,https://kr.tradingview.com/symbols/KRX-119850/
세명전기 *,9820.0,+1.34%,411660.0,4042.0,386310.0,017510,https://kr.tradingview.com/symbols/KRX-017510/
LS마린솔루션 *,30050.0,+1.01%,317466.0,9503.0,489871.0,060370,https://kr.tradingview.com/symbols/KRX-060370/
LS에코에너지,40500.0,+0.62%,143270.0,5779.0,314972.0,229640,https://kr.tradingview.com/symbols/KRX-229640/
피앤씨테크 *,5020.0,+0.60%,170960.0,850.0,95128.0,237750,https://kr.tradingview.com/symbols/KRX-237750/
대한전선,26750.0,+0.56%,2189271.0,58755.0,2727012.0,001440,https://kr.tradingview.com/symbols/KRX-001440/
바이오스마트 *,4005.0,+0.25%,610927.0,2420.0,553407.0,038460,https://kr.tradingview.com/symbols/KRX-038460/
한국전력,60500.0,+0.17%,4396303.0,269862.0,3198151.0,015760,https://kr.tradingview.com/symbols/KRX-015760/
대원전선,3645.0,0.00%,1860340.0,6795.0,1740335.0,006340,https://kr.tradingview.com/symbols/KRX-006340/
제일일렉트릭 *,9940.0,-0.10%,347606.0,3477.0,206020.0,199820,https://kr.tradingview.com/symbols/KRX-199820/
위너스 *,10300.0,-0.19%,10815.0,111.0,19368.0,479960,https://kr.tradingview.com/symbols/KRX-479960/
가온전선,87900.0,-0.23%,51427.0,4533.0,50589.0,000500,https://kr.tradingview.com/symbols/KRX-000500/
보성파워텍 *,8150.0,-0.49%,13442548.0,116725.0,14213954.0,006910,https://kr.tradingview.com/symbols/KRX-006910/
티씨머티리얼즈 *,3965.0,-0.75%,483648.0,1922.0,444844.0,125020,https://kr.tradingview.com/symbols/KRX-125020/
지투파워 *,8890.0,-0.78%,1499381.0,13797.0,668412.0,388050,https://kr.tradingview.com/symbols/KRX-388050/
광명전기,1446.0,-1.36%,671335.0,978.0,646055.0,017040,https://kr.tradingview.com/symbols/KRX-017040/
비츠로테크 *,10540.0,-1.59%,753287.0,8018.0,672432.0,042370,https://kr.tradingview.com/symbols/KRX-042370/
서남 *,3000.0,-3.23%,987840.0,3004.0,1633442.0,294630,https://kr.tradingview.com/symbols/KRX-294630/
제룡산업 *,7110.0,-3.53%,1071755.0,7851.0,1239544.0,147830,https://kr.tradingview.com/symbols/KRX-147830/
LS,224000.0,-4.07%,302962.0,68561.0,454871.0,006260,https://kr.tradingview.com/symbols/KRX-006260/
에이루트 *,1695.0,-4.29%,57768.0,99.0,418949.0,096690,https://kr.tradingview.com/symbols/KRX-096690/
