종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
나무기술 *,2415.0,+13.38%,14796693.0,35814.0,3642901.0,242040,https://kr.tradingview.com/symbols/KRX-242040/
SK텔레콤,69400.0,+12.30%,5681997.0,390262.0,1169977.0,017670,https://kr.tradingview.com/symbols/KRX-017670/
아이티센엔텍 *,1208.0,+9.42%,2933540.0,3477.0,2005093.0,010280,https://kr.tradingview.com/symbols/KRX-010280/
다우기술,47000.0,+6.82%,186093.0,8530.0,200343.0,023590,https://kr.tradingview.com/symbols/KRX-023590/
케이사인 *,10750.0,+5.91%,809539.0,8986.0,102008.0,192250,https://kr.tradingview.com/symbols/KRX-192250/
솔트룩스 *,29350.0,+3.35%,252016.0,7298.0,259188.0,304100,https://kr.tradingview.com/symbols/KRX-304100/
NAVER,281500.0,+3.30%,4948006.0,1406248.0,2706664.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
엔텔스 *,5400.0,+3.25%,52002.0,278.0,38266.0,069410,https://kr.tradingview.com/symbols/KRX-069410/
유엔젤,4655.0,+3.22%,136868.0,621.0,101331.0,072130,https://kr.tradingview.com/symbols/KRX-072130/
KT,56000.0,+2.94%,634623.0,35593.0,368069.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
DB,1600.0,+2.83%,460116.0,722.0,760164.0,012030,https://kr.tradingview.com/symbols/KRX-012030/
SGA솔루션즈 *,621.0,+2.81%,303729.0,188.0,287325.0,184230,https://kr.tradingview.com/symbols/KRX-184230/
SK,298000.0,+2.76%,209631.0,61817.0,132865.0,034730,https://kr.tradingview.com/symbols/KRX-034730/
삼성에스디에스,176500.0,+2.50%,361107.0,64064.0,271684.0,018260,https://kr.tradingview.com/symbols/KRX-018260/
휴네시온 *,3995.0,+1.65%,54283.0,216.0,26285.0,290270,https://kr.tradingview.com/symbols/KRX-290270/
폴라리스오피스 *,4940.0,+1.65%,615877.0,3012.0,1026422.0,041020,https://kr.tradingview.com/symbols/KRX-041020/
엑셈 *,2085.0,+1.46%,742045.0,1537.0,639387.0,205100,https://kr.tradingview.com/symbols/KRX-205100/
한글과컴퓨터 *,25000.0,+1.21%,434327.0,10827.0,437808.0,030520,https://kr.tradingview.com/symbols/KRX-030520/
엠로 *,39100.0,+1.16%,144570.0,5662.0,170286.0,058970,https://kr.tradingview.com/symbols/KRX-058970/
케이아이엔엑스 *,133000.0,+1.14%,15589.0,2079.0,19396.0,093320,https://kr.tradingview.com/symbols/KRX-093320/
솔트웨어 *,844.0,+0.96%,96092.0,81.0,99732.0,328380,https://kr.tradingview.com/symbols/KRX-328380/
비투엔 *,1200.0,+0.50%,612308.0,755.0,656579.0,307870,https://kr.tradingview.com/symbols/KRX-307870/
안랩 *,65300.0,+0.46%,127715.0,8405.0,157251.0,053800,https://kr.tradingview.com/symbols/KRX-053800/
LG씨엔에스,72000.0,+0.42%,1577627.0,114708.0,2078576.0,064400,https://kr.tradingview.com/symbols/KRX-064400/
에스피소프트 *,5520.0,0.00%,107477.0,590.0,155093.0,443670,https://kr.tradingview.com/symbols/KRX-443670/
핸디소프트 *,1899.0,0.00%,152771.0,288.0,1779252.0,220180,https://kr.tradingview.com/symbols/KRX-220180/
가비아 *,33000.0,-0.15%,16604.0,547.0,25801.0,079940,https://kr.tradingview.com/symbols/KRX-079940/
오픈베이스 *,2415.0,-0.21%,177670.0,427.0,419607.0,049480,https://kr.tradingview.com/symbols/KRX-049480/
비트플래닛 *,918.0,-0.22%,603221.0,556.0,1457912.0,049470,https://kr.tradingview.com/symbols/KRX-049470/
효성ITX,12660.0,-0.31%,21823.0,275.0,27164.0,094280,https://kr.tradingview.com/symbols/KRX-094280/
포시에스 *,2060.0,-0.48%,44028.0,90.0,80290.0,189690,https://kr.tradingview.com/symbols/KRX-189690/
파이오링크 *,8700.0,-0.57%,16922.0,147.0,20429.0,170790,https://kr.tradingview.com/symbols/KRX-170790/
영림원소프트랩 *,6550.0,-1.36%,12856.0,84.0,29480.0,060850,https://kr.tradingview.com/symbols/KRX-060850/
포니링크 *,811.0,-1.70%,425747.0,343.0,428984.0,064800,https://kr.tradingview.com/symbols/KRX-064800/
포스코DX,39350.0,-1.87%,988173.0,38903.0,1711114.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
더존비즈온,90600.0,-3.41%,267946.0,24310.0,307199.0,012510,https://kr.tradingview.com/symbols/KRX-012510/
