종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
우진,26400.0,+9.77%,3487410.0,95770.0,1241039.0,105840,https://kr.tradingview.com/symbols/KRX-105840/
비에이치아이 *,71200.0,+4.55%,2039164.0,148281.0,1410489.0,083650,https://kr.tradingview.com/symbols/KRX-083650/
우리기술 *,8770.0,+3.54%,39576534.0,358998.0,58852027.0,032820,https://kr.tradingview.com/symbols/KRX-032820/
원일티엔아이 *,20100.0,+3.45%,123933.0,2477.0,79851.0,136150,https://kr.tradingview.com/symbols/KRX-136150/
한전KPS,58900.0,+3.33%,1156060.0,70375.0,237276.0,051600,https://kr.tradingview.com/symbols/KRX-051600/
한텍 *,37250.0,+2.34%,227505.0,8622.0,93552.0,098070,https://kr.tradingview.com/symbols/KRX-098070/
두산에너빌리티,93600.0,+1.96%,6838698.0,642700.0,5800785.0,034020,https://kr.tradingview.com/symbols/KRX-034020/
오르비텍 *,4615.0,+1.65%,4186226.0,20066.0,1363938.0,046120,https://kr.tradingview.com/symbols/KRX-046120/
한전기술,136300.0,+1.64%,1917840.0,277175.0,527804.0,052690,https://kr.tradingview.com/symbols/KRX-052690/
에스앤더블류 *,4090.0,+0.49%,28447.0,116.0,41373.0,103230,https://kr.tradingview.com/symbols/KRX-103230/
현대건설,105900.0,-0.28%,1305240.0,138686.0,1528569.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
위드텍 *,9060.0,-1.09%,88199.0,808.0,71390.0,348350,https://kr.tradingview.com/symbols/KRX-348350/
비츠로테크 *,10540.0,-1.59%,753287.0,8018.0,672432.0,042370,https://kr.tradingview.com/symbols/KRX-042370/
대창솔루션 *,2230.0,-3.04%,520815.0,1176.0,455031.0,096350,https://kr.tradingview.com/symbols/KRX-096350/
케이엔알시스템 *,35050.0,-5.01%,318112.0,11256.0,546809.0,199430,https://kr.tradingview.com/symbols/KRX-199430/
