종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한컴위드 *,6330.0,+29.85%,14190236.0,82970.0,2886162.0,054920,https://kr.tradingview.com/symbols/KRX-054920/
코나아이 *,56100.0,+6.45%,424138.0,23553.0,428785.0,052400,https://kr.tradingview.com/symbols/KRX-052400/
KB금융,143000.0,+5.54%,1159367.0,164184.0,724794.0,105560,https://kr.tradingview.com/symbols/KRX-105560/
KG이니시스 *,11110.0,+4.12%,473135.0,5156.0,362262.0,035600,https://kr.tradingview.com/symbols/KRX-035600/
한국금융지주,204500.0,+3.65%,282009.0,56863.0,283007.0,071050,https://kr.tradingview.com/symbols/KRX-071050/
KG모빌리언스 *,5160.0,+3.51%,602868.0,3076.0,726793.0,046440,https://kr.tradingview.com/symbols/KRX-046440/
NH투자증권,24600.0,+3.36%,811427.0,19805.0,688785.0,005940,https://kr.tradingview.com/symbols/KRX-005940/
KT,56000.0,+2.94%,634623.0,35593.0,368069.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
GS리테일,21000.0,+1.94%,100369.0,2103.0,111684.0,007070,https://kr.tradingview.com/symbols/KRX-007070/
인포바인 *,73100.0,+1.81%,7905.0,589.0,6189.0,115310,https://kr.tradingview.com/symbols/KRX-115310/
카카오뱅크,23400.0,+1.52%,1758989.0,40843.0,2659973.0,323410,https://kr.tradingview.com/symbols/KRX-323410/
엑셈 *,2085.0,+1.46%,742045.0,1537.0,639387.0,205100,https://kr.tradingview.com/symbols/KRX-205100/
한국정보인증 *,6730.0,+1.05%,1021498.0,6898.0,1909679.0,053300,https://kr.tradingview.com/symbols/KRX-053300/
알서포트 *,2450.0,+0.82%,159614.0,389.0,192311.0,131370,https://kr.tradingview.com/symbols/KRX-131370/
인포뱅크 *,5750.0,+0.70%,35885.0,208.0,40389.0,039290,https://kr.tradingview.com/symbols/KRX-039290/
카카오,62200.0,+0.65%,4016704.0,250284.0,4143093.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
한국전자인증 *,4025.0,+0.63%,170890.0,683.0,335740.0,041460,https://kr.tradingview.com/symbols/KRX-041460/
드림시큐리티 *,1713.0,+0.53%,698872.0,1187.0,1653841.0,203650,https://kr.tradingview.com/symbols/KRX-203650/
라온시큐어 *,9770.0,+0.41%,114494.0,1120.0,152837.0,042510,https://kr.tradingview.com/symbols/KRX-042510/
현대이지웰 *,5130.0,+0.39%,95282.0,484.0,83649.0,090850,https://kr.tradingview.com/symbols/KRX-090850/
이글루 *,5350.0,+0.19%,34741.0,186.0,55745.0,067920,https://kr.tradingview.com/symbols/KRX-067920/
이니텍 *,4470.0,+0.11%,68274.0,305.0,112610.0,053350,https://kr.tradingview.com/symbols/KRX-053350/
NICE평가정보,16930.0,-0.24%,92482.0,1568.0,72253.0,030190,https://kr.tradingview.com/symbols/KRX-030190/
브리지텍 *,5240.0,-0.38%,51830.0,270.0,195108.0,064480,https://kr.tradingview.com/symbols/KRX-064480/
예스24 *,3615.0,-0.41%,35129.0,127.0,84553.0,053280,https://kr.tradingview.com/symbols/KRX-053280/
시큐브 *,3815.0,-0.65%,4431.0,17.0,4912.0,131090,https://kr.tradingview.com/symbols/KRX-131090/
한세예스24홀딩스,4060.0,-1.58%,26526.0,107.0,12690.0,016450,https://kr.tradingview.com/symbols/KRX-016450/
포스코DX,39350.0,-1.87%,988173.0,38903.0,1711114.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
인지소프트 *,21700.0,-2.03%,29203.0,624.0,10614.0,100030,https://kr.tradingview.com/symbols/KRX-100030/
한화생명,3455.0,-2.12%,3595000.0,12549.0,10735537.0,088350,https://kr.tradingview.com/symbols/KRX-088350/
