종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제주은행,15600.0,+30.00%,9764169.0,142234.0,299795.0,006220,https://kr.tradingview.com/symbols/KRX-006220/
KB금융,143000.0,+5.54%,1159367.0,164184.0,724794.0,105560,https://kr.tradingview.com/symbols/KRX-105560/
신한지주,86100.0,+4.49%,1650498.0,140805.0,1238425.0,055550,https://kr.tradingview.com/symbols/KRX-055550/
iM금융지주,14930.0,+3.82%,902893.0,13418.0,470132.0,139130,https://kr.tradingview.com/symbols/KRX-139130/
하나금융지주,105000.0,+3.75%,755931.0,79129.0,531425.0,086790,https://kr.tradingview.com/symbols/KRX-086790/
우리금융지주,30650.0,+3.72%,2048097.0,62238.0,1692631.0,316140,https://kr.tradingview.com/symbols/KRX-316140/
JB금융지주,24300.0,+3.40%,755267.0,18143.0,473712.0,175330,https://kr.tradingview.com/symbols/KRX-175330/
기업은행,21600.0,+3.35%,2052149.0,43956.0,1078121.0,024110,https://kr.tradingview.com/symbols/KRX-024110/
카카오뱅크,23400.0,+1.52%,1758989.0,40843.0,2659973.0,323410,https://kr.tradingview.com/symbols/KRX-323410/
BNK금융지주,16150.0,+1.44%,1326337.0,21450.0,621713.0,138930,https://kr.tradingview.com/symbols/KRX-138930/
