종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
나노팀 *,10240.0,+19.07%,11338149.0,115410.0,1072432.0,417010,https://kr.tradingview.com/symbols/KRX-417010/
미래에셋벤처투자 *,15400.0,+7.62%,2901255.0,43879.0,3952272.0,100790,https://kr.tradingview.com/symbols/KRX-100790/
센서뷰 *,3300.0,+4.60%,5927487.0,19169.0,14392202.0,321370,https://kr.tradingview.com/symbols/KRX-321370/
미래에셋증권,34800.0,+4.50%,6073300.0,208594.0,7387891.0,006800,https://kr.tradingview.com/symbols/KRX-006800/
스피어 *,23100.0,+2.44%,2643985.0,60452.0,3713094.0,347700,https://kr.tradingview.com/symbols/KRX-347700/
이녹스첨단소재 *,29800.0,+2.05%,599496.0,17540.0,720905.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
아주IB투자 *,3575.0,+0.99%,4164401.0,14795.0,6521136.0,027360,https://kr.tradingview.com/symbols/KRX-027360/
켄코아에어로스페이스 *,24200.0,-0.82%,1199835.0,29330.0,1109610.0,274090,https://kr.tradingview.com/symbols/KRX-274090/
세아베스틸지주,68100.0,-1.45%,336708.0,23115.0,622110.0,001430,https://kr.tradingview.com/symbols/KRX-001430/
LG에너지솔루션,408500.0,-1.80%,330244.0,135299.0,323197.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
와이제이링크 *,4310.0,-2.93%,1419010.0,6148.0,1401310.0,209640,https://kr.tradingview.com/symbols/KRX-209640/
에이치브이엠 *,83500.0,-4.79%,290917.0,24426.0,467181.0,295310,https://kr.tradingview.com/symbols/KRX-295310/
