종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제이케이시냅스 *,4250.0,+29.97%,417952.0,1716.0,161942.0,060230,https://kr.tradingview.com/symbols/KRX-060230/
시선AI *,4215.0,+29.89%,15357147.0,61502.0,475098.0,340810,https://kr.tradingview.com/symbols/KRX-340810/
비스토스 *,1250.0,+8.41%,11470355.0,14926.0,497729.0,419540,https://kr.tradingview.com/symbols/KRX-419540/
루닛 *,44200.0,+4.99%,641488.0,28020.0,856042.0,328130,https://kr.tradingview.com/symbols/KRX-328130/
신테카바이오 *,3830.0,+4.50%,491010.0,1855.0,521120.0,226330,https://kr.tradingview.com/symbols/KRX-226330/
엔젠바이오 *,1761.0,+3.59%,282198.0,490.0,375478.0,354200,https://kr.tradingview.com/symbols/KRX-354200/
딥노이드 *,3580.0,+3.47%,720304.0,2547.0,605404.0,315640,https://kr.tradingview.com/symbols/KRX-315640/
제이엘케이 *,7550.0,+3.00%,857624.0,6504.0,896358.0,322510,https://kr.tradingview.com/symbols/KRX-322510/
스피어 *,23100.0,+2.44%,2643985.0,60452.0,3713094.0,347700,https://kr.tradingview.com/symbols/KRX-347700/
셀바스AI *,12850.0,+1.98%,561591.0,7187.0,610995.0,108860,https://kr.tradingview.com/symbols/KRX-108860/
메디아나 *,16640.0,+1.90%,446136.0,7254.0,943182.0,041920,https://kr.tradingview.com/symbols/KRX-041920/
모아데이타 *,881.0,+1.26%,126596.0,111.0,146705.0,288980,https://kr.tradingview.com/symbols/KRX-288980/
뷰노 *,22000.0,+0.92%,161605.0,3516.0,208610.0,338220,https://kr.tradingview.com/symbols/KRX-338220/
온코크로스 *,9450.0,+0.53%,173417.0,1622.0,185788.0,382150,https://kr.tradingview.com/symbols/KRX-382150/
이지케어텍 *,9360.0,+0.11%,36237.0,338.0,54064.0,099750,https://kr.tradingview.com/symbols/KRX-099750/
파로스아이바이오 *,10040.0,-0.50%,164936.0,1643.0,306670.0,388870,https://kr.tradingview.com/symbols/KRX-388870/
코어라인소프트 *,4310.0,-0.58%,100485.0,432.0,212530.0,384470,https://kr.tradingview.com/symbols/KRX-384470/
드림씨아이에스 *,6260.0,-0.63%,223451.0,1398.0,381906.0,223250,https://kr.tradingview.com/symbols/KRX-223250/
랩지노믹스 *,1754.0,-0.85%,649210.0,1135.0,850283.0,084650,https://kr.tradingview.com/symbols/KRX-084650/
토마토시스템 *,5180.0,-0.96%,84034.0,432.0,119431.0,393210,https://kr.tradingview.com/symbols/KRX-393210/
인성정보 *,1748.0,-0.96%,357777.0,626.0,454034.0,033230,https://kr.tradingview.com/symbols/KRX-033230/
쓰리빌리언 *,14950.0,-1.12%,254495.0,3816.0,577653.0,394800,https://kr.tradingview.com/symbols/KRX-394800/
젠큐릭스 *,1828.0,-1.72%,192468.0,350.0,276963.0,229000,https://kr.tradingview.com/symbols/KRX-229000/
뉴로핏 *,22450.0,-2.39%,312384.0,7098.0,370713.0,380550,https://kr.tradingview.com/symbols/KRX-380550/
씨어스테크놀로지 *,159000.0,-2.45%,44368.0,7061.0,132957.0,458870,https://kr.tradingview.com/symbols/KRX-458870/
노을 *,1881.0,-2.49%,1001585.0,1896.0,606698.0,376930,https://kr.tradingview.com/symbols/KRX-376930/
셀바스헬스케어 *,5740.0,-2.55%,727850.0,4214.0,924635.0,208370,https://kr.tradingview.com/symbols/KRX-208370/
아크릴 *,34700.0,-3.07%,336904.0,11880.0,539344.0,0007C0,https://kr.tradingview.com/symbols/KRX-000070/
제이에스링크 *,23000.0,-4.37%,208390.0,4758.0,561320.0,127120,https://kr.tradingview.com/symbols/KRX-127120/
셀루메드 *,2010.0,-4.74%,3105815.0,6302.0,5240210.0,049180,https://kr.tradingview.com/symbols/KRX-049180/
로킷헬스케어 *,67800.0,-4.78%,315270.0,21710.0,550310.0,376900,https://kr.tradingview.com/symbols/KRX-376900/
