종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
메디포스트 *,23450.0,+29.77%,2431074.0,54447.0,499825.0,078160,https://kr.tradingview.com/symbols/KRX-078160/
코아스템켐온 *,3665.0,+15.62%,4298961.0,15140.0,5175674.0,166480,https://kr.tradingview.com/symbols/KRX-166480/
차바이오텍 *,20150.0,+11.33%,2635834.0,51339.0,2185054.0,085660,https://kr.tradingview.com/symbols/KRX-085660/
이엔셀 *,17010.0,+8.27%,2109713.0,36214.0,198634.0,456070,https://kr.tradingview.com/symbols/KRX-456070/
네이처셀 *,23400.0,+5.88%,1351420.0,31548.0,1029683.0,007390,https://kr.tradingview.com/symbols/KRX-007390/
테고사이언스 *,15000.0,+4.53%,21110.0,307.0,8658.0,191420,https://kr.tradingview.com/symbols/KRX-191420/
HLB생명과학 *,5150.0,+3.00%,1227692.0,6224.0,2483000.0,067630,https://kr.tradingview.com/symbols/KRX-067630/
안트로젠 *,40650.0,+2.65%,30844.0,1226.0,44540.0,065660,https://kr.tradingview.com/symbols/KRX-065660/
제일약품,14920.0,+0.95%,16895.0,250.0,33533.0,271980,https://kr.tradingview.com/symbols/KRX-271980/
메타케어,294.0,+0.68%,503113.0,146.0,470232.0,118000,https://kr.tradingview.com/symbols/KRX-118000/
에스씨엠생명과학 *,819.0,+0.61%,80806.0,66.0,109366.0,298060,https://kr.tradingview.com/symbols/KRX-298060/
마크로젠 *,17050.0,+0.06%,52444.0,890.0,90700.0,038290,https://kr.tradingview.com/symbols/KRX-038290/
강스템바이오텍 *,2110.0,0.00%,658459.0,1357.0,774633.0,217730,https://kr.tradingview.com/symbols/KRX-217730/
에스바이오메딕스 *,34900.0,0.00%,117029.0,4119.0,232362.0,304360,https://kr.tradingview.com/symbols/KRX-304360/
파미셀,13800.0,-0.29%,583989.0,8037.0,721065.0,005690,https://kr.tradingview.com/symbols/KRX-005690/
동구바이오제약 *,5380.0,-0.74%,191255.0,1029.0,390964.0,006620,https://kr.tradingview.com/symbols/KRX-006620/
바이오솔루션 *,7970.0,-0.87%,85950.0,686.0,96159.0,086820,https://kr.tradingview.com/symbols/KRX-086820/
엑셀세라퓨틱스 *,1585.0,-1.12%,70378.0,112.0,68511.0,373110,https://kr.tradingview.com/symbols/KRX-373110/
