종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제이케이시냅스 *,4250.0,+29.97%,417952.0,1716.0,161942.0,060230,https://kr.tradingview.com/symbols/KRX-060230/
LG유플러스,16320.0,+7.44%,1807402.0,29377.0,651956.0,032640,https://kr.tradingview.com/symbols/KRX-032640/
케이사인 *,10750.0,+5.91%,809539.0,8986.0,102008.0,192250,https://kr.tradingview.com/symbols/KRX-192250/
가온그룹 *,6800.0,+4.62%,561255.0,3681.0,452126.0,078890,https://kr.tradingview.com/symbols/KRX-078890/
에이디테크놀로지 *,38100.0,+4.53%,514017.0,19084.0,388704.0,200710,https://kr.tradingview.com/symbols/KRX-200710/
비츠로시스 *,443.0,+4.48%,745760.0,324.0,716747.0,054220,https://kr.tradingview.com/symbols/KRX-054220/
한울소재과학 *,3000.0,+4.17%,153512.0,460.0,109968.0,091440,https://kr.tradingview.com/symbols/KRX-091440/
엔텔스 *,5400.0,+3.25%,52002.0,278.0,38266.0,069410,https://kr.tradingview.com/symbols/KRX-069410/
SGA솔루션즈 *,621.0,+2.81%,303729.0,188.0,287325.0,184230,https://kr.tradingview.com/symbols/KRX-184230/
두산테스나 *,60900.0,+2.70%,516612.0,31075.0,729000.0,131970,https://kr.tradingview.com/symbols/KRX-131970/
삼성에스디에스,176500.0,+2.50%,361107.0,64064.0,271684.0,018260,https://kr.tradingview.com/symbols/KRX-018260/
알파칩스 *,15650.0,+1.95%,48263.0,764.0,82372.0,117670,https://kr.tradingview.com/symbols/KRX-117670/
한국전자인증 *,4025.0,+0.63%,170890.0,683.0,335740.0,041460,https://kr.tradingview.com/symbols/KRX-041460/
HDC랩스,8260.0,+0.49%,20460.0,169.0,22220.0,039570,https://kr.tradingview.com/symbols/KRX-039570/
엑사이엔씨 *,671.0,+0.30%,86766.0,58.0,197592.0,054940,https://kr.tradingview.com/symbols/KRX-054940/
트루엔 *,7990.0,+0.25%,25821.0,206.0,24291.0,417790,https://kr.tradingview.com/symbols/KRX-417790/
코콤 *,3465.0,+0.14%,27046.0,93.0,36941.0,015710,https://kr.tradingview.com/symbols/KRX-015710/
삼진 *,3550.0,0.00%,11849.0,42.0,28250.0,032750,https://kr.tradingview.com/symbols/KRX-032750/
대한과학 *,4735.0,-0.11%,29032.0,136.0,40406.0,131220,https://kr.tradingview.com/symbols/KRX-131220/
에스넷 *,3505.0,-0.14%,31491.0,110.0,58822.0,038680,https://kr.tradingview.com/symbols/KRX-038680/
오픈베이스 *,2415.0,-0.21%,177670.0,427.0,419607.0,049480,https://kr.tradingview.com/symbols/KRX-049480/
비트플래닛 *,918.0,-0.22%,603221.0,556.0,1457912.0,049470,https://kr.tradingview.com/symbols/KRX-049470/
다산네트웍스 *,3565.0,-0.28%,333842.0,1196.0,573937.0,039560,https://kr.tradingview.com/symbols/KRX-039560/
효성ITX,12660.0,-0.31%,21823.0,275.0,27164.0,094280,https://kr.tradingview.com/symbols/KRX-094280/
유비쿼스 *,11530.0,-0.35%,158982.0,1828.0,219773.0,264450,https://kr.tradingview.com/symbols/KRX-264450/
유진로봇 *,31650.0,-0.63%,1347336.0,42279.0,5190993.0,056080,https://kr.tradingview.com/symbols/KRX-056080/
심플랫폼 *,7480.0,-0.66%,26893.0,202.0,31213.0,444530,https://kr.tradingview.com/symbols/KRX-444530/
기가레인 *,572.0,-0.69%,306483.0,175.0,859427.0,049080,https://kr.tradingview.com/symbols/KRX-049080/
누리플렉스 *,3650.0,-1.35%,14804.0,55.0,68073.0,040160,https://kr.tradingview.com/symbols/KRX-040160/
