종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
서전기전 *,4575.0,+14.95%,3569975.0,17281.0,182987.0,189860,https://kr.tradingview.com/symbols/KRX-189860/
지에프아이 *,19580.0,+14.24%,986071.0,18948.0,127186.0,493330,https://kr.tradingview.com/symbols/KRX-493330/
파라텍 *,1292.0,+9.21%,3104197.0,4031.0,571914.0,033540,https://kr.tradingview.com/symbols/KRX-033540/
인콘 *,290.0,+3.94%,1108711.0,318.0,813807.0,083640,https://kr.tradingview.com/symbols/KRX-083640/
삼영엠텍 *,15100.0,+3.85%,1926756.0,29507.0,403035.0,054540,https://kr.tradingview.com/symbols/KRX-054540/
한컴라이프케어,3070.0,+3.54%,10387673.0,33900.0,107714.0,372910,https://kr.tradingview.com/symbols/KRX-372910/
유엔젤,4655.0,+3.22%,136868.0,621.0,101331.0,072130,https://kr.tradingview.com/symbols/KRX-072130/
HDC현대EP,4750.0,+2.04%,143731.0,675.0,164480.0,089470,https://kr.tradingview.com/symbols/KRX-089470/
하이드로리튬 *,2585.0,+1.97%,5484766.0,14138.0,10356785.0,101670,https://kr.tradingview.com/symbols/KRX-101670/
오텍 *,1949.0,+1.04%,110936.0,216.0,94013.0,067170,https://kr.tradingview.com/symbols/KRX-067170/
LS마린솔루션 *,30050.0,+1.01%,317466.0,9503.0,489871.0,060370,https://kr.tradingview.com/symbols/KRX-060370/
동아지질,17380.0,+0.64%,59397.0,1035.0,38980.0,028100,https://kr.tradingview.com/symbols/KRX-028100/
폴라리스AI *,1891.0,+0.48%,1627610.0,3094.0,1017453.0,039980,https://kr.tradingview.com/symbols/KRX-039980/
대창스틸 *,2100.0,+0.24%,34566.0,73.0,49816.0,140520,https://kr.tradingview.com/symbols/KRX-140520/
HRS *,5190.0,-0.19%,151408.0,789.0,105025.0,036640,https://kr.tradingview.com/symbols/KRX-036640/
한국종합기술,4675.0,-0.32%,15306.0,70.0,22022.0,023350,https://kr.tradingview.com/symbols/KRX-023350/
현대에버다임 *,8270.0,-0.72%,148937.0,1225.0,215500.0,041440,https://kr.tradingview.com/symbols/KRX-041440/
티케이지애강 *,664.0,-0.75%,89998.0,60.0,88222.0,022220,https://kr.tradingview.com/symbols/KRX-022220/
희림 *,4430.0,-1.01%,70445.0,315.0,58114.0,037440,https://kr.tradingview.com/symbols/KRX-037440/
삼일씨엔에스,5720.0,-1.72%,24443.0,139.0,52647.0,004440,https://kr.tradingview.com/symbols/KRX-004440/
동양파일 *,1752.0,-2.45%,44771.0,80.0,26586.0,228340,https://kr.tradingview.com/symbols/KRX-228340/
