종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
시선AI *,4215.0,+29.89%,15357147.0,61502.0,475098.0,340810,https://kr.tradingview.com/symbols/KRX-340810/
디지캡 *,2230.0,+1.83%,13582.0,30.0,16085.0,197140,https://kr.tradingview.com/symbols/KRX-197140/
샌즈랩 *,7580.0,+1.47%,133748.0,1008.0,985454.0,411080,https://kr.tradingview.com/symbols/KRX-411080/
플랜티넷 *,2390.0,+1.27%,49729.0,118.0,28141.0,075130,https://kr.tradingview.com/symbols/KRX-075130/
크라우드웍스 *,3830.0,+0.79%,103610.0,394.0,124683.0,355390,https://kr.tradingview.com/symbols/KRX-355390/
이스트소프트 *,18760.0,+0.64%,131370.0,2454.0,144701.0,047560,https://kr.tradingview.com/symbols/KRX-047560/
라온시큐어 *,9770.0,+0.41%,114494.0,1120.0,152837.0,042510,https://kr.tradingview.com/symbols/KRX-042510/
한빛소프트 *,1212.0,+0.41%,52384.0,63.0,50473.0,047080,https://kr.tradingview.com/symbols/KRX-047080/
스톤브릿지벤처스 *,5450.0,+0.37%,59353.0,321.0,290077.0,330730,https://kr.tradingview.com/symbols/KRX-330730/
에스피소프트 *,5520.0,0.00%,107477.0,590.0,155093.0,443670,https://kr.tradingview.com/symbols/KRX-443670/
파수 *,4145.0,-0.36%,17213.0,71.0,59610.0,150900,https://kr.tradingview.com/symbols/KRX-150900/
M83 *,8660.0,-1.14%,26294.0,228.0,41652.0,476080,https://kr.tradingview.com/symbols/KRX-476080/
알체라 *,2035.0,-1.21%,347648.0,709.0,491573.0,347860,https://kr.tradingview.com/symbols/KRX-347860/
아이씨티케이 *,16480.0,-1.32%,341334.0,5608.0,755021.0,456010,https://kr.tradingview.com/symbols/KRX-456010/
