종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
케이피엠테크 *,229.0,+13.37%,10519896.0,2471.0,734690.0,042040,https://kr.tradingview.com/symbols/KRX-042040/
웰크론 *,1680.0,+5.00%,504031.0,863.0,114342.0,065950,https://kr.tradingview.com/symbols/KRX-065950/
케이엠 *,3670.0,+3.53%,94991.0,341.0,19517.0,083550,https://kr.tradingview.com/symbols/KRX-083550/
우정바이오 *,2275.0,+2.71%,314365.0,709.0,349152.0,215380,https://kr.tradingview.com/symbols/KRX-215380/
바이오니아 *,13570.0,+2.65%,224743.0,3025.0,230574.0,064550,https://kr.tradingview.com/symbols/KRX-064550/
에이프로젠바이오로직스,517.0,+1.97%,792730.0,408.0,734960.0,003060,https://kr.tradingview.com/symbols/KRX-003060/
DXVX *,3260.0,+1.88%,164733.0,526.0,172911.0,180400,https://kr.tradingview.com/symbols/KRX-180400/
하이텍팜 *,11830.0,+1.46%,28832.0,340.0,29006.0,106190,https://kr.tradingview.com/symbols/KRX-106190/
이글벳 *,4250.0,+1.43%,211863.0,900.0,158055.0,044960,https://kr.tradingview.com/symbols/KRX-044960/
크린앤사이언스 *,3285.0,+1.23%,22765.0,76.0,14179.0,045520,https://kr.tradingview.com/symbols/KRX-045520/
빌리언스 *,279.0,+1.09%,395751.0,110.0,938328.0,044480,https://kr.tradingview.com/symbols/KRX-044480/
우진비앤지 *,796.0,+0.25%,69244.0,55.0,43843.0,018620,https://kr.tradingview.com/symbols/KRX-018620/
고려제약 *,4205.0,+0.12%,37562.0,156.0,27556.0,014570,https://kr.tradingview.com/symbols/KRX-014570/
중앙백신 *,9590.0,0.00%,33528.0,321.0,48132.0,072020,https://kr.tradingview.com/symbols/KRX-072020/
한올바이오파마,51500.0,0.00%,412940.0,21393.0,582353.0,009420,https://kr.tradingview.com/symbols/KRX-009420/
진매트릭스 *,2425.0,0.00%,49233.0,120.0,66771.0,109820,https://kr.tradingview.com/symbols/KRX-109820/
서린바이오 *,6750.0,-0.15%,44875.0,302.0,38752.0,038070,https://kr.tradingview.com/symbols/KRX-038070/
삼진제약,19620.0,-0.46%,15547.0,304.0,26884.0,005500,https://kr.tradingview.com/symbols/KRX-005500/
파루 *,778.0,-1.02%,173737.0,134.0,192248.0,043200,https://kr.tradingview.com/symbols/KRX-043200/
PKC,5890.0,-1.83%,211730.0,1253.0,289123.0,001340,https://kr.tradingview.com/symbols/KRX-001340/
