종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
태성 *,71200.0,+26.69%,2617290.0,175658.0,979319.0,323280,https://kr.tradingview.com/symbols/KRX-323280/,2026.01.28,328836,477462
HPSP *,44000.0,+17.18%,7649541.0,318517.0,3142771.0,403870,https://kr.tradingview.com/symbols/KRX-403870/,2026.01.28,742804,755020
에이팩트 *,9300.0,+16.10%,5598106.0,49943.0,1390764.0,200470,https://kr.tradingview.com/symbols/KRX-200470/,2026.01.28,-21867,669087
제주반도체 *,36500.0,+14.96%,12803921.0,453679.0,2916916.0,080220,https://kr.tradingview.com/symbols/KRX-080220/,2026.01.28,491543,-451199
심텍 *,59700.0,+13.71%,3531100.0,203324.0,809498.0,222800,https://kr.tradingview.com/symbols/KRX-222800/,2026.01.28,565090,108452
퀄리타스반도체 *,14790.0,+8.99%,701989.0,10065.0,178024.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,2026.01.28,0,91493
네패스 *,17750.0,+7.64%,359175.0,6210.0,143284.0,033640,https://kr.tradingview.com/symbols/KRX-033640/,2026.01.28,19204,139483
네패스아크 *,18560.0,+7.16%,256785.0,4636.0,80962.0,330860,https://kr.tradingview.com/symbols/KRX-330860/,2026.01.28,-19533,47376
대덕전자,54500.0,+7.07%,2178472.0,118240.0,709894.0,353200,https://kr.tradingview.com/symbols/KRX-353200/,2026.01.28,-273831,79
가온칩스 *,74100.0,+6.31%,383415.0,27611.0,441641.0,399720,https://kr.tradingview.com/symbols/KRX-399720/,2026.01.28,104646,12878
어보브반도체 *,12930.0,+5.81%,1413251.0,18118.0,286113.0,102120,https://kr.tradingview.com/symbols/KRX-102120/,2026.01.28,3,14372
SK하이닉스,841000.0,+5.13%,6091399.0,5066414.0,5660198.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.28,-127144,-87208
유니퀘스트,6560.0,+4.96%,443004.0,2884.0,354056.0,077500,https://kr.tradingview.com/symbols/KRX-077500/,2026.01.28,-3183,53268
리노공업 *,86900.0,+4.32%,1972865.0,166034.0,2020852.0,058470,https://kr.tradingview.com/symbols/KRX-058470/,2026.01.28,772108,-862920
큐알티 *,17030.0,+4.03%,212937.0,3584.0,103090.0,405100,https://kr.tradingview.com/symbols/KRX-405100/,2026.01.28,0,-12496
에이디테크놀로지 *,39450.0,+3.54%,550044.0,21471.0,514017.0,200710,https://kr.tradingview.com/symbols/KRX-200710/,2026.01.28,3100,17133
오픈엣지테크놀로지 *,14630.0,+3.03%,338235.0,4905.0,229708.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,2026.01.28,2232,48577
삼성전자,162400.0,+1.82%,29275189.0,4743562.0,29423670.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.28,-900399,-1761499
칩스앤미디어 *,18840.0,+1.78%,317316.0,5906.0,244449.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,2026.01.28,110,69287
마음AI *,20100.0,+1.57%,176274.0,3523.0,158001.0,377480,https://kr.tradingview.com/symbols/KRX-377480/,2026.01.28,-999,27557
삼성전기,280000.0,+1.08%,678513.0,189153.0,676611.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,2026.01.28,-73807,73053
텔레칩스 *,16000.0,-0.06%,382464.0,6082.0,308997.0,054450,https://kr.tradingview.com/symbols/KRX-054450/,2026.01.28,2,9326
아이언디바이스 *,3360.0,-1.47%,222173.0,756.0,206109.0,464500,https://kr.tradingview.com/symbols/KRX-464500/,2026.01.28,0,35140
노타 *,44850.0,-2.29%,548645.0,24653.0,935905.0,486990,https://kr.tradingview.com/symbols/KRX-486990/,2026.01.28,-13944,-7507
