종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
TPC *,3985.0,+20.39%,2134167.0,8097.0,686977.0,048770,https://kr.tradingview.com/symbols/KRX-048770/,2026.01.28,-59,171045
아진엑스텍 *,9880.0,+16.37%,5432750.0,57728.0,573994.0,059120,https://kr.tradingview.com/symbols/KRX-059120/,2026.01.28,-60178,-173108
알에스오토메이션 *,24450.0,+9.64%,1672365.0,41405.0,631499.0,140670,https://kr.tradingview.com/symbols/KRX-140670/,2026.01.28,-9525,86405
MDS테크 *,1534.0,+6.23%,77783985.0,127024.0,2554064.0,086960,https://kr.tradingview.com/symbols/KRX-086960/,2026.01.28,0,-430260
어보브반도체 *,12930.0,+5.81%,1413251.0,18118.0,286113.0,102120,https://kr.tradingview.com/symbols/KRX-102120/,2026.01.28,3,14372
휴림로봇 *,15770.0,+4.99%,33235818.0,528258.0,31223376.0,090710,https://kr.tradingview.com/symbols/KRX-090710/,2026.01.28,-46168,6414
유니퀘스트,6560.0,+4.96%,443004.0,2884.0,354056.0,077500,https://kr.tradingview.com/symbols/KRX-077500/,2026.01.28,-3183,53268
로보스타 *,89100.0,+4.70%,666246.0,60163.0,248432.0,090360,https://kr.tradingview.com/symbols/KRX-090360/,2026.01.28,1696,75668
포스코DX,40850.0,+3.81%,2898463.0,118568.0,988173.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,2026.01.28,96213,-119914
큐렉소 *,18920.0,+3.39%,1634741.0,30690.0,1757633.0,060280,https://kr.tradingview.com/symbols/KRX-060280/,2026.01.28,261998,60277
셀바스AI *,13240.0,+3.04%,697411.0,9158.0,561591.0,108860,https://kr.tradingview.com/symbols/KRX-108860/,2026.01.28,229125,156034
SK,305500.0,+2.52%,289814.0,87335.0,209631.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,2026.01.28,4408,75994
에이스테크 *,3080.0,+2.33%,325167.0,1008.0,285205.0,088800,https://kr.tradingview.com/symbols/KRX-088800/,2026.01.28,1,57359
푸른기술 *,10980.0,+2.14%,639848.0,7117.0,693927.0,094940,https://kr.tradingview.com/symbols/KRX-094940/,2026.01.28,1,-44923
다산디엠씨 *,1519.0,+2.08%,273742.0,415.0,101962.0,208860,https://kr.tradingview.com/symbols/KRX-208860/,2026.01.28,0,14160
삼성전자,162400.0,+1.82%,29275189.0,4743562.0,29423670.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.28,-900399,-1761499
인피니트헬스케어 *,6790.0,+1.65%,328980.0,2205.0,433520.0,071200,https://kr.tradingview.com/symbols/KRX-071200/,2026.01.28,-12,-63502
DH오토웨어 *,1082.0,+1.60%,684729.0,738.0,642660.0,025440,https://kr.tradingview.com/symbols/KRX-025440/,2026.01.28,0,61560
