종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
코스텍시스 *,14920.0,+16.74%,448178.0,6294.0,77203.0,355150,https://kr.tradingview.com/symbols/KRX-355150/
센서뷰 *,3755.0,+13.79%,14781209.0,53757.0,6008026.0,321370,https://kr.tradingview.com/symbols/KRX-321370/
옵티코어 *,3750.0,+12.28%,3823049.0,14102.0,2308879.0,380540,https://kr.tradingview.com/symbols/KRX-380540/
대한광통신 *,3325.0,+11.39%,80240572.0,278857.0,2920427.0,010170,https://kr.tradingview.com/symbols/KRX-010170/
대덕전자,54500.0,+7.07%,2178472.0,118240.0,709894.0,353200,https://kr.tradingview.com/symbols/KRX-353200/
웨이비스 *,12100.0,+6.98%,531972.0,6259.0,149651.0,289930,https://kr.tradingview.com/symbols/KRX-289930/
RFHIC *,44550.0,+6.58%,688786.0,30062.0,1204838.0,218410,https://kr.tradingview.com/symbols/KRX-218410/
이수페타시스,125400.0,+5.47%,2207512.0,275675.0,947053.0,007660,https://kr.tradingview.com/symbols/KRX-007660/
한국첨단소재 *,3170.0,+5.14%,1666585.0,5202.0,608475.0,062970,https://kr.tradingview.com/symbols/KRX-062970/
케이엠더블유 *,18530.0,+5.05%,718148.0,13179.0,548924.0,032500,https://kr.tradingview.com/symbols/KRX-032500/
PS일렉트로닉스 *,7540.0,+4.58%,3321035.0,24992.0,1978281.0,332570,https://kr.tradingview.com/symbols/KRX-332570/
오이솔루션 *,16450.0,+4.58%,561091.0,9225.0,162811.0,138080,https://kr.tradingview.com/symbols/KRX-138080/
LS마린솔루션 *,31300.0,+4.16%,447251.0,13766.0,317466.0,060370,https://kr.tradingview.com/symbols/KRX-060370/
에치에프알 *,14540.0,+3.78%,143569.0,2070.0,122530.0,230240,https://kr.tradingview.com/symbols/KRX-230240/
LS에코에너지,42000.0,+3.70%,271741.0,11213.0,143270.0,229640,https://kr.tradingview.com/symbols/KRX-229640/
이노인스트루먼트 *,580.0,+3.39%,195226.0,113.0,130896.0,215790,https://kr.tradingview.com/symbols/KRX-215790/
쏠리드 *,8260.0,+3.25%,1677142.0,13787.0,1346880.0,050890,https://kr.tradingview.com/symbols/KRX-050890/
에이스테크 *,3080.0,+2.33%,325167.0,1008.0,285205.0,088800,https://kr.tradingview.com/symbols/KRX-088800/
삼성전자,162400.0,+1.82%,29275189.0,4743562.0,29423670.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
우리넷 *,7740.0,+1.57%,151479.0,1176.0,178374.0,115440,https://kr.tradingview.com/symbols/KRX-115440/
엔텔스 *,5480.0,+1.48%,57502.0,314.0,52164.0,069410,https://kr.tradingview.com/symbols/KRX-069410/
아이크래프트 *,3375.0,+1.35%,63310.0,212.0,181745.0,052460,https://kr.tradingview.com/symbols/KRX-052460/
코위버 *,5290.0,+1.34%,62323.0,330.0,31053.0,056360,https://kr.tradingview.com/symbols/KRX-056360/
다보링크 *,1552.0,+1.17%,636361.0,993.0,598210.0,340360,https://kr.tradingview.com/symbols/KRX-340360/
자람테크놀로지 *,41600.0,+0.73%,119856.0,4922.0,183571.0,389020,https://kr.tradingview.com/symbols/KRX-389020/
오늘이엔엠 *,837.0,+0.48%,153266.0,127.0,380433.0,192410,https://kr.tradingview.com/symbols/KRX-192410/
PI첨단소재,16500.0,+0.43%,105036.0,1721.0,84904.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
빛과전자 *,1439.0,+0.28%,5397474.0,7867.0,3320774.0,069540,https://kr.tradingview.com/symbols/KRX-069540/
유비쿼스 *,11530.0,0.00%,221352.0,2562.0,160907.0,264450,https://kr.tradingview.com/symbols/KRX-264450/
기가레인 *,572.0,0.00%,298589.0,171.0,307116.0,049080,https://kr.tradingview.com/symbols/KRX-049080/
이지트로닉스 *,3595.0,-0.14%,15444.0,55.0,19296.0,377330,https://kr.tradingview.com/symbols/KRX-377330/
오파스넷 *,6400.0,-0.16%,71218.0,456.0,65536.0,173130,https://kr.tradingview.com/symbols/KRX-173130/
KT,55900.0,-0.18%,459993.0,25966.0,705721.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
와이어블 *,1346.0,-0.30%,71046.0,95.0,40766.0,065530,https://kr.tradingview.com/symbols/KRX-065530/
SK텔레콤,69000.0,-0.58%,2159691.0,148459.0,5938623.0,017670,https://kr.tradingview.com/symbols/KRX-017670/
텔코웨어,15790.0,-0.69%,14341.0,224.0,6835.0,078000,https://kr.tradingview.com/symbols/KRX-078000/
와이솔 *,6120.0,-0.81%,108914.0,670.0,67655.0,122990,https://kr.tradingview.com/symbols/KRX-122990/
쏘닉스 *,1791.0,-0.94%,68126.0,122.0,86757.0,088280,https://kr.tradingview.com/symbols/KRX-088280/
우리로 *,1449.0,-1.02%,792620.0,1157.0,768467.0,046970,https://kr.tradingview.com/symbols/KRX-046970/
이노와이어리스 *,29300.0,-1.18%,231768.0,6782.0,324329.0,073490,https://kr.tradingview.com/symbols/KRX-073490/
이루온 *,1502.0,-1.18%,245241.0,369.0,223795.0,065440,https://kr.tradingview.com/symbols/KRX-065440/
에프알텍 *,1998.0,-1.33%,29609.0,60.0,9452.0,073540,https://kr.tradingview.com/symbols/KRX-073540/
LG전자,99900.0,-1.38%,1273383.0,127780.0,1125191.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
알에프텍 *,1919.0,-1.44%,176450.0,341.0,234559.0,061040,https://kr.tradingview.com/symbols/KRX-061040/
서진시스템 *,34600.0,-1.70%,1370418.0,46919.0,1530280.0,178320,https://kr.tradingview.com/symbols/KRX-178320/
라이콤 *,2540.0,-1.74%,297448.0,762.0,188801.0,388790,https://kr.tradingview.com/symbols/KRX-388790/
LG유플러스,16020.0,-1.84%,831987.0,13329.0,1807402.0,032640,https://kr.tradingview.com/symbols/KRX-032640/
웨이브일렉트로 *,4650.0,-2.11%,93864.0,437.0,27548.0,095270,https://kr.tradingview.com/symbols/KRX-095270/
기산텔레콤 *,1971.0,-2.43%,79793.0,159.0,60046.0,035460,https://kr.tradingview.com/symbols/KRX-035460/
삼지전자 *,20300.0,-2.64%,283407.0,5856.0,332960.0,037460,https://kr.tradingview.com/symbols/KRX-037460/
휴먼테크놀로지 *,4395.0,-3.09%,248223.0,1077.0,73746.0,175140,https://kr.tradingview.com/symbols/KRX-175140/
