종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
원익IPS *,104400.0,+14.22%,1507220.0,148924.0,1277804.0,240810,https://kr.tradingview.com/symbols/KRX-240810/
와이투솔루션,5490.0,+8.93%,5156994.0,28057.0,2317299.0,011690,https://kr.tradingview.com/symbols/KRX-011690/
한솔아이원스 *,13550.0,+7.97%,600697.0,7887.0,317724.0,114810,https://kr.tradingview.com/symbols/KRX-114810/
나인테크 *,3490.0,+7.72%,6098260.0,20926.0,1704073.0,267320,https://kr.tradingview.com/symbols/KRX-267320/
나노신소재 *,71800.0,+6.69%,319542.0,22426.0,222419.0,121600,https://kr.tradingview.com/symbols/KRX-121600/
천보 *,61000.0,+6.46%,291326.0,17422.0,226287.0,278280,https://kr.tradingview.com/symbols/KRX-278280/
에프엔에스테크 *,15730.0,+6.28%,245797.0,3811.0,118238.0,083500,https://kr.tradingview.com/symbols/KRX-083500/
AP시스템 *,20950.0,+6.18%,344422.0,7088.0,105276.0,265520,https://kr.tradingview.com/symbols/KRX-265520/
티에스이 *,82600.0,+6.17%,184415.0,14979.0,155078.0,131290,https://kr.tradingview.com/symbols/KRX-131290/
피엔티엠에스 *,3740.0,+5.20%,119926.0,436.0,201942.0,257370,https://kr.tradingview.com/symbols/KRX-257370/
주성엔지니어링 *,38350.0,+4.92%,1698805.0,63401.0,2735054.0,036930,https://kr.tradingview.com/symbols/KRX-036930/
LX세미콘,54700.0,+4.79%,194777.0,10463.0,109637.0,108320,https://kr.tradingview.com/symbols/KRX-108320/
필옵틱스 *,53200.0,+4.72%,1391485.0,72351.0,791617.0,161580,https://kr.tradingview.com/symbols/KRX-161580/
로보스타 *,89100.0,+4.70%,666246.0,60163.0,248432.0,090360,https://kr.tradingview.com/symbols/KRX-090360/
덕산테코피아 *,19860.0,+4.64%,496728.0,9792.0,217569.0,317330,https://kr.tradingview.com/symbols/KRX-317330/
솔루스첨단소재,8300.0,+4.40%,650295.0,5334.0,278343.0,336370,https://kr.tradingview.com/symbols/KRX-336370/
아바코 *,14740.0,+4.39%,182556.0,2687.0,102015.0,083930,https://kr.tradingview.com/symbols/KRX-083930/
덕산네오룩스 *,39500.0,+4.22%,358108.0,13877.0,265137.0,213420,https://kr.tradingview.com/symbols/KRX-213420/
이녹스첨단소재 *,31000.0,+4.03%,821992.0,25045.0,599496.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
디아이티 *,19350.0,+4.03%,254847.0,4862.0,176957.0,110990,https://kr.tradingview.com/symbols/KRX-110990/
영우디에스피 *,961.0,+3.78%,408756.0,392.0,130873.0,143540,https://kr.tradingview.com/symbols/KRX-143540/
