종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에스피지 *,151500.0,+24.28%,3410397.0,501371.0,1100102.0,058610,https://kr.tradingview.com/symbols/KRX-058610/
성호전자 *,14950.0,+12.92%,1734211.0,25119.0,474187.0,043260,https://kr.tradingview.com/symbols/KRX-043260/
코웨이,79600.0,+4.87%,404387.0,31852.0,278920.0,021240,https://kr.tradingview.com/symbols/KRX-021240/
삼성전자,162400.0,+1.82%,29275189.0,4743562.0,29423670.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
크린앤사이언스 *,3325.0,+1.22%,11110.0,37.0,22765.0,045520,https://kr.tradingview.com/symbols/KRX-045520/
씨앤투스 *,2190.0,+0.46%,32067.0,70.0,44868.0,352700,https://kr.tradingview.com/symbols/KRX-352700/
쿠쿠홈시스,23250.0,0.00%,17186.0,398.0,29802.0,284740,https://kr.tradingview.com/symbols/KRX-284740/
신일전자,1320.0,-0.68%,510534.0,676.0,368912.0,002700,https://kr.tradingview.com/symbols/KRX-002700/
케이웨더 *,3020.0,-0.98%,18134.0,55.0,6583.0,068100,https://kr.tradingview.com/symbols/KRX-068100/
LG전자,99900.0,-1.38%,1273383.0,127780.0,1125191.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
오텍 *,1912.0,-1.90%,127655.0,245.0,110936.0,067170,https://kr.tradingview.com/symbols/KRX-067170/
위닉스 *,5190.0,-2.26%,40897.0,213.0,32521.0,044340,https://kr.tradingview.com/symbols/KRX-044340/
