종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
모베이스 *,6400.0,+20.75%,13529567.0,88540.0,1786199.0,101330,https://kr.tradingview.com/symbols/KRX-101330/
시노펙스 *,7560.0,+13.00%,4550539.0,33188.0,1491107.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
제이앤티씨 *,24200.0,+8.76%,827419.0,19789.0,391767.0,204270,https://kr.tradingview.com/symbols/KRX-204270/
코리아써키트,68000.0,+7.94%,401275.0,26683.0,459985.0,007810,https://kr.tradingview.com/symbols/KRX-007810/
드림텍,8060.0,+7.18%,1577634.0,12348.0,693672.0,192650,https://kr.tradingview.com/symbols/KRX-192650/
비에이치,17840.0,+6.06%,510844.0,9031.0,222444.0,090460,https://kr.tradingview.com/symbols/KRX-090460/
도우인시스 *,25200.0,+5.88%,95950.0,2410.0,28201.0,484120,https://kr.tradingview.com/symbols/KRX-484120/
PS일렉트로닉스 *,7540.0,+4.58%,3321035.0,24992.0,1978281.0,332570,https://kr.tradingview.com/symbols/KRX-332570/
덕산네오룩스 *,39500.0,+4.22%,358108.0,13877.0,265137.0,213420,https://kr.tradingview.com/symbols/KRX-213420/
이녹스첨단소재 *,31000.0,+4.03%,821992.0,25045.0,599496.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
이랜텍 *,10420.0,+3.89%,414644.0,4235.0,373138.0,054210,https://kr.tradingview.com/symbols/KRX-054210/
인터플렉스 *,11580.0,+3.21%,246618.0,2832.0,244672.0,051370,https://kr.tradingview.com/symbols/KRX-051370/
한솔테크닉스,6020.0,+3.08%,311286.0,1852.0,115148.0,004710,https://kr.tradingview.com/symbols/KRX-004710/
켐트로닉스 *,36200.0,+2.70%,657521.0,23557.0,460311.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
파워로직스 *,6040.0,+2.20%,1326006.0,7984.0,1608849.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
나무가 *,24050.0,+2.12%,352264.0,8525.0,220730.0,190510,https://kr.tradingview.com/symbols/KRX-190510/
유티아이 *,24800.0,+2.06%,244113.0,6029.0,239984.0,179900,https://kr.tradingview.com/symbols/KRX-179900/
옵트론텍 *,1951.0,+1.99%,148737.0,288.0,168610.0,082210,https://kr.tradingview.com/symbols/KRX-082210/
삼성전자,162400.0,+1.82%,29275189.0,4743562.0,29423670.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
아모그린텍 *,6830.0,+1.79%,150893.0,1019.0,122479.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
세경하이테크 *,4945.0,+1.75%,172738.0,849.0,114992.0,148150,https://kr.tradingview.com/symbols/KRX-148150/
뉴프렉스 *,6720.0,+1.51%,744384.0,4994.0,772706.0,085670,https://kr.tradingview.com/symbols/KRX-085670/
세코닉스 *,6180.0,+1.48%,322680.0,1998.0,210053.0,053450,https://kr.tradingview.com/symbols/KRX-053450/
삼성전기,280000.0,+1.08%,678513.0,189153.0,676611.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
PI첨단소재,16500.0,+0.43%,105036.0,1721.0,84904.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
파트론 *,7200.0,+0.28%,290226.0,2083.0,367912.0,091700,https://kr.tradingview.com/symbols/KRX-091700/
앤디포스 *,1739.0,+0.23%,61877.0,108.0,23874.0,238090,https://kr.tradingview.com/symbols/KRX-238090/
인탑스 *,22000.0,+0.23%,241674.0,5364.0,186189.0,049070,https://kr.tradingview.com/symbols/KRX-049070/
씨유테크 *,2880.0,+0.17%,23442.0,67.0,23098.0,376290,https://kr.tradingview.com/symbols/KRX-376290/
신화콘텍 *,3600.0,0.00%,139056.0,495.0,125541.0,187270,https://kr.tradingview.com/symbols/KRX-187270/
기가레인 *,572.0,0.00%,298589.0,171.0,307116.0,049080,https://kr.tradingview.com/symbols/KRX-049080/
KH바텍 *,14500.0,-0.07%,419912.0,6120.0,421524.0,060720,https://kr.tradingview.com/symbols/KRX-060720/
엠씨넥스,29700.0,-0.17%,77554.0,2303.0,85887.0,097520,https://kr.tradingview.com/symbols/KRX-097520/
자화전자,22850.0,-0.44%,201048.0,4585.0,236869.0,033240,https://kr.tradingview.com/symbols/KRX-033240/
에스코넥 *,712.0,-0.56%,498691.0,354.0,355165.0,096630,https://kr.tradingview.com/symbols/KRX-096630/
캠시스 *,527.0,-0.57%,2762602.0,1458.0,2983455.0,050110,https://kr.tradingview.com/symbols/KRX-050110/
알에프텍 *,1919.0,-1.44%,176450.0,341.0,234559.0,061040,https://kr.tradingview.com/symbols/KRX-061040/
레몬 *,7260.0,-3.97%,404959.0,2922.0,439388.0,294140,https://kr.tradingview.com/symbols/KRX-294140/
아모텍 *,10080.0,-4.64%,403030.0,4093.0,188650.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
