종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에코프로 *,168600.0,+21.82%,16902593.0,2690657.0,11468680.0,086520,https://kr.tradingview.com/symbols/KRX-086520/
웰크론한텍 *,1544.0,+13.78%,10057578.0,16379.0,2194539.0,076080,https://kr.tradingview.com/symbols/KRX-076080/
코스모화학,17290.0,+8.06%,783143.0,13207.0,285888.0,005420,https://kr.tradingview.com/symbols/KRX-005420/
나인테크 *,3490.0,+7.72%,6098260.0,20926.0,1704073.0,267320,https://kr.tradingview.com/symbols/KRX-267320/
LG에너지솔루션,431000.0,+5.51%,1462794.0,637497.0,330244.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
POSCO홀딩스,378000.0,+5.15%,1185336.0,440021.0,569514.0,005490,https://kr.tradingview.com/symbols/KRX-005490/
성일하이텍 *,73000.0,+4.29%,231962.0,16430.0,303366.0,365340,https://kr.tradingview.com/symbols/KRX-365340/
하나기술 *,32750.0,+3.80%,137662.0,4397.0,69915.0,299030,https://kr.tradingview.com/symbols/KRX-299030/
새빗켐 *,38500.0,+3.08%,213337.0,8133.0,467570.0,107600,https://kr.tradingview.com/symbols/KRX-107600/
파워로직스 *,6040.0,+2.20%,1326006.0,7984.0,1608849.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
아이에스동서,23150.0,+1.98%,79548.0,1839.0,101526.0,010780,https://kr.tradingview.com/symbols/KRX-010780/
원익피앤이 *,4090.0,+1.74%,566021.0,2282.0,369419.0,217820,https://kr.tradingview.com/symbols/KRX-217820/
DS단석,19750.0,+1.28%,116056.0,2280.0,138483.0,017860,https://kr.tradingview.com/symbols/KRX-017860/
현대차,492500.0,+0.82%,2514604.0,1248436.0,4492400.0,005380,https://kr.tradingview.com/symbols/KRX-005380/
이지트로닉스 *,3595.0,-0.14%,15444.0,55.0,19296.0,377330,https://kr.tradingview.com/symbols/KRX-377330/
NPC,3870.0,-0.26%,59906.0,231.0,79357.0,004250,https://kr.tradingview.com/symbols/KRX-004250/
인선이엔티 *,4430.0,-1.01%,202359.0,897.0,185199.0,060150,https://kr.tradingview.com/symbols/KRX-060150/
킵스파마 *,9750.0,-1.81%,212451.0,2092.0,163014.0,256940,https://kr.tradingview.com/symbols/KRX-256940/
영화테크 *,8150.0,-1.93%,146458.0,1210.0,243133.0,265560,https://kr.tradingview.com/symbols/KRX-265560/
SK이노베이션,108200.0,-2.96%,1065781.0,115950.0,438428.0,096770,https://kr.tradingview.com/symbols/KRX-096770/
